withdrawal_id,customer_id,date_id,payment_method_id,gross_withdrawal_amount,fees,net_withdrawal,status,currency
74,71,20250724,2,145.43,0.91,144.52,Approved,EUR
75,72,20251028,6,8.44,0.42,8.02,Approved,USD
76,72,20251017,3,62.01,0.69,61.32,Approved,USD
77,74,20250303,3,5.0,0.35,4.65,Approved,EUR
78,74,20241031,2,30.3,0.72,29.58,Approved,EUR
79,74,20250216,2,51.22,0.48,50.74,Approved,EUR
80,75,20241124,4,6.96,0.26,6.7,Approved,SEK
81,75,20241210,6,6.9,0.33,6.57,Approved,SEK
82,80,20240901,6,42.16,0.6,41.56,Approved,EUR
83,84,20251023,1,1153.41,8.49,1144.92,Approved,EUR
84,92,20250606,6,1543.79,7.39,1536.4,Approved,CAD
85,93,20240427,1,214.56,1.85,212.71,Approved,EUR
86,96,20251029,5,56.47,0.53,55.94,Approved,ARS
87,100,20250422,6,297.75,2.06,295.69,Approved,EUR
88,100,20250915,1,79.27,0.94,78.33,Approved,EUR
89,110,20251009,1,677.23,4.43,672.8,Approved,EUR
90,114,20250626,3,356.13,2.9,353.23,Approved,CAD
91,115,20250829,1,148.57,0.89,147.68,Pending,DKK
92,115,20250526,6,33.74,0.48,33.26,Approved,DKK
93,116,20250623,1,5.0,0.37,4.63,Approved,COP
94,116,20250620,3,5.0,0.43,4.57,Approved,COP
95,117,20251009,6,199.52,1.7,197.82,Approved,NOK
96,117,20250816,3,37.35,0.77,36.58,Declined,NOK
97,118,20250628,6,574.73,4.83,569.9,Pending,EUR
98,118,20250926,2,12.33,0.57,11.76,Approved,EUR
99,122,20251015,4,159.16,1.45,157.71,Approved,EUR
100,122,20250101,2,79.93,0.71,79.22,Approved,EUR
101,122,20250816,5,131.83,0.66,131.17,Pending,EUR
102,122,20251003,6,204.54,0.71,203.83,Approved,EUR
103,123,20250625,6,247.17,1.65,245.52,Approved,EUR
104,125,20251027,6,5.0,0.31,4.69,Approved,MXN
105,125,20250611,5,5.96,0.46,5.5,Approved,MXN
106,126,20251026,3,64.56,0.65,63.91,Approved,USD
107,126,20251030,6,40.06,0.6,39.46,Approved,USD
108,127,20251011,6,729.15,6.03,723.12,Approved,BRL
109,128,20251002,3,981.68,5.91,975.77,Approved,MXN
110,129,20250524,3,68.28,0.46,67.82,Approved,AUD
111,129,20250830,3,247.64,1.04,246.6,Pending,AUD
112,129,20250920,1,19.71,0.44,19.27,Approved,AUD
113,129,20251014,3,62.5,0.67,61.83,Approved,AUD
114,130,20250730,1,98.4,1.02,97.38,Approved,NOK
115,130,20250502,2,53.0,0.44,52.56,Approved,NOK
116,130,20250126,1,5.0,0.45,4.55,Declined,NOK
117,130,20250722,1,11.79,0.48,11.31,Approved,NOK
118,131,20250804,6,11.91,0.56,11.35,Approved,EUR
119,133,20250519,6,206.79,0.94,205.85,Approved,EUR
120,133,20250319,3,166.45,1.15,165.3,Approved,EUR
121,134,20251019,5,46.23,0.44,45.79,Approved,NZD
122,136,20251028,6,474.57,4.01,470.56,Approved,NZD
123,140,20250509,3,397.34,1.54,395.8,Approved,USD
124,140,20251029,5,221.13,2.04,219.09,Approved,USD
125,142,20250730,3,23.75,0.38,23.37,Approved,SEK
126,142,20250814,6,43.55,0.35,43.2,Approved,SEK
127,143,20240831,6,14.29,0.33,13.96,Approved,BRL
128,145,20240725,4,1039.41,3.63,1035.78,Approved,MXN
129,146,20250115,2,30.67,0.49,30.18,Approved,EUR
130,148,20241229,6,104.18,0.83,103.35,Approved,EUR
131,148,20250522,3,20.11,0.52,19.59,Approved,EUR
132,150,20240728,2,596.65,3.23,593.42,Approved,USD
133,151,20250609,1,829.85,5.23,824.62,Approved,MXN
134,154,20250201,2,73.56,0.73,72.83,Approved,BRL
135,156,20250812,4,54.99,0.43,54.56,Pending,EUR
136,156,20250316,6,22.74,0.6,22.14,Pending,EUR
137,158,20250206,2,842.34,5.55,836.79,Pending,NOK
138,159,20250827,3,206.42,1.82,204.6,Approved,NOK
139,160,20250921,5,468.14,2.49,465.65,Approved,EUR
140,162,20250609,2,225.61,1.57,224.04,Approved,EUR
141,164,20241012,4,322.73,1.85,320.88,Approved,COP
142,164,20250630,5,664.16,3.21,660.95,Pending,COP
143,166,20250905,3,464.86,3.18,461.68,Approved,SEK
144,167,20251014,4,110.65,0.95,109.7,Approved,BRL
145,168,20250320,2,96.22,0.79,95.43,Approved,COP
146,169,20251030,1,109.02,0.91,108.11,Approved,NOK
147,171,20251028,6,10.84,0.34,10.5,Approved,AUD
148,174,20251002,6,54.5,0.5,54.0,Approved,EUR
149,174,20250823,1,94.87,0.79,94.08,Approved,EUR
150,182,20250914,6,1279.43,4.3,1275.13,Approved,NZD
151,185,20250714,4,12.11,0.29,11.82,Approved,USD
152,185,20250828,6,279.11,1.49,277.62,Approved,USD
153,185,20250906,2,72.48,0.76,71.72,Approved,USD
154,185,20251018,6,102.66,1.06,101.6,Approved,USD
155,185,20250925,6,15.78,0.51,15.27,Approved,USD
156,187,20250321,6,181.24,1.84,179.4,Approved,ARS
157,193,20250411,6,72.19,0.76,71.43,Approved,EUR
158,193,20250929,3,75.69,0.88,74.81,Pending,EUR
159,197,20250826,1,1281.87,7.08,1274.79,Approved,EUR
160,199,20240716,6,1744.65,8.03,1736.62,Approved,NOK
161,202,20251028,2,20.79,0.36,20.43,Approved,EUR
162,202,20250604,3,168.53,1.52,167.01,Approved,EUR
163,202,20250602,4,135.84,1.02,134.82,Approved,EUR
164,203,20251004,4,65.36,0.94,64.42,Approved,EUR
165,204,20250713,1,5.6,0.27,5.33,Declined,SEK
166,204,20250318,2,90.6,0.94,89.66,Approved,SEK
167,205,20251021,6,265.22,1.96,263.26,Approved,EUR
168,206,20250815,5,10.16,0.57,9.59,Approved,AUD
169,206,20251009,4,36.87,0.58,36.29,Approved,AUD
170,206,20250112,6,5.0,0.43,4.57,Approved,AUD
171,207,20250925,3,225.59,1.2,224.39,Pending,NZD
172,208,20250416,3,131.05,0.64,130.41,Approved,EUR
173,208,20250115,3,137.36,1.03,136.33,Approved,EUR
174,209,20250711,1,47.43,0.74,46.69,Approved,EUR
175,210,20250715,2,185.52,0.98,184.54,Approved,SEK
176,216,20251010,2,11.34,0.4,10.94,Approved,SEK
177,218,20251026,5,32.76,0.44,32.32,Approved,ARS
178,218,20251021,6,42.45,0.79,41.66,Approved,ARS
179,219,20251021,1,138.98,0.68,138.3,Approved,BRL
180,219,20251017,6,21.16,0.59,20.57,Approved,BRL
181,221,20250928,6,72.31,0.7,71.61,Approved,SEK
182,222,20251019,6,1976.29,13.41,1962.88,Approved,ARS
183,223,20251027,2,21.23,0.58,20.65,Approved,CAD
184,223,20250914,6,60.45,0.62,59.83,Approved,CAD
185,223,20250401,6,17.08,0.59,16.49,Approved,CAD
186,226,20250721,6,52.18,0.46,51.72,Approved,EUR
187,226,20251004,1,19.93,0.62,19.31,Approved,EUR
188,228,20240923,5,25.51,0.49,25.02,Approved,USD
189,228,20250511,6,13.73,0.26,13.47,Approved,USD
190,228,20250102,6,41.7,0.66,41.04,Approved,USD
191,229,20251021,3,12.43,0.54,11.89,Approved,BRL
192,229,20250301,5,5.0,0.52,4.48,Approved,BRL
193,229,20250726,3,13.17,0.39,12.78,Approved,BRL
194,230,20240903,2,4798.06,18.15,4779.91,Approved,EUR
195,231,20250401,1,190.97,1.64,189.33,Approved,EUR
196,231,20250923,6,7.69,0.52,7.17,Pending,EUR
197,231,20250929,2,70.19,1.08,69.11,Approved,EUR
198,235,20251029,6,16.25,0.44,15.81,Approved,COP
199,235,20251005,4,11.92,0.51,11.41,Pending,COP
200,238,20250722,6,6.27,0.29,5.98,Pending,ARS
201,238,20240328,6,22.54,0.67,21.87,Approved,ARS
202,238,20250314,3,19.7,0.33,19.37,Approved,ARS
203,239,20250730,5,17.52,0.64,16.88,Approved,EUR
204,239,20250627,2,67.02,0.54,66.48,Declined,EUR
205,241,20250309,1,245.96,1.75,244.21,Approved,EUR
206,243,20250629,3,22.54,0.36,22.18,Approved,EUR
207,243,20250409,4,41.2,0.56,40.64,Approved,EUR
208,246,20250201,6,62.58,0.9,61.68,Approved,EUR
209,247,20251031,3,581.18,3.34,577.84,Approved,ARS
210,248,20250829,2,63.06,0.44,62.62,Approved,BRL
211,248,20250929,4,33.94,0.47,33.47,Approved,BRL
212,250,20250709,1,227.11,1.65,225.46,Pending,COP
213,251,20240917,2,755.14,6.02,749.12,Approved,MXN
214,251,20250528,4,279.47,2.01,277.46,Pending,MXN
215,253,20251029,1,45.72,0.88,44.84,Approved,NOK
216,253,20250712,2,133.84,1.39,132.45,Approved,NOK
217,253,20250810,6,230.87,1.69,229.18,Approved,NOK
218,253,20250522,6,54.67,0.81,53.86,Approved,NOK
219,259,20250810,3,102.27,0.51,101.76,Approved,USD
220,262,20250808,5,20.46,0.32,20.14,Approved,MXN
221,263,20251025,2,60.99,0.78,60.21,Approved,MXN
222,266,20250916,2,169.5,0.96,168.54,Approved,EUR
223,266,20241206,2,45.54,0.49,45.05,Approved,EUR
224,268,20241205,2,1319.85,5.85,1314.0,Approved,NZD
225,269,20240715,5,5.09,0.25,4.84,Approved,DKK
226,270,20250819,4,73.73,1.03,72.7,Approved,DKK
227,272,20250303,1,87.2,0.87,86.33,Approved,SEK
228,273,20250819,6,2540.36,17.87,2522.49,Approved,EUR
229,275,20250504,4,506.73,1.8,504.93,Approved,EUR
230,276,20250725,2,6.18,0.28,5.9,Approved,EUR
231,277,20250809,6,450.03,1.3,448.73,Approved,NOK
232,278,20250809,5,110.5,1.38,109.12,Pending,BRL
233,279,20250217,4,24.0,0.33,23.67,Approved,EUR
234,279,20250130,1,16.58,0.35,16.23,Approved,EUR
235,280,20251025,5,476.76,3.99,472.77,Approved,EUR
236,280,20251016,3,136.7,1.21,135.49,Approved,EUR
237,281,20250731,2,590.29,2.79,587.5,Approved,EUR
238,283,20251004,6,391.15,3.11,388.04,Approved,AUD
239,285,20240217,2,10.97,0.34,10.63,Approved,EUR
240,285,20250715,4,14.59,0.53,14.06,Approved,EUR
241,285,20250602,3,5.44,0.58,4.86,Approved,EUR
242,287,20251021,1,232.39,1.22,231.17,Approved,AUD
243,288,20250128,3,599.23,3.75,595.48,Approved,ARS
244,288,20250622,3,217.4,1.63,215.77,Approved,ARS
245,290,20250615,3,81.96,0.52,81.44,Approved,CAD
246,293,20250220,6,487.27,3.82,483.45,Approved,DKK
247,293,20250920,5,616.0,4.91,611.09,Approved,DKK
248,293,20250803,4,370.82,1.56,369.26,Pending,DKK
249,293,20241024,4,85.89,0.98,84.91,Approved,DKK
250,293,20240311,2,150.09,1.14,148.95,Approved,DKK
251,295,20250311,3,88.05,0.55,87.5,Pending,SEK
252,296,20251025,4,182.42,1.9,180.52,Approved,AUD
253,296,20241119,1,35.98,0.68,35.3,Approved,AUD
254,296,20250728,2,150.56,1.15,149.41,Approved,AUD
255,296,20250408,3,75.05,0.74,74.31,Approved,AUD
256,300,20250318,6,15.05,0.4,14.65,Approved,BRL
257,302,20250201,6,1338.63,4.53,1334.1,Approved,DKK
258,303,20251022,5,514.86,2.39,512.47,Approved,DKK
259,307,20250616,2,379.9,2.19,377.71,Approved,EUR
260,308,20241206,1,229.86,2.02,227.84,Approved,ARS
261,310,20250813,6,297.34,1.49,295.85,Approved,AUD
262,310,20241220,3,98.2,0.72,97.48,Approved,AUD
263,311,20250723,2,158.9,0.98,157.92,Approved,ARS
264,312,20241123,1,110.61,0.68,109.93,Approved,USD
265,315,20241226,1,22.72,0.38,22.34,Pending,SEK
266,315,20241227,4,8.84,0.59,8.25,Approved,SEK
267,315,20250828,5,60.45,0.82,59.63,Approved,SEK
268,316,20250712,4,11.17,0.48,10.69,Approved,CAD
269,316,20250707,1,166.62,1.0,165.62,Approved,CAD
270,316,20250209,2,41.27,0.49,40.78,Pending,CAD
271,317,20251016,3,5.0,0.27,4.73,Approved,ARS
272,317,20251018,1,123.72,1.19,122.53,Approved,ARS
273,320,20241024,3,19.78,0.27,19.51,Approved,ARS
274,320,20251013,1,8.88,0.28,8.6,Approved,ARS
275,320,20250728,5,32.8,0.42,32.38,Approved,ARS
276,322,20250724,3,304.57,1.76,302.81,Approved,EUR
277,325,20250926,6,67.9,0.73,67.17,Approved,BRL
278,325,20250830,2,55.0,0.62,54.38,Approved,BRL
279,326,20250805,6,102.82,0.62,102.2,Approved,EUR
280,326,20250920,3,221.29,1.34,219.95,Approved,EUR
281,327,20250715,5,56.44,0.69,55.75,Approved,EUR
282,328,20240820,2,14.93,0.53,14.4,Approved,EUR
283,328,20250928,2,53.92,0.85,53.07,Approved,EUR
284,328,20250915,6,180.85,1.33,179.52,Pending,EUR
285,330,20250918,1,103.43,0.99,102.44,Approved,BRL
286,330,20251026,5,230.59,1.65,228.94,Approved,BRL
287,330,20250928,5,149.67,1.07,148.6,Approved,BRL
288,330,20251007,3,304.88,1.58,303.3,Pending,BRL
289,330,20250729,6,276.82,1.88,274.94,Approved,BRL
290,333,20250711,5,570.17,4.14,566.03,Approved,MXN
291,336,20251023,6,3767.52,13.74,3753.78,Approved,CAD
292,338,20241102,6,16.93,0.38,16.55,Approved,DKK
293,338,20241220,4,5.0,0.51,4.49,Declined,DKK
294,342,20250929,2,12.96,0.59,12.37,Approved,NOK
295,345,20250202,6,430.56,1.8,428.76,Approved,DKK
296,345,20251026,2,286.37,1.36,285.01,Approved,DKK
297,345,20251024,1,33.07,0.6,32.47,Approved,DKK
298,345,20250324,6,241.08,1.61,239.47,Approved,DKK
299,348,20250924,2,77.35,0.87,76.48,Approved,NZD
300,349,20250827,2,13190.87,47.34,13143.53,Approved,DKK
301,350,20241111,1,215.73,1.77,213.96,Approved,NOK
302,351,20250629,1,37.29,0.59,36.7,Approved,EUR
303,353,20250725,4,37.17,0.77,36.4,Approved,EUR
304,353,20250521,4,33.97,0.61,33.36,Approved,EUR
305,353,20241205,4,18.98,0.66,18.32,Approved,EUR
306,354,20251021,4,42.55,0.68,41.87,Approved,EUR
307,354,20250926,4,41.09,0.64,40.45,Approved,EUR
308,354,20250528,3,47.75,0.52,47.23,Approved,EUR
309,356,20251012,6,148.77,1.21,147.56,Pending,EUR
310,356,20251031,1,16.26,0.63,15.63,Pending,EUR
311,358,20250527,3,90.88,0.72,90.16,Approved,USD
312,359,20241006,3,1333.83,6.28,1327.55,Declined,EUR
313,360,20250317,2,94.54,0.81,93.73,Approved,ARS
314,361,20250928,3,1165.2,6.59,1158.61,Approved,GBP
315,363,20250202,6,268.05,1.95,266.1,Pending,EUR
316,365,20250530,6,14.09,0.6,13.49,Approved,MXN
317,365,20240519,1,65.17,0.66,64.51,Approved,MXN
318,365,20240622,3,5.0,0.58,4.42,Approved,MXN
319,365,20250828,5,26.22,0.4,25.82,Approved,MXN
320,365,20250110,3,48.28,0.56,47.72,Approved,MXN
321,366,20250712,3,34.09,0.47,33.62,Approved,EUR
322,367,20250921,6,5.0,0.47,4.53,Approved,EUR
323,367,20250501,5,5.0,0.57,4.43,Approved,EUR
324,367,20250908,6,5.0,0.63,4.37,Approved,EUR
325,367,20250530,5,5.0,0.45,4.55,Approved,EUR
326,367,20250206,6,5.0,0.56,4.44,Approved,EUR
327,367,20250531,2,9.05,0.31,8.74,Pending,EUR
328,369,20250628,3,244.05,2.11,241.94,Approved,AUD
329,369,20250827,3,109.78,0.96,108.82,Approved,AUD
330,370,20250910,3,177.85,1.8,176.05,Approved,EUR
331,373,20250929,5,15.74,0.49,15.25,Approved,EUR
332,373,20250220,4,21.23,0.39,20.84,Approved,EUR
333,373,20250724,4,12.59,0.4,12.19,Approved,EUR
334,373,20250709,2,8.0,0.38,7.62,Approved,EUR
335,376,20251016,6,33.87,0.45,33.42,Approved,EUR
336,377,20250530,1,225.55,0.87,224.68,Approved,EUR
337,377,20250925,5,149.17,1.29,147.88,Approved,EUR
338,378,20250927,1,79.34,0.61,78.73,Approved,EUR
339,379,20250425,6,413.0,1.18,411.82,Declined,EUR
340,384,20250914,6,6.59,0.3,6.29,Approved,SEK
341,384,20251012,1,10.11,0.35,9.76,Approved,SEK
342,385,20241222,6,2574.21,15.26,2558.95,Approved,NZD
343,385,20250514,3,169.09,0.96,168.13,Approved,NZD
344,386,20250716,3,5.9,0.46,5.44,Approved,DKK
345,386,20250821,4,18.37,0.62,17.75,Approved,DKK
346,386,20250922,6,10.47,0.26,10.21,Approved,DKK
347,388,20250216,4,2457.12,10.32,2446.8,Approved,EUR
348,388,20250607,2,1891.18,12.05,1879.13,Approved,EUR
349,388,20240803,3,2587.24,8.59,2578.65,Approved,EUR
350,388,20250930,4,11.56,0.64,10.92,Approved,EUR
351,389,20251015,2,55.81,0.85,54.96,Approved,COP
352,389,20251005,2,13.71,0.49,13.22,Pending,COP
353,389,20250328,1,106.1,1.02,105.08,Approved,COP
354,391,20251023,2,117.51,1.18,116.33,Approved,EUR
355,393,20240627,6,8806.66,59.7,8746.96,Approved,NOK
356,394,20241208,1,168.49,0.73,167.76,Approved,BRL
357,394,20241211,3,411.06,3.57,407.49,Approved,BRL
358,395,20250303,2,1965.89,15.26,1950.63,Approved,GBP
359,395,20250417,3,2731.95,20.69,2711.26,Approved,GBP
360,395,20250409,2,4391.0,24.38,4366.62,Approved,GBP
361,395,20250817,2,230.92,2.0,228.92,Approved,GBP
362,396,20250225,3,731.9,5.66,726.24,Approved,EUR
363,397,20251026,6,10.31,0.37,9.94,Approved,NOK
364,397,20251020,5,5.0,0.42,4.58,Approved,NOK
365,399,20241205,6,86.7,1.02,85.68,Approved,NOK
366,401,20251024,6,12.72,0.54,12.18,Approved,AUD
367,401,20250810,6,63.75,0.87,62.88,Approved,AUD
368,401,20250907,1,5.0,0.4,4.6,Approved,AUD
369,401,20241208,5,41.03,0.63,40.4,Approved,AUD
370,401,20250222,6,106.57,1.28,105.29,Approved,AUD
371,405,20241117,5,87.82,0.98,86.84,Approved,EUR
372,405,20250903,2,150.28,1.43,148.85,Approved,EUR
373,405,20240815,3,182.11,1.67,180.44,Approved,EUR
374,405,20250323,6,154.32,1.43,152.89,Approved,EUR
375,406,20250208,4,204.38,1.84,202.54,Approved,COP
376,407,20250516,1,851.51,3.08,848.43,Approved,USD
377,408,20250822,2,46.47,0.57,45.9,Approved,BRL
378,409,20251009,6,523.02,4.1,518.92,Approved,USD
379,410,20250908,4,486.83,1.71,485.12,Approved,NOK
380,412,20241225,5,265.52,0.9,264.62,Declined,EUR
381,413,20251014,2,21.72,0.43,21.29,Approved,USD
382,414,20250704,3,187.85,1.13,186.72,Pending,GBP
383,414,20251019,3,131.1,1.27,129.83,Approved,GBP
384,415,20250805,5,216.28,1.59,214.69,Approved,MXN
385,416,20250727,5,186.45,1.69,184.76,Approved,NZD
386,417,20250705,5,28.81,0.43,28.38,Approved,SEK
387,417,20250512,6,421.03,3.54,417.49,Approved,SEK
388,418,20250902,3,444.18,2.28,441.9,Approved,EUR
389,420,20241224,1,25.16,0.4,24.76,Approved,EUR
390,422,20250521,6,391.64,2.45,389.19,Approved,AUD
391,422,20250407,1,1696.33,9.15,1687.18,Pending,AUD
392,423,20250901,1,74.16,1.02,73.14,Approved,EUR
393,426,20251025,6,29.3,0.38,28.92,Approved,EUR
394,426,20250812,6,21.69,0.54,21.15,Approved,EUR
395,427,20251003,3,49.64,0.65,48.99,Approved,EUR
396,428,20250903,2,1937.59,5.52,1932.07,Approved,COP
397,430,20250702,1,863.74,6.58,857.16,Approved,EUR
398,431,20250530,4,291.54,2.15,289.39,Approved,MXN
399,432,20250709,3,5.0,0.38,4.62,Approved,USD
400,432,20250904,2,12.72,0.65,12.07,Approved,USD
401,432,20250830,4,50.05,0.79,49.26,Approved,USD
402,433,20240303,3,64.58,0.99,63.59,Pending,COP
403,433,20250708,5,227.97,0.91,227.06,Approved,COP
404,435,20251028,3,7.42,0.32,7.1,Pending,USD
405,436,20251024,6,114.21,0.92,113.29,Approved,EUR
406,437,20250922,5,12.97,0.64,12.33,Approved,EUR
407,441,20250826,6,185.37,1.01,184.36,Approved,EUR
408,441,20250717,2,871.17,3.95,867.22,Approved,EUR
409,441,20250429,3,198.9,1.34,197.56,Approved,EUR
410,442,20250702,6,160.94,0.83,160.11,Approved,ARS
411,442,20250928,6,79.09,0.94,78.15,Declined,ARS
412,445,20250426,6,5.0,0.46,4.54,Approved,AUD
413,445,20250308,2,5.0,0.47,4.53,Approved,AUD
414,445,20241226,4,15.09,0.28,14.81,Approved,AUD
415,447,20251029,6,1065.57,6.34,1059.23,Approved,ARS
416,450,20250613,2,91.58,0.87,90.71,Approved,DKK
417,450,20250718,4,112.29,0.49,111.8,Approved,DKK
418,450,20250126,4,10.81,0.57,10.24,Approved,DKK
419,452,20250711,5,24.55,0.4,24.15,Declined,AUD
420,453,20250704,5,13.93,0.46,13.47,Approved,COP
421,455,20250326,6,1584.57,10.63,1573.94,Approved,USD
422,456,20241222,3,145.78,1.39,144.39,Approved,BRL
423,456,20250911,6,288.97,1.54,287.43,Approved,BRL
424,456,20250915,6,208.78,1.47,207.31,Approved,BRL
425,456,20241123,1,43.78,0.58,43.2,Approved,BRL
426,461,20240911,5,282.23,2.3,279.93,Approved,EUR
427,461,20250606,3,174.35,1.9,172.45,Approved,EUR
428,463,20250426,3,21.69,0.34,21.35,Approved,EUR
429,464,20251010,5,83.33,0.84,82.49,Approved,DKK
430,465,20251016,3,26.73,0.62,26.11,Approved,EUR
431,465,20250619,6,66.99,0.46,66.53,Approved,EUR
432,467,20251029,3,120.18,0.99,119.19,Approved,AUD
433,468,20251003,6,8.57,0.26,8.31,Approved,CAD
434,468,20250608,6,6.09,0.39,5.7,Approved,CAD
435,468,20250910,2,14.98,0.59,14.39,Approved,CAD
436,468,20251009,6,5.0,0.37,4.63,Approved,CAD
437,468,20250919,4,6.05,0.4,5.65,Approved,CAD
438,474,20250708,1,1281.41,6.51,1274.9,Declined,CAD
439,476,20240822,1,94.7,0.82,93.88,Approved,COP
440,477,20250814,6,5.0,0.24,4.76,Approved,EUR
441,478,20250508,1,17.93,0.67,17.26,Approved,NZD
442,478,20250517,1,17.41,0.41,17.0,Approved,NZD
443,478,20251027,5,16.47,0.34,16.13,Approved,NZD
444,480,20250829,2,210.68,1.42,209.26,Approved,BRL
445,480,20250401,6,184.47,1.61,182.86,Approved,BRL
446,481,20250918,6,15.9,0.41,15.49,Approved,NZD
447,481,20251001,3,10.1,0.67,9.43,Approved,NZD
448,482,20241105,4,148.12,1.37,146.75,Approved,EUR
449,482,20250812,6,97.57,0.88,96.69,Pending,EUR
450,483,20250907,2,5.0,0.52,4.48,Approved,EUR
451,483,20251013,1,6.65,0.29,6.36,Approved,EUR
452,483,20250830,5,20.83,0.72,20.11,Approved,EUR
453,486,20250715,6,94.23,0.74,93.49,Approved,EUR
454,486,20251006,5,37.43,0.41,37.02,Approved,EUR
455,487,20251021,3,57.91,0.64,57.27,Approved,EUR
456,488,20241029,6,1321.93,4.74,1317.19,Approved,EUR
457,489,20250827,3,1101.43,6.87,1094.56,Approved,CAD
458,494,20250601,4,566.38,1.8,564.58,Approved,EUR
459,494,20250817,1,173.12,1.0,172.12,Approved,EUR
460,496,20250314,6,814.16,4.09,810.07,Approved,NOK
461,497,20250725,2,270.32,1.47,268.85,Approved,ARS
462,498,20240803,6,915.42,2.74,912.68,Approved,DKK
