player_id,open_date,country,open_year_month,open_month_index
P00055,2024-02-22,Italy,202402,2
P00056,2024-12-05,France,202412,12
P00057,2024-04-01,France,202404,4
P00058,2024-09-20,Brazil,202409,9
P00059,2024-02-04,UK,202402,2
P00060,2024-07-24,UK,202407,7
P00061,2024-03-21,France,202403,3
P00062,2024-02-19,UK,202402,2
P00063,2024-12-25,UK,202412,12
P00064,2024-01-02,Spain,202401,1
P00065,2024-02-23,Germany,202402,2
P00066,2024-04-15,Brazil,202404,4
P00067,2024-09-16,Brazil,202409,9
P00068,2024-11-05,France,202411,11
P00069,2024-07-09,France,202407,7
P00070,2024-08-05,Germany,202408,8
P00071,2024-02-13,Spain,202402,2
P00072,2024-06-10,France,202406,6
P00073,2024-07-20,Spain,202407,7
P00074,2024-09-26,Germany,202409,9
P00075,2024-12-16,Spain,202412,12
P00076,2024-10-30,Germany,202410,10
P00077,2024-09-27,France,202409,9
P00078,2024-08-02,Canada,202408,8
P00079,2024-09-08,Italy,202409,9
P00080,2024-07-08,UK,202407,7
P00081,2024-10-22,Brazil,202410,10
P00082,2024-07-31,Germany,202407,7
P00083,2024-07-26,Brazil,202407,7
P00084,2024-08-24,Italy,202408,8
P00085,2024-12-03,Germany,202412,12
P00086,2024-02-22,UK,202402,2
P00087,2024-10-06,France,202410,10
P00088,2024-08-04,Spain,202408,8
P00089,2024-09-08,Spain,202409,9
P00090,2024-07-06,France,202407,7
P00091,2024-02-10,UK,202402,2
P00092,2024-06-05,Brazil,202406,6
P00093,2024-01-15,Canada,202401,1
P00094,2024-10-27,Spain,202410,10
P00095,2024-03-05,UK,202403,3
P00096,2024-12-10,France,202412,12
P00097,2024-11-22,UK,202411,11
P00098,2024-01-09,Canada,202401,1
P00099,2024-12-09,UK,202412,12
P00100,2024-05-08,Spain,202405,5
P00101,2024-05-15,France,202405,5
P00102,2024-03-03,Spain,202403,3
P00103,2024-05-18,Italy,202405,5
P00104,2024-03-21,Brazil,202403,3
P00105,2024-06-11,France,202406,6
P00106,2024-10-15,UK,202410,10
P00107,2024-09-17,UK,202409,9
P00108,2024-08-18,Canada,202408,8
P00109,2024-02-10,Brazil,202402,2
P00110,2024-01-28,Spain,202401,1
P00111,2024-05-14,Spain,202405,5
P00112,2024-07-19,Italy,202407,7
P00113,2024-11-23,UK,202411,11
P00114,2024-09-24,Canada,202409,9
P00115,2024-02-02,Germany,202402,2
P00116,2024-02-17,Germany,202402,2
P00117,2024-03-02,Spain,202403,3
P00118,2024-08-03,UK,202408,8
P00119,2024-10-19,UK,202410,10
P00120,2024-04-08,Italy,202404,4
P00121,2024-06-20,UK,202406,6
P00122,2024-12-25,Spain,202412,12
P00123,2024-08-01,France,202408,8
P00124,2024-02-04,Germany,202402,2
P00125,2024-08-14,France,202408,8
P00126,2024-04-10,Germany,202404,4
P00127,2024-05-10,Italy,202405,5
P00128,2024-09-13,France,202409,9
P00129,2024-01-05,Spain,202401,1
P00130,2024-08-05,Germany,202408,8
P00131,2024-09-11,Italy,202409,9
P00132,2024-12-24,Canada,202412,12
P00133,2024-10-09,Italy,202410,10
P00134,2024-07-25,France,202407,7
P00135,2024-01-15,UK,202401,1
P00136,2024-12-11,France,202412,12
P00137,2024-02-11,Spain,202402,2
P00138,2024-06-27,UK,202406,6
P00139,2024-03-03,Germany,202403,3
P00140,2024-12-17,Spain,202412,12
P00141,2024-08-18,France,202408,8
P00142,2024-08-28,Italy,202408,8
P00143,2024-02-21,UK,202402,2
P00144,2024-04-05,UK,202404,4
P00145,2024-08-09,Italy,202408,8
P00146,2024-08-18,Germany,202408,8
P00147,2024-08-24,Italy,202408,8
P00148,2024-05-22,Germany,202405,5
P00149,2024-06-19,France,202406,6
P00150,2024-01-29,Brazil,202401,1
P00151,2024-02-05,Italy,202402,2
P00152,2024-01-13,Italy,202401,1
P00153,2024-06-08,France,202406,6
P00154,2024-11-22,Spain,202411,11
P00155,2024-07-05,Germany,202407,7
P00156,2024-08-30,UK,202408,8
P00157,2024-03-26,Canada,202403,3
P00158,2024-10-10,UK,202410,10
P00159,2024-03-06,Canada,202403,3
P00160,2024-06-18,Germany,202406,6
P00161,2024-02-14,UK,202402,2
P00162,2024-03-02,Spain,202403,3
P00163,2024-05-13,Brazil,202405,5
P00164,2024-10-10,Italy,202410,10
P00165,2024-01-28,Brazil,202401,1
P00166,2024-04-17,Italy,202404,4
P00167,2024-02-13,Italy,202402,2
P00168,2024-12-05,Brazil,202412,12
P00169,2024-10-12,France,202410,10
P00170,2024-11-26,Germany,202411,11
P00171,2024-05-07,France,202405,5
P00172,2024-12-13,Canada,202412,12
P00173,2024-08-18,Canada,202408,8
P00174,2024-07-08,UK,202407,7
P00175,2024-08-12,Italy,202408,8
P00176,2024-10-09,Canada,202410,10
P00177,2024-04-30,UK,202404,4
P00178,2024-04-25,Spain,202404,4
P00179,2024-08-20,Canada,202408,8
P00180,2024-09-15,UK,202409,9
P00181,2024-12-24,Italy,202412,12
P00182,2024-07-16,France,202407,7
P00183,2024-05-16,Canada,202405,5
P00184,2024-11-13,Canada,202411,11
P00185,2024-06-13,Canada,202406,6
P00186,2024-08-12,Germany,202408,8
P00187,2024-11-02,Brazil,202411,11
P00188,2024-08-21,Brazil,202408,8
P00189,2024-06-20,France,202406,6
P00190,2024-05-31,Brazil,202405,5
P00191,2024-11-10,UK,202411,11
P00192,2024-06-08,Spain,202406,6
P00193,2024-04-05,France,202404,4
P00194,2024-08-20,UK,202408,8
P00195,2024-06-28,UK,202406,6
P00196,2024-04-22,Italy,202404,4
P00197,2024-11-13,France,202411,11
P00198,2024-02-21,Italy,202402,2
P00199,2024-09-24,UK,202409,9
P00200,2024-10-21,France,202410,10
P00201,2024-04-22,Spain,202404,4
P00202,2024-04-10,Italy,202404,4
P00203,2024-04-22,France,202404,4
P00204,2024-03-21,Spain,202403,3
P00205,2024-07-05,Brazil,202407,7
P00206,2024-04-22,Spain,202404,4
P00207,2024-01-02,France,202401,1
P00208,2024-05-09,UK,202405,5
P00209,2024-08-07,Brazil,202408,8
P00210,2024-02-23,UK,202402,2
P00211,2024-12-08,Brazil,202412,12
P00212,2024-08-11,Spain,202408,8
P00213,2024-08-12,Canada,202408,8
P00214,2024-05-05,Italy,202405,5
P00215,2024-05-09,Canada,202405,5
P00216,2024-02-22,Germany,202402,2
P00217,2024-06-20,Italy,202406,6
P00218,2024-08-05,Germany,202408,8
P00219,2024-06-08,Germany,202406,6
P00220,2024-07-16,Spain,202407,7
P00221,2024-09-03,Brazil,202409,9
P00222,2024-11-19,Canada,202411,11
P00223,2024-07-21,Italy,202407,7
P00224,2024-07-02,Germany,202407,7
P00225,2024-05-02,Germany,202405,5
P00226,2024-09-11,Italy,202409,9
P00227,2024-10-20,France,202410,10
P00228,2024-10-06,UK,202410,10
P00229,2024-11-20,Germany,202411,11
P00230,2024-04-07,France,202404,4
P00231,2024-07-16,France,202407,7
P00232,2024-08-27,France,202408,8
P00233,2024-05-23,UK,202405,5
P00234,2024-04-06,UK,202404,4
P00235,2024-07-19,Canada,202407,7
P00236,2024-05-03,Germany,202405,5
P00237,2024-07-05,Germany,202407,7
P00238,2024-11-21,Italy,202411,11
P00239,2024-12-14,France,202412,12
P00240,2024-09-15,Canada,202409,9
P00241,2024-05-27,Italy,202405,5
P00242,2024-09-08,UK,202409,9
P00243,2024-12-11,Germany,202412,12
P00244,2024-05-26,Brazil,202405,5
P00245,2024-05-27,Canada,202405,5
P00246,2024-12-17,Germany,202412,12
P00247,2024-07-17,Spain,202407,7
P00248,2024-11-03,UK,202411,11
P00249,2024-05-07,Canada,202405,5
P00250,2024-02-08,France,202402,2
P00251,2024-12-03,Canada,202412,12
P00252,2024-12-25,Spain,202412,12
P00253,2024-05-08,Spain,202405,5
P00254,2024-09-23,Spain,202409,9
P00255,2024-05-30,France,202405,5
P00256,2024-10-24,UK,202410,10
P00257,2024-04-08,France,202404,4
P00258,2024-09-19,UK,202409,9
P00259,2024-09-08,Italy,202409,9
P00260,2024-05-23,Germany,202405,5
P00261,2024-12-11,UK,202412,12
P00262,2024-04-21,Canada,202404,4
P00263,2024-02-29,Brazil,202402,2
P00264,2024-01-02,Canada,202401,1
P00265,2024-10-30,Canada,202410,10
P00266,2024-09-10,UK,202409,9
P00267,2024-05-19,Germany,202405,5
P00268,2024-02-06,Italy,202402,2
P00269,2024-06-08,Italy,202406,6
P00270,2024-01-09,UK,202401,1
P00271,2024-08-20,Brazil,202408,8
P00272,2024-04-08,France,202404,4
P00273,2024-05-26,France,202405,5
P00274,2024-10-30,Spain,202410,10
P00275,2024-07-26,Spain,202407,7
P00276,2024-05-10,Spain,202405,5
P00277,2024-05-31,UK,202405,5
P00278,2024-02-23,Brazil,202402,2
P00279,2024-04-29,France,202404,4
P00280,2024-06-09,UK,202406,6
P00281,2024-04-25,Brazil,202404,4
P00282,2024-03-15,Canada,202403,3
P00283,2024-04-22,Brazil,202404,4
P00284,2024-04-13,Brazil,202404,4
P00285,2024-12-05,Italy,202412,12
P00286,2024-09-10,Spain,202409,9
P00287,2024-08-14,UK,202408,8
P00288,2024-04-21,Germany,202404,4
P00289,2024-04-08,Germany,202404,4
P00290,2024-06-01,France,202406,6
P00291,2024-12-14,Italy,202412,12
P00292,2024-12-03,Germany,202412,12
P00293,2024-07-12,UK,202407,7
P00294,2024-11-05,France,202411,11
P00295,2024-06-11,Italy,202406,6
P00296,2024-07-26,UK,202407,7
P00297,2024-06-17,Brazil,202406,6
P00298,2024-06-09,Germany,202406,6
P00299,2024-03-08,Germany,202403,3
P00300,2024-10-15,Spain,202410,10
P00301,2024-10-03,Brazil,202410,10
P00302,2024-10-30,France,202410,10
P00303,2024-05-14,Italy,202405,5
P00304,2024-07-13,Spain,202407,7
P00305,2024-05-07,France,202405,5
P00306,2024-02-02,Brazil,202402,2
P00307,2024-06-24,Italy,202406,6
P00308,2024-01-22,Italy,202401,1
P00309,2024-08-25,Brazil,202408,8
P00310,2024-06-06,Brazil,202406,6
P00311,2024-02-07,Italy,202402,2
P00312,2024-08-17,Brazil,202408,8
P00313,2024-12-30,Italy,202412,12
P00314,2024-02-20,Italy,202402,2
P00315,2024-09-20,Spain,202409,9
P00316,2024-10-09,Italy,202410,10
P00317,2024-01-27,UK,202401,1
P00318,2024-08-13,Brazil,202408,8
P00319,2024-10-03,Brazil,202410,10
P00320,2024-10-12,UK,202410,10
P00321,2024-04-06,Brazil,202404,4
P00322,2024-10-10,UK,202410,10
P00323,2024-11-12,France,202411,11
P00324,2024-10-30,Italy,202410,10
P00325,2024-05-26,UK,202405,5
P00326,2024-01-04,Brazil,202401,1
P00327,2024-02-04,Brazil,202402,2
P00328,2024-07-10,Spain,202407,7
P00329,2024-02-18,UK,202402,2
P00330,2024-01-17,France,202401,1
P00331,2024-06-20,Spain,202406,6
P00332,2024-08-07,Canada,202408,8
P00333,2024-06-06,Spain,202406,6
P00334,2024-02-15,France,202402,2
P00335,2024-01-06,Spain,202401,1
P00336,2024-04-08,Spain,202404,4
P00337,2024-08-20,Italy,202408,8
P00338,2024-02-06,UK,202402,2
P00339,2024-10-06,Italy,202410,10
P00340,2024-12-14,Spain,202412,12
P00341,2024-10-28,Canada,202410,10
P00342,2024-06-29,France,202406,6
P00343,2024-04-04,Spain,202404,4
P00344,2024-04-08,Canada,202404,4
P00345,2024-07-06,UK,202407,7
P00346,2024-04-25,Canada,202404,4
P00347,2024-07-09,Italy,202407,7
P00348,2024-09-09,UK,202409,9
P00349,2024-06-09,France,202406,6
P00350,2024-09-12,Italy,202409,9
P00351,2024-11-18,UK,202411,11
P00352,2024-05-07,Spain,202405,5
P00353,2024-01-18,France,202401,1
P00354,2024-10-07,Spain,202410,10
P00355,2024-08-10,UK,202408,8
P00356,2024-02-23,Brazil,202402,2
P00357,2024-02-27,Canada,202402,2
P00358,2024-11-18,Canada,202411,11
P00359,2024-12-25,Italy,202412,12
P00360,2024-06-22,UK,202406,6
P00361,2024-10-06,Italy,202410,10
P00362,2024-04-23,UK,202404,4
P00363,2024-10-14,UK,202410,10
P00364,2024-12-07,France,202412,12
P00365,2024-05-30,Germany,202405,5
P00366,2024-05-06,Italy,202405,5
P00367,2024-06-03,Italy,202406,6
P00368,2024-09-29,Germany,202409,9
P00369,2024-04-13,France,202404,4
P00370,2024-10-25,Canada,202410,10
P00371,2024-09-02,Germany,202409,9
P00372,2024-06-24,Germany,202406,6
P00373,2024-02-08,UK,202402,2
P00374,2024-06-18,Italy,202406,6
P00375,2024-09-03,Italy,202409,9
P00376,2024-01-26,France,202401,1
P00377,2024-12-20,UK,202412,12
P00378,2024-11-01,Italy,202411,11
P00379,2024-01-13,Italy,202401,1
P00380,2024-11-11,France,202411,11
P00381,2024-11-08,Canada,202411,11
P00382,2024-02-05,UK,202402,2
P00383,2024-06-21,Germany,202406,6
P00384,2024-01-20,Canada,202401,1
P00385,2024-11-16,Germany,202411,11
P00386,2024-09-20,Spain,202409,9
P00387,2024-05-21,Germany,202405,5
P00388,2024-05-22,France,202405,5
P00389,2024-04-01,Canada,202404,4
P00390,2024-12-19,Germany,202412,12
P00391,2024-11-17,Brazil,202411,11
P00392,2024-10-14,France,202410,10
P00393,2024-08-02,France,202408,8
P00394,2024-12-07,UK,202412,12
P00395,2024-02-20,Italy,202402,2
P00396,2024-06-01,Germany,202406,6
P00397,2024-07-04,Brazil,202407,7
P00398,2024-03-03,Germany,202403,3
P00399,2024-07-08,Canada,202407,7
P00400,2024-05-04,UK,202405,5
P00401,2024-05-29,Brazil,202405,5
P00402,2024-11-09,Italy,202411,11
P00403,2024-02-27,Italy,202402,2
P00404,2024-12-07,Brazil,202412,12
P00405,2024-10-31,Italy,202410,10
P00406,2024-06-28,Spain,202406,6
P00407,2024-06-18,UK,202406,6
P00408,2024-11-21,UK,202411,11
P00409,2024-09-27,Canada,202409,9
P00410,2024-02-23,Spain,202402,2
P00411,2024-04-10,Italy,202404,4
P00412,2024-09-20,Germany,202409,9
P00413,2024-02-22,UK,202402,2
P00414,2024-02-29,UK,202402,2
P00415,2024-04-17,Italy,202404,4
P00416,2024-01-05,Germany,202401,1
P00417,2024-04-12,France,202404,4
P00418,2024-07-14,Germany,202407,7
P00419,2024-09-18,UK,202409,9
P00420,2024-12-30,Spain,202412,12
P00421,2024-12-15,France,202412,12
P00422,2024-02-16,Italy,202402,2
P00423,2024-12-20,France,202412,12
P00424,2024-11-06,Germany,202411,11
P00425,2024-11-03,UK,202411,11
P00426,2024-05-23,UK,202405,5
P00427,2024-09-25,Germany,202409,9
P00428,2024-05-03,Germany,202405,5
P00429,2024-04-15,Spain,202404,4
P00430,2024-06-06,France,202406,6
P00431,2024-05-26,Italy,202405,5
P00432,2024-05-24,Brazil,202405,5
P00433,2024-04-29,Italy,202404,4
P00434,2024-11-14,UK,202411,11
P00435,2024-10-01,Germany,202410,10
P00436,2024-04-01,UK,202404,4
P00437,2024-02-27,France,202402,2
P00438,2024-12-11,Canada,202412,12
P00439,2024-08-16,UK,202408,8
P00440,2024-04-26,Germany,202404,4
P00441,2024-11-13,Spain,202411,11
P00442,2024-10-05,Italy,202410,10
P00443,2024-05-06,Spain,202405,5
P00444,2024-05-08,UK,202405,5
P00445,2024-02-27,France,202402,2
P00446,2024-05-01,Spain,202405,5
P00447,2024-01-01,UK,202401,1
P00448,2024-08-26,Germany,202408,8
P00449,2024-10-16,UK,202410,10
P00450,2024-04-05,UK,202404,4
P00451,2024-05-05,Germany,202405,5
P00452,2024-04-27,UK,202404,4
P00453,2024-02-17,Spain,202402,2
P00454,2024-03-29,Italy,202403,3
P00455,2024-08-24,Brazil,202408,8
P00456,2024-09-28,France,202409,9
P00457,2024-07-07,UK,202407,7
P00458,2024-07-10,UK,202407,7
P00459,2024-03-09,Spain,202403,3
P00460,2024-10-04,Italy,202410,10
P00461,2024-12-14,UK,202412,12
P00462,2024-09-03,Canada,202409,9
P00463,2024-03-16,UK,202403,3
P00464,2024-06-02,Spain,202406,6
P00465,2024-05-23,Italy,202405,5
P00466,2024-03-26,Brazil,202403,3
P00467,2024-07-03,Italy,202407,7
P00468,2024-10-11,Brazil,202410,10
P00469,2024-08-07,France,202408,8
P00470,2024-03-09,Brazil,202403,3
P00471,2024-02-16,UK,202402,2
P00472,2024-04-03,Brazil,202404,4
P00473,2024-08-25,Spain,202408,8
P00474,2024-07-22,Brazil,202407,7
P00475,2024-08-05,Germany,202408,8
P00476,2024-12-06,Spain,202412,12
P00477,2024-02-08,Spain,202402,2
P00478,2024-04-09,Italy,202404,4
P00479,2024-10-15,UK,202410,10
P00480,2024-09-10,UK,202409,9
P00481,2024-08-09,France,202408,8
P00482,2024-12-22,UK,202412,12
P00483,2024-01-23,Brazil,202401,1
P00484,2024-09-06,France,202409,9
P00485,2024-01-10,Canada,202401,1
P00486,2024-09-02,France,202409,9
P00487,2024-11-20,UK,202411,11
P00488,2024-04-09,Italy,202404,4
P00489,2024-10-16,Italy,202410,10
P00490,2024-06-28,Germany,202406,6
P00491,2024-08-10,Spain,202408,8
P00492,2024-09-06,Italy,202409,9
P00493,2024-05-26,France,202405,5
P00494,2024-04-05,Canada,202404,4
P00495,2024-09-13,Canada,202409,9
P00496,2024-11-20,Italy,202411,11
P00497,2024-01-04,UK,202401,1
P00498,2024-01-16,Italy,202401,1
P00499,2024-10-06,UK,202410,10
P00500,2024-12-01,UK,202412,12
P00501,2024-09-03,France,202409,9
P00502,2024-09-14,Germany,202409,9
P00503,2024-06-08,Brazil,202406,6
P00504,2024-12-05,Italy,202412,12
P00505,2024-05-31,Italy,202405,5
P00506,2024-06-26,Germany,202406,6
P00507,2024-06-11,France,202406,6
P00508,2024-02-02,Germany,202402,2
P00509,2024-06-27,Canada,202406,6
P00510,2024-04-10,UK,202404,4
P00511,2024-09-24,Brazil,202409,9
P00512,2024-11-18,Spain,202411,11
P00513,2024-03-05,Germany,202403,3
P00514,2024-06-16,Italy,202406,6
P00515,2024-11-25,Germany,202411,11
P00516,2024-02-12,Brazil,202402,2
P00517,2024-02-13,Canada,202402,2
P00518,2024-10-11,Germany,202410,10
P00519,2024-01-12,France,202401,1
P00520,2024-04-04,Spain,202404,4
P00521,2024-10-28,Canada,202410,10
P00522,2024-09-09,France,202409,9
P00523,2024-08-29,Spain,202408,8
P00524,2024-02-04,Spain,202402,2
P00525,2024-08-02,Italy,202408,8
P00526,2024-12-02,UK,202412,12
P00527,2024-03-30,Italy,202403,3
P00528,2024-09-20,Canada,202409,9
P00529,2024-04-02,UK,202404,4
P00530,2024-03-30,France,202403,3
P00531,2024-04-24,Canada,202404,4
P00532,2024-04-14,UK,202404,4
P00533,2024-07-14,Brazil,202407,7
P00534,2024-11-09,Germany,202411,11
P00535,2024-04-23,France,202404,4
P00536,2024-03-15,Brazil,202403,3
P00537,2024-08-04,Germany,202408,8
P00538,2024-10-03,Spain,202410,10
P00539,2024-09-05,Germany,202409,9
P00540,2024-06-12,Spain,202406,6
P00541,2024-12-22,UK,202412,12
P00542,2024-07-10,Germany,202407,7
P00543,2024-08-14,Canada,202408,8
P00544,2024-06-25,France,202406,6
P00545,2024-04-08,Italy,202404,4
P00546,2024-02-05,France,202402,2
P00547,2024-04-05,Italy,202404,4
P00548,2024-05-31,UK,202405,5
P00549,2024-05-30,Canada,202405,5
P00550,2024-07-08,Germany,202407,7
P00551,2024-08-11,France,202408,8
P00552,2024-02-06,UK,202402,2
P00553,2024-09-24,UK,202409,9
P00554,2024-07-01,Spain,202407,7
P00555,2024-01-13,France,202401,1
P00556,2024-10-05,Brazil,202410,10
P00557,2024-08-04,Germany,202408,8
P00558,2024-12-20,France,202412,12
P00559,2024-12-26,Spain,202412,12
P00560,2024-10-12,Italy,202410,10
P00561,2024-09-29,UK,202409,9
P00562,2024-03-02,UK,202403,3
P00563,2024-03-24,UK,202403,3
P00564,2024-08-04,Italy,202408,8
P00565,2024-12-07,Italy,202412,12
P00566,2024-07-05,Germany,202407,7
P00567,2024-01-19,Brazil,202401,1
P00568,2024-06-25,Brazil,202406,6
P00569,2024-04-09,Spain,202404,4
P00570,2024-08-20,Brazil,202408,8
P00571,2024-03-16,France,202403,3
P00572,2024-09-21,UK,202409,9
P00573,2024-10-10,France,202410,10
P00574,2024-07-24,UK,202407,7
P00575,2024-08-10,Spain,202408,8
P00576,2024-02-21,Canada,202402,2
P00577,2024-12-04,UK,202412,12
P00578,2024-05-23,UK,202405,5
P00579,2024-03-09,Germany,202403,3
P00580,2024-04-08,Canada,202404,4
P00581,2024-01-25,France,202401,1
P00582,2024-02-22,Spain,202402,2
P00583,2024-05-30,UK,202405,5
P00584,2024-05-23,UK,202405,5
P00585,2024-02-26,Canada,202402,2
P00586,2024-02-08,Canada,202402,2
P00587,2024-04-18,UK,202404,4
P00588,2024-06-29,Canada,202406,6
P00589,2024-02-11,Spain,202402,2
P00590,2024-07-04,Brazil,202407,7
P00591,2024-08-10,Germany,202408,8
P00592,2024-05-01,Spain,202405,5
P00593,2024-05-12,Germany,202405,5
P00594,2024-06-11,Italy,202406,6
P00595,2024-08-02,UK,202408,8
P00596,2024-08-08,UK,202408,8
P00597,2024-08-22,France,202408,8
P00598,2024-11-26,Italy,202411,11
P00599,2024-05-25,France,202405,5
P00600,2024-08-26,Italy,202408,8
P00601,2024-03-16,Canada,202403,3
P00602,2024-01-09,UK,202401,1
P00603,2024-03-14,Italy,202403,3
P00604,2024-09-09,Germany,202409,9
P00605,2024-08-17,Brazil,202408,8
P00606,2024-01-07,UK,202401,1
P00607,2024-06-22,Italy,202406,6
P00608,2024-05-20,Brazil,202405,5
P00609,2024-06-16,Canada,202406,6
P00610,2024-06-18,Italy,202406,6
P00611,2024-10-09,Germany,202410,10
P00612,2024-05-01,Spain,202405,5
P00613,2024-07-12,Brazil,202407,7
P00614,2024-01-05,Spain,202401,1
P00615,2024-01-29,UK,202401,1
P00616,2024-06-13,Canada,202406,6
P00617,2024-12-04,Italy,202412,12
P00618,2024-05-15,Italy,202405,5
P00619,2024-12-30,France,202412,12
P00620,2024-11-16,Italy,202411,11
P00621,2024-12-07,Germany,202412,12
P00622,2024-05-24,Italy,202405,5
P00623,2024-11-22,UK,202411,11
P00624,2024-08-04,Italy,202408,8
P00625,2024-10-27,Canada,202410,10
P00626,2024-05-11,UK,202405,5
P00627,2024-10-18,Canada,202410,10
P00628,2024-03-10,Germany,202403,3
P00629,2024-09-08,Brazil,202409,9
P00630,2024-10-01,Italy,202410,10
P00631,2024-12-29,Spain,202412,12
P00632,2024-06-30,Italy,202406,6
P00633,2024-06-15,Brazil,202406,6
P00634,2024-03-31,Germany,202403,3
P00635,2024-07-20,France,202407,7
P00636,2024-12-11,Italy,202412,12
P00637,2024-01-19,Brazil,202401,1
P00638,2024-02-08,Italy,202402,2
P00639,2024-05-05,Italy,202405,5
P00640,2024-06-21,Germany,202406,6
P00641,2024-05-20,Brazil,202405,5
P00642,2024-08-29,UK,202408,8
P00643,2024-08-07,Spain,202408,8
P00644,2024-05-05,UK,202405,5
P00645,2024-02-27,France,202402,2
P00646,2024-05-27,Germany,202405,5
P00647,2024-11-12,Germany,202411,11
P00648,2024-12-26,Italy,202412,12
P00649,2024-01-01,Germany,202401,1
P00650,2024-12-13,Germany,202412,12
P00651,2024-07-08,France,202407,7
P00652,2024-07-09,Germany,202407,7
P00653,2024-11-07,France,202411,11
P00654,2024-04-26,UK,202404,4
P00655,2024-05-13,Spain,202405,5
P00656,2024-02-27,Italy,202402,2
P00657,2024-02-13,Spain,202402,2
P00658,2024-06-21,Germany,202406,6
P00659,2024-06-08,Germany,202406,6
P00660,2024-06-21,Brazil,202406,6
P00661,2024-11-12,Spain,202411,11
P00662,2024-10-29,Germany,202410,10
P00663,2024-05-28,UK,202405,5
P00664,2024-03-20,France,202403,3
P00665,2024-07-31,Germany,202407,7
P00666,2024-07-21,Germany,202407,7
P00667,2024-09-08,Spain,202409,9
P00668,2024-08-16,Spain,202408,8
P00669,2024-06-12,Spain,202406,6
P00670,2024-08-14,Italy,202408,8
P00671,2024-05-26,Brazil,202405,5
P00672,2024-01-20,Italy,202401,1
P00673,2024-02-16,Canada,202402,2
P00674,2024-08-20,UK,202408,8
P00675,2024-10-31,UK,202410,10
P00676,2024-01-14,UK,202401,1
P00677,2024-05-22,Spain,202405,5
P00678,2024-01-01,Brazil,202401,1
P00679,2024-02-23,France,202402,2
P00680,2024-09-15,Canada,202409,9
P00681,2024-05-23,UK,202405,5
P00682,2024-01-12,Canada,202401,1
P00683,2024-11-25,Germany,202411,11
P00684,2024-08-11,UK,202408,8
P00685,2024-09-28,Germany,202409,9
P00686,2024-12-23,France,202412,12
P00687,2024-06-04,France,202406,6
P00688,2024-01-08,France,202401,1
P00689,2024-05-01,Brazil,202405,5
P00690,2024-12-13,Spain,202412,12
P00691,2024-06-12,France,202406,6
P00692,2024-03-30,Spain,202403,3
P00693,2024-05-15,Italy,202405,5
P00694,2024-07-04,France,202407,7
P00695,2024-11-11,Germany,202411,11
P00696,2024-06-26,UK,202406,6
P00697,2024-01-28,UK,202401,1
P00698,2024-08-07,Italy,202408,8
P00699,2024-12-22,UK,202412,12
P00700,2024-02-10,Spain,202402,2
P00701,2024-08-15,Italy,202408,8
P00702,2024-07-10,UK,202407,7
P00703,2024-05-24,Spain,202405,5
P00704,2024-07-19,France,202407,7
P00705,2024-07-30,Canada,202407,7
P00706,2024-08-07,Germany,202408,8
P00707,2024-08-27,Brazil,202408,8
P00708,2024-02-15,Spain,202402,2
P00709,2024-02-04,UK,202402,2
P00710,2024-09-09,Spain,202409,9
P00711,2024-03-22,Canada,202403,3
