purchase_id,customer_id,date_id,payment_method_id,gross_purchase_amount,bonus_credit,payment_fees,net_deposit,currency,status
77,1866,20240224,1,121.24,0.0,2.28,118.96,AUD,Approved
78,1947,20240425,2,63.88,0.0,1.31,62.57,EUR,Approved
79,4687,20250819,3,86.9,0.0,2.56,84.34,MXN,Approved
80,3213,20241005,2,53.76,0.0,1.12,52.64,CAD,Approved
81,2279,20250329,4,60.39,0.0,1.48,58.91,EUR,Approved
82,393,20240521,1,66.61,14.6,1.3,65.31,NOK,Approved
83,5800,20250830,5,18.95,0.0,0.57,18.38,EUR,Approved
84,4834,20240218,1,33.74,0.0,0.71,33.03,SEK,Approved
85,385,20250103,1,19.95,3.67,0.46,19.49,NZD,Approved
86,333,20250104,2,17.15,0.0,0.43,16.72,MXN,Approved
87,1552,20241027,3,220.65,0.0,6.04,214.61,BRL,Approved
88,349,20241217,3,130.07,0.0,3.68,126.39,DKK,Approved
89,4374,20240713,1,42.6,0.0,0.87,41.73,EUR,Approved
90,1267,20241031,4,120.88,0.0,2.81,118.07,EUR,Approved
91,5203,20240906,1,59.02,3.92,1.16,57.86,DKK,Approved
92,3561,20240914,3,642.12,0.0,17.0,625.12,EUR,Approved
93,2842,20250325,6,28.78,0.0,0.43,28.35,GBP,Approved
94,721,20240228,2,101.31,0.0,2.02,99.29,AUD,Approved
95,835,20240808,2,164.67,0.0,3.23,161.44,EUR,Approved
96,764,20250725,1,87.21,0.0,1.67,85.54,EUR,Approved
97,1301,20250617,3,41.43,0.0,1.38,40.05,MXN,Approved
98,673,20241227,3,56.3,0.0,1.76,54.54,EUR,Approved
99,1888,20240222,1,97.35,0.0,1.85,95.5,EUR,Approved
100,4838,20250714,3,50.81,0.0,1.62,49.19,COP,Approved
101,954,20250612,2,30.13,0.0,0.67,29.46,EUR,Approved
102,1728,20250512,3,146.94,0.0,4.12,142.82,NOK,Approved
103,2470,20250930,3,90.0,0.0,2.64,87.36,EUR,Approved
104,3575,20240603,3,16.98,0.0,0.74,16.24,NOK,Approved
105,1432,20250504,4,41.25,0.0,1.06,40.19,EUR,Approved
106,3578,20240318,1,11.27,2.41,0.3,10.97,SEK,Approved
107,1166,20240622,1,24.95,4.15,0.55,24.4,CAD,Approved
108,3621,20250909,3,140.68,0.0,3.96,136.72,EUR,Approved
109,4736,20241115,6,142.02,0.0,1.34,140.68,EUR,Approved
110,141,20240201,2,48.72,0.0,1.03,47.69,EUR,Approved
111,5543,20241018,1,107.47,0.0,2.03,105.44,USD,Approved
112,4182,20250605,2,581.76,0.0,11.15,570.61,AUD,Approved
113,5677,20241110,1,31.93,0.0,0.67,31.26,MXN,Approved
114,1574,20250905,6,84.69,0.0,0.88,83.81,BRL,Approved
115,5558,20250921,1,23.15,0.0,0.52,22.63,EUR,Approved
116,2507,20251030,1,104.1,0.0,1.97,102.13,BRL,Approved
117,1010,20240923,2,9.02,1.42,0.27,8.75,BRL,Approved
118,4352,20250225,2,28.13,0.0,0.63,27.5,BRL,Approved
119,4088,20240901,1,63.35,15.43,1.24,62.11,CAD,Approved
120,5479,20250813,4,60.62,0.0,1.48,59.14,ARS,Approved
121,1769,20240331,4,47.2,0.0,1.19,46.01,SEK,Approved
122,3621,20250311,1,17.48,0.0,0.41,17.07,EUR,Approved
123,5725,20251002,2,36.19,0.0,0.79,35.4,USD,Approved
124,5143,20250503,2,32.35,0.0,0.71,31.64,CAD,Approved
125,4865,20240114,4,48.33,0.0,1.21,47.12,AUD,Approved
126,5179,20241012,2,228.05,0.0,4.43,223.62,CAD,Approved
127,4964,20251002,5,14.77,0.0,0.47,14.3,GBP,Approved
128,2123,20250201,5,75.01,14.68,1.8,73.21,ARS,Approved
129,73,20250302,1,33.39,0.0,0.7,32.69,GBP,Approved
130,5914,20241226,2,104.04,0.0,2.08,101.96,NOK,Approved
131,4647,20240212,1,78.43,0.0,1.51,76.92,COP,Approved
132,1369,20241020,1,77.79,0.0,1.5,76.29,MXN,Approved
133,4414,20241210,4,207.08,0.0,4.71,202.37,BRL,Approved
134,2082,20250912,2,32.04,0.0,0.71,31.33,GBP,Approved
135,1528,20240829,2,166.54,10.36,3.26,163.28,AUD,Approved
136,3345,20240224,6,52.23,0.0,0.62,51.61,ARS,Approved
137,63,20250720,4,134.31,0.0,3.1,131.21,CAD,Approved
138,5863,20250317,2,144.05,0.0,2.84,141.21,CAD,Approved
139,5588,20240416,1,43.71,0.0,0.89,42.82,EUR,Approved
140,4736,20241108,3,35.33,0.0,1.22,34.11,EUR,Approved
141,355,20240702,2,20.68,0.0,0.49,20.19,DKK,Approved
142,461,20240509,3,72.13,0.0,2.18,69.95,EUR,Approved
143,3785,20250513,2,80.89,0.0,1.64,79.25,EUR,Approved
144,4800,20250927,5,106.7,0.0,2.5,104.2,COP,Approved
145,359,20250221,2,9.85,0.0,0.29,9.56,EUR,Approved
146,3323,20240218,5,30.51,0.0,0.82,29.69,ARS,Approved
147,4110,20241115,2,67.41,0.0,1.38,66.03,COP,Approved
148,1049,20240909,3,133.17,0.0,3.76,129.41,SEK,Approved
149,1092,20250126,1,40.52,0.0,0.83,39.69,DKK,Approved
150,5539,20240309,3,13.29,0.0,0.65,12.64,EUR,Approved
151,2268,20250317,2,157.21,0.0,3.09,154.12,EUR,Approved
152,1606,20250421,3,17.27,0.0,0.75,16.52,EUR,Approved
153,323,20250111,4,23.7,0.0,0.67,23.03,GBP,Approved
154,232,20250717,5,21.61,0.0,0.63,20.98,USD,Approved
155,1563,20250628,4,102.39,0.0,2.4,99.99,AUD,Approved
156,3609,20250615,1,110.8,0.0,2.09,108.71,COP,Approved
157,3519,20240705,2,5.0,0.0,0.2,4.8,AUD,Approved
158,1366,20240421,1,75.29,0.0,1.46,73.83,COP,Approved
159,4389,20240702,1,49.45,0.0,0.99,48.46,NOK,Approved
160,2582,20241019,5,44.86,0.0,1.14,43.72,AUD,Approved
161,4793,20241226,5,46.19,0.0,1.17,45.02,EUR,Approved
162,5497,20250516,3,65.6,0.0,2.01,63.59,AUD,Approved
163,1432,20241102,3,25.24,0.0,0.96,24.28,EUR,Approved
164,2455,20251010,2,127.12,0.0,2.52,124.6,COP,Declined
165,354,20240326,3,23.15,0.0,0.9,22.25,EUR,Approved
166,4550,20241022,3,62.88,0.0,1.93,60.95,EUR,Approved
167,1889,20250327,5,69.46,0.0,1.68,67.78,USD,Approved
168,3804,20240619,5,104.59,0.0,2.45,102.14,AUD,Chargeback
169,2132,20241221,2,44.68,0.0,0.95,43.73,AUD,Approved
170,945,20250404,2,24.54,5.7,0.57,23.97,SEK,Approved
171,42,20241005,3,42.82,0.0,1.41,41.41,NZD,Approved
172,3713,20240908,4,37.0,0.0,0.96,36.04,GBP,Approved
173,5539,20240108,4,36.57,0.0,0.95,35.62,EUR,Approved
174,5364,20250808,1,102.28,0.0,1.94,100.34,EUR,Approved
175,5566,20241115,5,15.12,0.0,0.48,14.64,EUR,Approved
176,4085,20240530,1,67.72,0.0,1.32,66.4,EUR,Approved
177,2291,20250827,3,71.48,0.0,2.16,69.32,EUR,Approved
178,3106,20250110,4,128.01,0.0,2.97,125.04,EUR,Approved
179,4282,20241230,1,40.61,0.0,0.83,39.78,EUR,Approved
180,1725,20250830,2,54.69,0.0,1.14,53.55,EUR,Approved
181,1226,20250315,1,29.77,0.0,0.64,29.13,MXN,Approved
182,398,20240521,2,30.72,0.0,0.68,30.04,CAD,Approved
183,2750,20250814,1,73.91,0.0,1.43,72.48,MXN,Approved
184,567,20240120,5,116.31,0.0,2.71,113.6,EUR,Approved
185,2571,20240112,1,19.15,0.0,0.44,18.71,NOK,Approved
186,4844,20250927,3,56.51,0.0,1.77,54.74,ARS,Approved
187,1014,20240501,2,62.74,0.0,1.29,61.45,NOK,Approved
188,763,20250228,2,80.74,0.0,1.63,79.11,EUR,Approved
189,1515,20240816,1,112.58,0.0,2.13,110.45,EUR,Approved
190,521,20250819,2,27.64,0.0,0.63,27.01,COP,Declined
191,2082,20240129,2,36.97,0.0,0.8,36.17,GBP,Approved
192,3551,20240514,4,71.25,0.0,1.72,69.53,CAD,Approved
193,2711,20250705,2,88.29,0.0,1.78,86.51,MXN,Approved
194,4222,20240410,2,41.56,0.0,0.89,40.67,SEK,Approved
195,761,20250110,2,30.7,0.0,0.68,30.02,MXN,Approved
196,2017,20251007,2,9.6,0.0,0.28,9.32,GBP,Approved
197,2279,20241106,1,14.67,0.0,0.36,14.31,EUR,Approved
198,2561,20250315,3,25.86,0.0,0.97,24.89,EUR,Approved
199,409,20250401,5,54.63,8.58,1.35,53.28,USD,Declined
200,395,20240718,2,23.72,0.0,0.55,23.17,GBP,Approved
201,525,20250822,3,7.37,0.0,0.49,6.88,COP,Approved
202,928,20240504,4,99.23,0.0,2.33,96.9,CAD,Approved
203,5,20250415,1,65.1,0.0,1.27,63.83,EUR,Approved
204,1754,20240122,3,97.62,0.0,2.84,94.78,EUR,Approved
205,2279,20240219,2,50.42,3.8,1.06,49.36,EUR,Approved
206,3249,20250713,2,202.92,0.0,3.96,198.96,DKK,Approved
207,157,20240306,2,60.68,0.0,1.25,59.43,NZD,Approved
208,2423,20240509,2,27.68,0.0,0.63,27.05,BRL,Approved
209,5556,20241028,1,47.57,0.0,0.96,46.61,EUR,Approved
210,4438,20241122,2,64.91,0.0,1.33,63.58,EUR,Approved
211,1888,20250118,1,72.57,0.0,1.41,71.16,EUR,Approved
212,3106,20250621,4,60.17,0.0,1.47,58.7,EUR,Approved
213,4107,20240218,3,180.62,19.08,5.0,175.62,GBP,Approved
214,1014,20241114,1,102.65,0.0,1.95,100.7,NOK,Approved
215,441,20240121,3,112.07,0.0,3.21,108.86,EUR,Approved
216,3596,20250308,3,47.11,0.0,1.52,45.59,DKK,Approved
217,4352,20250813,3,24.19,0.0,0.93,23.26,BRL,Approved
218,2980,20250814,4,12.49,0.0,0.42,12.07,MXN,Approved
219,4088,20240109,4,18.26,0.0,0.55,17.71,CAD,Approved
220,4204,20240528,4,262.16,0.0,5.92,256.24,EUR,Approved
221,3754,20250312,1,130.59,0.0,2.45,128.14,EUR,Approved
222,5543,20250513,3,21.23,0.0,0.85,20.38,USD,Approved
223,3177,20240224,3,40.46,0.0,1.35,39.11,COP,Approved
224,385,20241023,4,39.53,0.0,1.02,38.51,NZD,Approved
225,3336,20250601,6,26.6,0.0,0.41,26.19,GBP,Approved
226,3705,20240816,2,22.26,0.0,0.52,21.74,USD,Approved
227,2017,20240903,2,39.12,4.02,0.84,38.28,GBP,Approved
228,2715,20241008,5,23.26,0.0,0.66,22.6,GBP,Approved
229,4621,20240913,3,68.88,0.0,2.09,66.79,ARS,Approved
230,4204,20240402,3,21.23,0.0,0.85,20.38,EUR,Approved
231,1119,20240801,2,60.42,0.0,1.25,59.17,MXN,Approved
232,1437,20250706,5,40.89,0.0,1.05,39.84,MXN,Approved
233,3359,20251029,1,16.78,0.0,0.4,16.38,EUR,Approved
234,2205,20240512,3,48.97,0.0,1.57,47.4,NOK,Approved
235,4436,20250511,2,8.72,1.09,0.27,8.45,EUR,Approved
236,642,20240326,3,46.6,6.23,1.51,45.09,MXN,Approved
237,1889,20250818,1,137.85,0.0,2.58,135.27,USD,Approved
238,2082,20250130,2,42.69,0.0,0.91,41.78,GBP,Approved
239,2307,20250630,4,168.7,0.0,3.86,164.84,NOK,Approved
240,4584,20240905,1,45.34,0.0,0.92,44.42,EUR,Approved
241,100,20250928,6,38.03,0.0,0.5,37.53,EUR,Approved
242,952,20250717,1,84.11,0.0,1.61,82.5,CAD,Approved
243,3249,20241015,3,60.63,0.0,1.88,58.75,DKK,Approved
244,2847,20250212,3,63.27,0.0,1.95,61.32,AUD,Approved
245,5686,20241104,3,29.85,3.37,1.08,28.77,MXN,Approved
246,380,20240301,1,82.54,6.34,1.59,80.95,EUR,Declined
247,1720,20250518,4,154.58,32.01,3.55,151.03,EUR,Approved
248,4679,20250610,5,18.61,0.0,0.56,18.05,DKK,Approved
249,5732,20241106,3,61.03,0.0,1.89,59.14,BRL,Approved
250,5962,20240718,5,29.49,0.0,0.8,28.69,EUR,Approved
251,1720,20241218,1,45.71,0.0,0.92,44.79,EUR,Approved
252,3459,20240315,5,354.67,0.0,7.95,346.72,NZD,Approved
253,5716,20240927,2,171.29,0.0,3.35,167.94,EUR,Approved
254,5873,20240121,6,84.97,0.0,0.88,84.09,CAD,Approved
255,752,20240205,2,52.31,9.7,1.09,51.22,EUR,Approved
256,2082,20240716,2,90.76,0.0,1.82,88.94,GBP,Approved
257,4327,20240601,4,42.72,3.13,1.09,41.63,SEK,Approved
258,3314,20240213,3,74.53,0.0,2.24,72.29,EUR,Approved
259,3368,20251002,4,18.83,0.0,0.56,18.27,GBP,Approved
260,2306,20250707,2,130.63,0.0,2.58,128.05,DKK,Approved
261,4965,20250628,4,20.18,0.0,0.59,19.59,MXN,Approved
262,395,20250524,3,19.23,0.0,0.8,18.43,GBP,Approved
263,1394,20250219,6,37.1,0.0,0.5,36.6,USD,Approved
264,4137,20250212,3,85.42,0.0,2.52,82.9,NOK,Approved
265,4865,20241022,1,84.98,0.0,1.63,83.35,AUD,Approved
266,5801,20250918,2,95.74,0.0,1.92,93.82,USD,Approved
267,1720,20240721,3,48.68,11.36,1.57,47.11,EUR,Approved
268,1317,20250729,1,16.46,0.0,0.4,16.06,USD,Approved
269,1563,20250102,2,194.26,40.36,3.79,190.47,AUD,Approved
270,1542,20250301,2,96.74,0.0,1.94,94.8,ARS,Approved
271,2750,20240728,2,31.31,4.68,0.69,30.62,MXN,Approved
272,1667,20250820,2,7.59,0.0,0.24,7.35,ARS,Approved
273,917,20250404,6,107.12,0.0,1.06,106.06,AUD,Declined
274,357,20241227,1,87.53,0.0,1.68,85.85,EUR,Approved
275,1555,20250420,2,8.07,0.0,0.25,7.82,GBP,Approved
276,4865,20241030,2,110.4,14.24,2.2,108.2,AUD,Approved
277,4972,20240703,1,143.9,0.0,2.69,141.21,USD,Approved
278,3442,20240921,2,30.03,0.0,0.67,29.36,EUR,Approved
279,2231,20250217,1,59.93,0.0,1.18,58.75,DKK,Approved
280,1574,20250205,2,71.79,0.0,1.46,70.33,BRL,Approved
281,259,20240621,3,48.04,0.0,1.55,46.49,USD,Approved
282,5933,20240323,3,21.45,0.0,0.86,20.59,EUR,Approved
283,2135,20250812,5,49.43,0.0,1.24,48.19,DKK,Approved
284,2082,20241117,2,107.01,0.0,2.13,104.88,GBP,Approved
285,2241,20241211,4,189.75,0.0,4.32,185.43,BRL,Approved
286,4669,20240312,4,14.68,2.15,0.47,14.21,EUR,Approved
287,3872,20250326,1,41.66,0.0,0.85,40.81,SEK,Approved
288,5595,20251014,1,56.62,0.0,1.12,55.5,AUD,Approved
289,457,20240726,1,20.98,0.0,0.48,20.5,COP,Approved
290,5730,20241207,3,15.99,0.0,0.72,15.27,EUR,Approved
291,3442,20240202,3,94.22,0.0,2.75,91.47,EUR,Approved
292,5534,20250116,2,1557.14,0.0,29.69,1527.45,EUR,Approved
293,4560,20250120,2,5.0,0.0,0.2,4.8,GBP,Approved
294,5907,20240418,2,36.2,0.0,0.79,35.41,SEK,Approved
295,1301,20240610,1,24.86,0.0,0.55,24.31,MXN,Approved
296,3036,20240116,1,22.41,0.0,0.5,21.91,GBP,Approved
297,5558,20240114,2,232.17,0.0,4.51,227.66,EUR,Approved
298,899,20240902,4,129.83,0.0,3.01,126.82,COP,Approved
299,4701,20240215,4,83.01,0.0,1.98,81.03,EUR,Approved
300,5438,20250916,6,17.45,0.0,0.34,17.11,BRL,Approved
301,2082,20250708,6,50.74,0.0,0.61,50.13,GBP,Approved
302,2423,20250205,2,24.35,0.0,0.56,23.79,BRL,Approved
303,4905,20240217,1,191.83,0.0,3.55,188.28,SEK,Approved
304,3345,20250213,1,114.15,18.89,2.15,112.0,ARS,Approved
305,2772,20250329,5,110.17,0.0,2.57,107.6,MXN,Approved
306,1602,20240521,2,36.03,0.0,0.78,35.25,ARS,Approved
307,3178,20250325,4,216.31,0.0,4.91,211.4,MXN,Approved
308,2082,20240707,3,16.93,0.0,0.74,16.19,GBP,Approved
309,2699,20250401,3,36.49,0.0,1.25,35.24,USD,Approved
310,5026,20240425,5,46.21,0.0,1.17,45.04,COP,Approved
311,4978,20250528,2,17.06,0.0,0.42,16.64,COP,Approved
312,129,20240113,2,24.66,0.0,0.57,24.09,AUD,Approved
313,3219,20241003,2,50.03,0.0,1.05,48.98,COP,Approved
314,5680,20240908,4,127.54,6.49,2.96,124.58,COP,Declined
315,2436,20240815,1,70.99,0.0,1.38,69.61,COP,Approved
316,716,20240525,6,40.44,0.0,0.52,39.92,USD,Approved
317,63,20240804,6,91.44,0.0,0.93,90.51,CAD,Approved
318,2279,20241020,2,31.37,0.0,0.7,30.67,EUR,Approved
319,5167,20241007,5,77.65,0.0,1.86,75.79,EUR,Approved
320,5309,20240614,1,37.32,0.0,0.77,36.55,BRL,Approved
321,3897,20240522,3,24.42,0.0,0.93,23.49,ARS,Approved
322,5692,20250512,2,28.59,0.0,0.64,27.95,NOK,Approved
323,441,20250428,4,49.48,0.0,1.24,48.24,EUR,Approved
324,2082,20250216,6,84.6,0.0,0.88,83.72,GBP,Approved
325,4741,20240406,2,12.92,0.0,0.35,12.57,NOK,Approved
326,4939,20241014,2,40.12,6.3,0.86,39.26,USD,Approved
327,567,20250708,1,60.79,0.0,1.19,59.6,EUR,Approved
328,3442,20240925,3,97.88,0.0,2.84,95.04,EUR,Approved
329,3930,20240727,2,51.66,0.0,1.08,50.58,AUD,Approved
330,1345,20250620,3,41.49,0.0,1.38,40.11,NZD,Approved
331,200,20241031,1,45.15,0.0,0.91,44.24,ARS,Approved
332,128,20240328,4,90.5,0.0,2.14,88.36,MXN,Approved
333,2082,20240429,4,69.77,0.0,1.68,68.09,GBP,Approved
334,825,20240812,1,53.2,0.0,1.06,52.14,EUR,Approved
335,3359,20240515,5,34.95,0.0,0.92,34.03,EUR,Declined
336,1547,20250116,2,105.7,0.0,2.11,103.59,EUR,Approved
337,2007,20240111,1,44.69,0.0,0.9,43.79,EUR,Declined
338,2043,20250314,4,25.53,4.03,0.71,24.82,DKK,Approved
339,5539,20240110,1,26.49,0.0,0.58,25.91,EUR,Approved
340,5071,20241110,5,73.68,0.0,1.77,71.91,CAD,Approved
341,3785,20240305,6,42.59,0.0,0.54,42.05,EUR,Approved
342,1038,20250814,3,33.04,0.0,1.16,31.88,EUR,Approved
343,488,20250412,5,167.13,10.53,3.83,163.3,EUR,Approved
344,2082,20250826,1,79.1,15.92,1.52,77.58,GBP,Approved
345,3359,20251006,1,66.23,0.0,1.29,64.94,EUR,Declined
346,4273,20250915,1,19.87,0.0,0.46,19.41,EUR,Approved
347,141,20240713,1,14.61,0.0,0.36,14.25,EUR,Approved
348,1234,20250217,3,57.77,0.0,1.8,55.97,CAD,Approved
349,2374,20250821,2,82.74,0.0,1.67,81.07,AUD,Approved
350,2082,20240101,6,57.84,0.0,0.66,57.18,GBP,Approved
351,2543,20250102,3,79.56,0.0,2.37,77.19,SEK,Approved
352,1902,20250922,1,30.54,0.0,0.65,29.89,EUR,Approved
353,3442,20250110,2,53.53,0.0,1.12,52.41,EUR,Approved
354,5096,20240709,2,87.37,5.5,1.76,85.61,EUR,Approved
355,512,20241016,3,39.33,0.0,1.32,38.01,NOK,Approved
356,1720,20250919,3,31.91,0.0,1.13,30.78,EUR,Approved
357,1574,20240717,5,94.85,0.0,2.24,92.61,BRL,Approved
358,3213,20240822,1,67.46,5.75,1.31,66.15,CAD,Approved
359,5307,20240817,2,85.5,0.0,1.72,83.78,EUR,Approved
360,4865,20240813,3,36.38,0.0,1.25,35.13,AUD,Approved
361,5359,20250305,1,29.3,0.0,0.63,28.67,ARS,Approved
362,1301,20240714,5,356.41,0.0,7.99,348.42,MXN,Approved
363,2032,20250411,2,31.23,0.0,0.69,30.54,EUR,Approved
364,1607,20250316,1,5.34,0.0,0.2,5.14,EUR,Approved
365,3221,20240605,2,9.62,0.0,0.28,9.34,NZD,Approved
366,3968,20250426,5,34.77,0.0,0.91,33.86,USD,Approved
367,2279,20241219,2,57.06,0.0,1.18,55.88,EUR,Approved
368,1786,20250616,2,128.94,0.0,2.55,126.39,EUR,Approved
369,3645,20250522,2,6.2,0.0,0.22,5.98,EUR,Approved
370,2950,20250208,2,47.16,0.0,1.0,46.16,EUR,Approved
371,4888,20241015,3,104.98,0.0,3.03,101.95,EUR,Approved
372,359,20240330,3,686.13,0.0,18.14,667.99,EUR,Approved
373,4352,20250116,2,82.61,10.4,1.67,80.94,BRL,Approved
374,4088,20241027,2,66.53,0.0,1.36,65.17,CAD,Approved
375,5110,20250317,3,195.44,0.0,5.38,190.06,COP,Approved
376,4972,20250516,1,40.44,0.0,0.83,39.61,USD,Declined
377,988,20250807,4,69.0,0.0,1.67,67.33,NOK,Approved
378,3731,20250816,2,211.71,0.0,4.12,207.59,EUR,Approved
379,3516,20250119,4,63.32,0.0,1.54,61.78,MXN,Approved
380,4088,20250606,4,63.3,0.0,1.54,61.76,CAD,Approved
381,5882,20250516,6,20.23,0.0,0.36,19.87,EUR,Approved
382,709,20240905,2,15.11,0.0,0.39,14.72,EUR,Approved
383,3621,20250910,1,32.81,3.69,0.69,32.12,EUR,Approved
384,3459,20240331,4,34.57,0.0,0.91,33.66,NZD,Approved
385,46,20250128,4,68.37,0.0,1.65,66.72,NOK,Approved
386,3873,20241223,1,42.74,3.04,0.87,41.87,SEK,Approved
387,2939,20240528,2,178.17,0.0,3.49,174.68,EUR,Approved
388,4639,20250419,4,53.92,0.0,1.34,52.58,EUR,Approved
389,4475,20250919,5,14.98,0.0,0.48,14.5,AUD,Approved
390,307,20250317,6,34.71,0.0,0.48,34.23,EUR,Approved
391,4701,20240108,3,22.96,0.0,0.9,22.06,EUR,Approved
392,5340,20240816,1,67.26,0.0,1.31,65.95,EUR,Approved
393,3646,20240310,1,7.25,0.0,0.23,7.02,COP,Approved
394,5128,20240209,6,32.5,0.0,0.46,32.04,COP,Approved
395,1298,20240129,6,93.47,20.85,0.95,92.52,EUR,Approved
396,5353,20250604,5,8.6,0.0,0.34,8.26,EUR,Approved
397,5543,20241003,2,47.06,9.68,0.99,46.07,USD,Approved
398,1678,20241014,3,102.11,0.0,2.95,99.16,SEK,Approved
399,2051,20250806,2,43.04,0.0,0.92,42.12,ARS,Approved
