bet_id,customer_id,date_id,game_id,stake,payout,bonus_used,grosswin,taxes,promo_cost,netwin
267,2772,20250518,5,7.22,7.33,0.0,-0.11,0.0,0.0,-0.11
268,3231,20241127,6,18.45,17.12,0.0,1.33,0.03,0.0,1.3
269,2627,20250608,1,7.4,6.08,0.0,1.32,0.03,0.0,1.29
270,5586,20250313,1,30.17,32.69,0.0,-2.52,0.0,0.0,-2.52
271,3470,20240714,6,221.39,199.32,0.0,22.07,0.44,0.0,21.63
272,4664,20240320,1,17.42,15.29,0.0,2.13,0.04,0.0,2.09
273,1240,20240718,8,15.11,14.12,0.0,0.99,0.02,0.0,0.97
274,233,20250429,3,0.88,0.87,0.0,0.01,0.0,0.0,0.01
275,4167,20240620,7,19.48,14.32,0.0,5.16,0.1,0.0,5.06
276,1453,20240301,3,14.76,14.45,0.0,0.31,0.01,0.0,0.3
277,2309,20250318,6,8.23,8.31,2.15,-0.08,0.0,1.72,-1.8
278,2413,20240326,7,3.62,5.09,0.0,-1.47,0.0,0.0,-1.47
279,130,20240924,2,26.06,22.08,0.0,3.98,0.08,0.0,3.9
280,4696,20250127,1,124.17,117.15,32.84,7.02,0.14,26.27,-19.39
281,1465,20250101,4,16.3,15.45,0.0,0.85,0.02,0.0,0.83
282,4677,20250825,5,7.34,7.41,0.0,-0.07,0.0,0.0,-0.07
283,4948,20250105,1,24.11,25.43,0.0,-1.32,0.0,0.0,-1.32
284,5202,20250611,2,9.02,7.23,2.07,1.79,0.04,1.66,0.09
285,215,20251010,6,3.95,4.01,0.0,-0.06,0.0,0.0,-0.06
286,5981,20240827,1,5.18,3.44,0.0,1.74,0.03,0.0,1.71
287,1679,20251003,4,15.12,13.98,0.0,1.14,0.02,0.0,1.12
288,4036,20240530,2,7.56,7.46,0.0,0.1,0.0,0.0,0.1
289,911,20240818,10,7.35,5.66,0.0,1.69,0.03,0.0,1.66
290,2514,20250723,6,22.82,22.63,0.0,0.19,0.0,0.0,0.19
291,2905,20241209,1,13.08,11.65,0.0,1.43,0.03,0.0,1.4
292,2121,20251028,6,13.85,14.03,0.0,-0.18,0.0,0.0,-0.18
293,2807,20250215,7,19.01,12.72,0.0,6.29,0.13,0.0,6.16
294,4758,20250624,1,6.66,6.64,0.0,0.02,0.0,0.0,0.02
295,5093,20240806,5,11.58,11.54,0.0,0.04,0.0,0.0,0.04
296,3268,20241014,4,18.28,16.85,0.0,1.43,0.03,0.0,1.4
297,2173,20240117,5,21.29,22.49,0.0,-1.2,0.0,0.0,-1.2
298,2862,20241026,7,14.28,18.53,0.0,-4.25,0.0,0.0,-4.25
299,5813,20241102,8,6.62,6.88,0.0,-0.26,0.0,0.0,-0.26
300,4175,20240204,3,6.42,6.09,0.0,0.33,0.01,0.0,0.32
301,502,20241124,5,23.13,20.91,0.0,2.22,0.04,0.0,2.18
302,3138,20240502,2,30.82,26.08,0.0,4.74,0.09,0.0,4.65
303,879,20250403,2,0.73,0.64,0.0,0.09,0.0,0.0,0.09
304,3458,20250127,4,14.3,13.91,0.0,0.39,0.01,0.0,0.38
305,2332,20250209,1,139.17,106.06,0.0,33.11,0.66,0.0,32.45
306,4804,20241028,3,20.84,20.27,0.0,0.57,0.01,0.0,0.56
307,122,20240506,1,6.48,7.29,0.0,-0.81,0.0,0.0,-0.81
308,3959,20240809,10,6.05,3.11,0.0,2.94,0.06,0.0,2.88
309,1655,20251024,7,16.51,19.49,0.0,-2.98,0.0,0.0,-2.98
310,5949,20240902,3,1.62,1.73,0.0,-0.11,0.0,0.0,-0.11
311,2915,20240625,1,18.46,20.81,0.0,-2.35,0.0,0.0,-2.35
312,4199,20240913,5,11.98,11.83,0.0,0.15,0.0,0.0,0.15
313,1067,20240209,6,16.34,16.53,0.0,-0.19,0.0,0.0,-0.19
314,1097,20241124,1,4.72,2.94,0.0,1.78,0.04,0.0,1.74
315,952,20240126,1,10.17,9.51,0.0,0.66,0.01,0.0,0.65
316,1901,20250911,2,12.57,9.0,0.0,3.57,0.07,0.0,3.5
317,5342,20240708,2,14.43,13.96,0.0,0.47,0.01,0.0,0.46
318,3983,20240413,2,9.5,9.22,0.0,0.28,0.01,0.0,0.27
319,4927,20241031,9,59.54,62.21,0.0,-2.67,0.0,0.0,-2.67
320,5486,20240404,8,3.03,3.24,0.0,-0.21,0.0,0.0,-0.21
321,3410,20250315,2,6.74,6.04,0.0,0.7,0.01,0.0,0.69
322,589,20250720,2,27.91,25.01,0.0,2.9,0.06,0.0,2.84
323,5120,20250203,7,8.45,9.78,0.0,-1.33,0.0,0.0,-1.33
324,5782,20240419,4,20.58,20.72,0.0,-0.14,0.0,0.0,-0.14
325,3532,20240419,7,34.47,17.16,9.57,17.31,0.35,7.66,9.3
326,3179,20250316,4,21.84,21.06,0.0,0.78,0.02,0.0,0.76
327,5140,20240603,2,1.83,1.57,0.0,0.26,0.01,0.0,0.25
328,67,20250701,10,27.83,39.06,0.0,-11.23,0.0,0.0,-11.23
329,3682,20250708,10,14.55,7.36,0.0,7.19,0.14,0.0,7.05
330,5373,20250731,1,37.65,35.31,0.0,2.34,0.05,0.0,2.29
331,2977,20241202,8,1.22,1.06,0.0,0.16,0.0,0.0,0.16
332,4874,20240304,2,21.98,18.69,0.0,3.29,0.07,0.0,3.22
333,364,20240801,3,16.73,14.81,0.0,1.92,0.04,0.0,1.88
334,2374,20240513,7,16.91,23.58,0.0,-6.67,0.0,0.0,-6.67
335,1401,20240220,5,21.38,20.36,0.0,1.02,0.02,0.0,1.0
336,5401,20240403,1,16.91,18.55,0.0,-1.64,0.0,0.0,-1.64
337,5807,20241101,1,20.29,22.02,0.0,-1.73,0.0,0.0,-1.73
338,2890,20250702,6,46.36,42.37,0.0,3.99,0.08,0.0,3.91
339,1920,20240524,4,7.56,7.33,0.0,0.23,0.0,0.0,0.23
340,2982,20250426,1,17.02,15.09,0.0,1.93,0.04,0.0,1.89
341,5420,20240516,4,44.39,45.17,0.0,-0.78,0.0,0.0,-0.78
342,5284,20250812,3,0.58,0.56,0.12,0.02,0.0,0.1,-0.08
343,2761,20250617,2,2.66,2.83,0.0,-0.17,0.0,0.0,-0.17
344,3208,20240902,1,20.58,22.98,0.0,-2.4,0.0,0.0,-2.4
345,1789,20250711,4,2.23,2.31,0.47,-0.08,0.0,0.38,-0.46
346,5658,20250608,2,10.72,13.38,0.0,-2.66,0.0,0.0,-2.66
347,5864,20250405,6,26.57,24.8,0.0,1.77,0.04,0.0,1.73
348,455,20240717,2,7.1,7.04,0.0,0.06,0.0,0.0,0.06
349,3617,20250512,3,9.53,8.36,0.0,1.17,0.02,0.0,1.15
350,1921,20250928,10,21.79,20.97,0.0,0.82,0.02,0.0,0.8
