session_id,user_id,channel_id,session_start_ts,session_start_date_id,session_end_ts,session_end_date_id,duration_minutes
S000000044,U0000884,1,2024-05-19 07:17:00,20240519,2024-05-19 07:27:58,20240519,10.97
S000000045,U0001698,1,2019-02-14 12:43:00,20190214,2019-02-14 13:04:43,20190214,21.73
S000000046,U0001196,1,2020-05-26 10:20:00,20200526,2020-05-26 10:31:18,20200526,11.32
S000000047,U0003319,2,2020-01-10 16:56:00,20200110,2020-01-10 17:41:27,20200110,45.46
S000000048,U0001374,3,2021-04-13 11:53:00,20210413,2021-04-13 12:12:41,20210413,19.69
S000000049,U0000722,1,2022-03-15 02:06:00,20220315,2022-03-15 02:45:14,20220315,39.25
S000000050,U0003905,1,2025-06-20 02:56:00,20250620,2025-06-20 03:37:59,20250620,42.0
S000000051,U0000359,1,2021-02-28 03:56:00,20210228,2021-02-28 04:16:40,20210228,20.67
S000000052,U0003984,1,2020-09-27 01:06:00,20200927,2020-09-27 01:25:59,20200927,19.99
S000000053,U0001000,1,2025-10-30 17:54:00,20251030,2025-10-30 18:12:12,20251030,18.2
S000000054,U0003434,4,2020-07-17 02:53:00,20200717,2020-07-17 03:11:31,20200717,18.52
S000000055,U0002899,3,2021-07-13 20:24:00,20210713,2021-07-13 20:30:29,20210713,6.49
S000000056,U0002010,1,2020-04-14 01:01:00,20200414,2020-04-14 01:10:52,20200414,9.88
S000000057,U0001500,1,2024-06-24 14:01:00,20240624,2024-06-24 14:22:14,20240624,21.25
S000000058,U0003629,2,2023-09-04 11:20:00,20230904,2023-09-04 11:38:43,20230904,18.73
S000000059,U0003238,1,2024-04-15 19:24:00,20240415,2024-04-15 19:38:03,20240415,14.06
S000000060,U0002380,4,2021-04-28 02:27:00,20210428,2021-04-28 02:53:38,20210428,26.65
S000000061,U0003128,3,2022-03-31 18:47:00,20220331,2022-03-31 18:56:46,20220331,9.77
S000000062,U0000949,1,2022-06-17 21:20:00,20220617,2022-06-17 22:09:05,20220617,49.1
S000000063,U0000306,1,2021-07-26 11:04:00,20210726,2021-07-26 11:10:21,20210726,6.37
S000000064,U0000279,1,2025-09-07 14:05:00,20250907,2025-09-07 14:30:22,20250907,25.38
S000000065,U0000015,3,2023-09-06 00:16:00,20230906,2023-09-06 00:40:34,20230906,24.57
S000000066,U0002191,3,2023-02-11 22:26:00,20230211,2023-02-11 22:42:30,20230211,16.51
S000000067,U0001800,3,2022-10-04 15:50:00,20221004,2022-10-04 15:58:59,20221004,9.0
S000000068,U0003805,3,2023-11-05 02:31:00,20231105,2023-11-05 02:46:57,20231105,15.95
S000000069,U0000705,1,2025-10-26 04:45:00,20251026,2025-10-26 04:51:43,20251026,6.72
S000000070,U0000103,1,2021-04-06 05:07:00,20210406,2021-04-06 05:31:20,20210406,24.34
S000000071,U0000940,3,2025-12-23 08:55:00,20251223,2025-12-23 09:12:19,20251223,17.32
S000000072,U0000209,1,2024-07-19 15:46:00,20240719,2024-07-19 15:58:41,20240719,12.69
S000000073,U0001471,2,2024-09-11 06:10:00,20240911,2024-09-11 06:18:19,20240911,8.33
S000000074,U0002573,1,2023-01-27 20:49:00,20230127,2023-01-27 21:19:26,20230127,30.44
S000000075,U0003646,3,2024-11-27 11:38:00,20241127,2024-11-27 12:20:59,20241127,42.99
S000000076,U0002600,1,2025-07-10 22:53:00,20250710,2025-07-10 22:57:30,20250710,4.51
S000000077,U0002554,3,2021-05-30 16:32:00,20210530,2021-05-30 16:48:09,20210530,16.16
S000000078,U0003166,1,2022-02-02 18:19:00,20220202,2022-02-02 18:34:06,20220202,15.11
S000000079,U0001830,1,2023-07-26 05:32:00,20230726,2023-07-26 05:43:09,20230726,11.15
S000000080,U0002717,4,2019-12-19 03:34:00,20191219,2019-12-19 03:39:16,20191219,5.27
S000000081,U0001766,2,2023-06-11 00:57:00,20230611,2023-06-11 01:07:34,20230611,10.58
S000000082,U0001326,1,2021-02-18 23:50:00,20210218,2021-02-19 00:13:39,20210219,23.66
S000000083,U0002272,3,2022-07-11 14:30:00,20220711,2022-07-11 14:38:17,20220711,8.28
S000000084,U0000738,2,2023-08-24 22:55:00,20230824,2023-08-24 23:26:45,20230824,31.77
S000000085,U0000806,1,2023-04-05 13:53:00,20230405,2023-04-05 14:03:48,20230405,10.81
S000000086,U0000398,3,2021-11-28 17:33:00,20211128,2021-11-28 18:25:04,20211128,52.07
S000000087,U0003144,1,2022-06-04 08:17:00,20220604,2022-06-04 08:38:49,20220604,21.83
S000000088,U0003497,1,2020-12-28 10:58:00,20201228,2020-12-28 12:16:43,20201228,78.73
S000000089,U0003328,2,2023-05-15 15:39:00,20230515,2023-05-15 16:02:21,20230515,23.36
S000000090,U0000593,1,2019-08-20 13:39:00,20190820,2019-08-20 14:01:48,20190820,22.81
S000000091,U0003265,3,2019-07-16 23:02:00,20190716,2019-07-16 23:09:33,20190716,7.55
S000000092,U0001064,1,2025-07-16 12:31:00,20250716,2025-07-16 13:01:22,20250716,30.37
S000000093,U0003399,1,2021-01-17 10:06:00,20210117,2021-01-17 10:15:30,20210117,9.51
S000000094,U0000447,3,2022-12-20 20:09:00,20221220,2022-12-20 20:47:07,20221220,38.13
S000000095,U0002009,4,2022-06-13 04:32:00,20220613,2022-06-13 04:43:28,20220613,11.47
S000000096,U0003059,3,2024-12-09 03:56:00,20241209,2024-12-09 04:04:21,20241209,8.37
S000000097,U0002539,1,2022-03-22 13:43:00,20220322,2022-03-22 13:52:09,20220322,9.15
S000000098,U0001456,1,2019-06-09 03:13:00,20190609,2019-06-09 03:37:25,20190609,24.43
S000000099,U0002650,4,2020-02-12 15:45:00,20200212,2020-02-12 15:55:16,20200212,10.28
S000000100,U0001488,1,2020-08-22 22:47:00,20200822,2020-08-22 23:13:56,20200822,26.94
S000000101,U0003381,2,2021-06-18 09:52:00,20210618,2021-06-18 10:07:52,20210618,15.87
S000000102,U0003588,1,2021-12-04 22:23:00,20211204,2021-12-05 00:16:25,20211205,113.43
S000000103,U0002839,1,2022-05-27 12:16:00,20220527,2022-05-27 12:34:09,20220527,18.16
S000000104,U0001250,4,2024-11-27 23:41:00,20241127,2024-11-27 23:44:47,20241127,3.8
S000000105,U0003725,2,2025-10-07 23:30:00,20251007,2025-10-07 23:45:15,20251007,15.26
S000000106,U0000132,2,2023-10-22 11:27:00,20231022,2023-10-22 11:57:00,20231022,30.0
S000000107,U0000232,1,2022-12-06 09:37:00,20221206,2022-12-06 09:40:28,20221206,3.47
S000000108,U0001188,3,2025-06-09 18:58:00,20250609,2025-06-09 19:14:11,20250609,16.19
S000000109,U0002602,1,2019-09-28 04:36:00,20190928,2019-09-28 05:07:53,20190928,31.89
S000000110,U0000157,3,2022-05-21 22:24:00,20220521,2022-05-21 22:31:07,20220521,7.13
S000000111,U0003708,1,2021-06-11 02:29:00,20210611,2021-06-11 03:19:52,20210611,50.87
S000000112,U0000401,1,2023-12-18 07:53:00,20231218,2023-12-18 08:01:46,20231218,8.78
S000000113,U0001896,3,2022-10-24 23:03:00,20221024,2022-10-24 23:21:50,20221024,18.85
S000000114,U0000145,2,2024-08-29 12:20:00,20240829,2024-08-29 12:33:49,20240829,13.82
S000000115,U0000709,3,2019-12-19 10:04:00,20191219,2019-12-19 10:17:53,20191219,13.9
S000000116,U0000227,3,2019-06-12 05:01:00,20190612,2019-06-12 05:10:21,20190612,9.36
S000000117,U0003225,1,2023-03-28 11:06:00,20230328,2023-03-28 11:26:14,20230328,20.23
S000000118,U0001329,1,2019-11-24 08:07:00,20191124,2019-11-24 08:36:14,20191124,29.24
S000000119,U0002641,1,2020-06-07 22:11:00,20200607,2020-06-07 22:21:21,20200607,10.36
S000000120,U0001424,3,2020-07-18 16:34:00,20200718,2020-07-18 16:47:56,20200718,13.94
S000000121,U0002110,1,2020-08-14 19:42:00,20200814,2020-08-14 20:03:55,20200814,21.92
S000000122,U0000222,3,2020-06-25 19:38:00,20200625,2020-06-25 19:49:41,20200625,11.69
S000000123,U0002851,4,2024-12-14 07:31:00,20241214,2024-12-14 07:47:28,20241214,16.47
S000000124,U0003666,1,2021-08-18 05:48:00,20210818,2021-08-18 06:06:40,20210818,18.67
S000000125,U0002874,1,2019-09-12 06:43:00,20190912,2019-09-12 07:28:22,20190912,45.37
S000000126,U0000924,1,2020-03-05 16:55:00,20200305,2020-03-05 17:14:54,20200305,19.91
S000000127,U0000758,1,2020-10-24 06:41:00,20201024,2020-10-24 06:49:21,20201024,8.36
S000000128,U0000913,1,2022-05-28 04:41:00,20220528,2022-05-28 04:52:33,20220528,11.55
S000000129,U0002601,1,2024-12-14 22:11:00,20241214,2024-12-14 22:47:53,20241214,36.89
S000000130,U0002680,4,2019-08-29 07:53:00,20190829,2019-08-29 07:56:26,20190829,3.44
S000000131,U0000778,2,2023-01-12 02:57:00,20230112,2023-01-12 03:23:01,20230112,26.03
S000000132,U0003079,1,2024-11-19 23:35:00,20241119,2024-11-20 00:27:09,20241120,52.15
S000000133,U0000867,2,2020-10-13 17:19:00,20201013,2020-10-13 18:26:36,20201013,67.6
S000000134,U0002261,1,2023-03-17 04:39:00,20230317,2023-03-17 04:44:28,20230317,5.48
S000000135,U0003760,1,2021-12-23 08:32:00,20211223,2021-12-23 08:49:54,20211223,17.9
S000000136,U0002917,2,2021-05-18 13:14:00,20210518,2021-05-18 13:27:23,20210518,13.4
S000000137,U0000585,4,2025-12-07 13:18:00,20251207,2025-12-07 13:41:50,20251207,23.84
S000000138,U0000734,3,2025-11-28 02:51:00,20251128,2025-11-28 02:56:33,20251128,5.56
S000000139,U0001180,1,2019-09-05 02:02:00,20190905,2019-09-05 02:21:36,20190905,19.6
S000000140,U0002444,3,2020-09-20 10:53:00,20200920,2020-09-20 11:05:23,20200920,12.39
S000000141,U0002825,1,2020-01-13 21:11:00,20200113,2020-01-13 21:32:37,20200113,21.63
S000000142,U0001083,1,2022-02-04 09:38:00,20220204,2022-02-04 09:58:20,20220204,20.33
S000000143,U0001745,3,2023-01-12 09:20:00,20230112,2023-01-12 09:40:00,20230112,20.01
S000000144,U0003021,1,2025-04-25 13:10:00,20250425,2025-04-25 13:19:06,20250425,9.11
S000000145,U0003143,4,2020-10-14 14:23:00,20201014,2020-10-14 14:49:11,20201014,26.19
S000000146,U0003138,3,2024-05-09 12:45:00,20240509,2024-05-09 13:08:56,20240509,23.94
S000000147,U0002578,1,2023-08-15 22:06:00,20230815,2023-08-15 22:46:24,20230815,40.4
S000000148,U0000915,2,2022-12-29 16:37:00,20221229,2022-12-29 17:14:18,20221229,37.31
S000000149,U0003453,1,2019-02-02 04:36:00,20190202,2019-02-02 04:56:34,20190202,20.58
S000000150,U0003432,3,2023-06-25 22:47:00,20230625,2023-06-25 23:10:16,20230625,23.28
S000000151,U0001823,3,2019-11-08 02:15:00,20191108,2019-11-08 02:53:59,20191108,38.99
S000000152,U0003749,3,2024-11-16 07:31:00,20241116,2024-11-16 08:00:25,20241116,29.43
S000000153,U0001522,1,2023-10-10 18:35:00,20231010,2023-10-10 18:44:32,20231010,9.53
S000000154,U0001438,2,2024-12-07 13:32:00,20241207,2024-12-07 13:46:21,20241207,14.36
S000000155,U0000966,1,2021-04-06 23:29:00,20210406,2021-04-07 00:39:18,20210407,70.32
S000000156,U0000823,1,2025-08-19 14:19:00,20250819,2025-08-19 14:44:09,20250819,25.16
S000000157,U0002726,1,2020-03-28 03:53:00,20200328,2020-03-28 04:11:47,20200328,18.79
S000000158,U0000198,3,2020-06-22 05:31:00,20200622,2020-06-22 05:59:47,20200622,28.79
S000000159,U0003193,2,2021-11-24 13:54:00,20211124,2021-11-24 14:08:44,20211124,14.73
S000000160,U0002272,1,2025-02-25 21:07:00,20250225,2025-02-25 21:15:53,20250225,8.89
S000000161,U0001987,3,2025-07-27 18:58:00,20250727,2025-07-27 19:07:52,20250727,9.88
S000000162,U0002386,3,2023-04-11 01:00:00,20230411,2023-04-11 01:15:46,20230411,15.77
S000000163,U0001341,4,2023-12-27 00:29:00,20231227,2023-12-27 01:14:49,20231227,45.82
S000000164,U0000664,1,2020-10-16 23:55:00,20201016,2020-10-17 00:10:26,20201017,15.44
S000000165,U0001231,3,2025-05-26 06:00:00,20250526,2025-05-26 06:15:52,20250526,15.88
S000000166,U0000119,1,2023-09-12 19:32:00,20230912,2023-09-12 19:56:50,20230912,24.84
S000000167,U0001567,1,2024-09-25 22:35:00,20240925,2024-09-25 22:46:50,20240925,11.83
S000000168,U0003727,2,2022-05-01 18:12:00,20220501,2022-05-01 18:15:51,20220501,3.85
S000000169,U0000335,1,2024-04-22 15:18:00,20240422,2024-04-22 15:43:13,20240422,25.23
S000000170,U0001607,1,2020-04-23 09:37:00,20200423,2020-04-23 10:15:06,20200423,38.1
S000000171,U0003662,1,2022-06-16 07:19:00,20220616,2022-06-16 07:38:48,20220616,19.8
S000000172,U0003395,1,2019-11-26 23:19:00,20191126,2019-11-26 23:23:04,20191126,4.08
S000000173,U0001559,1,2025-05-13 16:16:00,20250513,2025-05-13 16:19:38,20250513,3.65
S000000174,U0003880,1,2024-09-09 04:46:00,20240909,2024-09-09 05:17:06,20240909,31.11
S000000175,U0003555,3,2019-08-29 10:07:00,20190829,2019-08-29 10:19:08,20190829,12.15
S000000176,U0001221,3,2025-03-21 14:45:00,20250321,2025-03-21 15:06:52,20250321,21.88
S000000177,U0000187,3,2023-09-01 20:13:00,20230901,2023-09-01 20:22:35,20230901,9.59
S000000178,U0002155,4,2024-04-05 05:31:00,20240405,2024-04-05 05:37:06,20240405,6.11
S000000179,U0001420,1,2021-08-13 12:32:00,20210813,2021-08-13 12:52:14,20210813,20.24
S000000180,U0002627,1,2021-02-16 14:33:00,20210216,2021-02-16 14:41:43,20210216,8.72
S000000181,U0001032,1,2025-07-19 03:06:00,20250719,2025-07-19 03:30:47,20250719,24.79
S000000182,U0002324,1,2024-12-09 23:58:00,20241209,2024-12-10 00:02:36,20241210,4.62
S000000183,U0002222,1,2024-03-02 15:48:00,20240302,2024-03-02 17:13:39,20240302,85.65
S000000184,U0003969,3,2022-04-20 14:17:00,20220420,2022-04-20 15:01:18,20220420,44.31
S000000185,U0000889,3,2022-04-03 05:10:00,20220403,2022-04-03 05:26:52,20220403,16.88
S000000186,U0003517,1,2024-02-01 09:50:00,20240201,2024-02-01 09:54:18,20240201,4.3
S000000187,U0003252,3,2025-10-22 06:03:00,20251022,2025-10-22 06:21:50,20251022,18.84
S000000188,U0001380,1,2019-12-25 21:07:00,20191225,2019-12-25 21:19:04,20191225,12.08
S000000189,U0003287,1,2020-06-05 13:57:00,20200605,2020-06-05 13:59:39,20200605,2.65
S000000190,U0003299,1,2021-09-28 12:37:00,20210928,2021-09-28 13:02:39,20210928,25.66
S000000191,U0003569,2,2025-07-26 03:26:00,20250726,2025-07-26 03:42:33,20250726,16.55
S000000192,U0002899,1,2024-05-21 16:19:00,20240521,2024-05-21 16:38:01,20240521,19.02
S000000193,U0002189,1,2019-06-04 22:32:00,20190604,2019-06-04 22:55:08,20190604,23.14
S000000194,U0000143,1,2023-06-15 14:48:00,20230615,2023-06-15 15:19:06,20230615,31.1
S000000195,U0003996,3,2025-06-05 15:51:00,20250605,2025-06-05 15:59:38,20250605,8.65
S000000196,U0000525,1,2024-05-11 13:45:00,20240511,2024-05-11 14:02:21,20240511,17.36
S000000197,U0000636,1,2022-10-02 02:25:00,20221002,2022-10-02 02:35:09,20221002,10.16
S000000198,U0002874,1,2023-10-26 23:37:00,20231026,2023-10-27 00:04:53,20231027,27.89
S000000199,U0001164,1,2025-05-01 14:35:00,20250501,2025-05-01 15:21:54,20250501,46.92
S000000200,U0001672,1,2023-03-09 03:11:00,20230309,2023-03-09 04:04:46,20230309,53.78
S000000201,U0002165,3,2019-01-04 08:19:00,20190104,2019-01-04 08:50:41,20190104,31.7
S000000202,U0001493,1,2023-05-21 02:04:00,20230521,2023-05-21 03:29:56,20230521,85.95
S000000203,U0002994,1,2025-06-10 19:46:00,20250610,2025-06-10 20:06:59,20250610,20.99
S000000204,U0002248,1,2019-05-19 03:51:00,20190519,2019-05-19 04:01:45,20190519,10.76
S000000205,U0001171,2,2023-02-24 08:02:00,20230224,2023-02-24 08:29:56,20230224,27.95
S000000206,U0002136,1,2023-09-19 17:54:00,20230919,2023-09-19 18:21:16,20230919,27.28
S000000207,U0003313,1,2023-10-14 20:56:00,20231014,2023-10-14 21:13:45,20231014,17.76
S000000208,U0000779,3,2024-12-17 17:56:00,20241217,2024-12-17 18:02:01,20241217,6.02
S000000209,U0002867,1,2022-05-13 20:17:00,20220513,2022-05-13 20:56:58,20220513,39.98
S000000210,U0003708,1,2021-05-01 07:08:00,20210501,2021-05-01 07:19:23,20210501,11.4
S000000211,U0001515,1,2019-08-01 06:51:00,20190801,2019-08-01 07:15:58,20190801,24.97
S000000212,U0002690,1,2022-01-20 16:23:00,20220120,2022-01-20 16:42:58,20220120,19.98
S000000213,U0001581,3,2021-04-24 00:18:00,20210424,2021-04-24 00:26:52,20210424,8.88
S000000214,U0003571,3,2024-11-01 02:41:00,20241101,2024-11-01 02:44:28,20241101,3.47
S000000215,U0001593,1,2021-01-22 21:08:00,20210122,2021-01-22 21:32:29,20210122,24.48
S000000216,U0003697,4,2020-01-29 14:35:00,20200129,2020-01-29 14:48:20,20200129,13.34
S000000217,U0003524,1,2023-05-14 03:27:00,20230514,2023-05-14 03:42:47,20230514,15.8
S000000218,U0002940,3,2025-05-08 13:12:00,20250508,2025-05-08 13:31:42,20250508,19.7
S000000219,U0002677,3,2020-03-01 16:15:00,20200301,2020-03-01 16:36:23,20200301,21.39
S000000220,U0001077,1,2023-03-29 00:03:00,20230329,2023-03-29 00:10:37,20230329,7.62
S000000221,U0001038,3,2021-03-11 01:05:00,20210311,2021-03-11 01:33:56,20210311,28.94
S000000222,U0003272,1,2021-01-30 00:13:00,20210130,2021-01-30 00:32:23,20210130,19.39
S000000223,U0000323,1,2021-03-27 16:24:00,20210327,2021-03-27 16:44:05,20210327,20.09
S000000224,U0002451,1,2020-04-21 13:15:00,20200421,2020-04-21 13:30:11,20200421,15.18
S000000225,U0003771,1,2020-05-22 04:45:00,20200522,2020-05-22 05:07:01,20200522,22.03
S000000226,U0001554,2,2024-12-31 15:45:00,20241231,2024-12-31 15:58:35,20241231,13.6
S000000227,U0002330,1,2023-02-14 08:47:00,20230214,2023-02-14 10:44:29,20230214,117.49
S000000228,U0002972,1,2024-11-16 15:13:00,20241116,2024-11-16 15:19:34,20241116,6.57
S000000229,U0001148,1,2020-08-11 15:55:00,20200811,2020-08-11 16:26:00,20200811,31.01
S000000230,U0001123,1,2020-04-10 06:23:00,20200410,2020-04-10 07:33:09,20200410,70.16
S000000231,U0003458,1,2025-04-20 18:48:00,20250420,2025-04-20 18:56:01,20250420,8.03
S000000232,U0003111,1,2019-12-12 10:12:00,20191212,2019-12-12 10:23:04,20191212,11.07
S000000233,U0001562,1,2025-07-13 09:34:00,20250713,2025-07-13 09:44:43,20250713,10.72
S000000234,U0003199,1,2024-07-21 19:46:00,20240721,2024-07-21 19:57:39,20240721,11.65
S000000235,U0000058,1,2022-08-28 03:41:00,20220828,2022-08-28 03:47:36,20220828,6.61
S000000236,U0000198,1,2023-07-02 17:53:00,20230702,2023-07-02 18:05:28,20230702,12.48
S000000237,U0002539,1,2024-04-11 10:15:00,20240411,2024-04-11 10:26:34,20240411,11.57
S000000238,U0003127,1,2022-05-04 13:53:00,20220504,2022-05-04 14:22:01,20220504,29.03
S000000239,U0003343,1,2022-11-24 10:49:00,20221124,2022-11-24 11:02:23,20221124,13.39
S000000240,U0003819,3,2023-05-07 15:19:00,20230507,2023-05-07 16:18:33,20230507,59.56
S000000241,U0001270,3,2024-08-08 04:27:00,20240808,2024-08-08 04:33:37,20240808,6.63
S000000242,U0002298,1,2025-10-13 03:00:00,20251013,2025-10-13 03:07:00,20251013,7.01
S000000243,U0002343,1,2023-03-06 18:48:00,20230306,2023-03-06 18:56:47,20230306,8.79
S000000244,U0003783,4,2022-11-05 19:56:00,20221105,2022-11-05 20:08:50,20221105,12.84
S000000245,U0001085,1,2020-06-24 15:16:00,20200624,2020-06-24 15:28:19,20200624,12.32
S000000246,U0002914,3,2023-06-06 16:17:00,20230606,2023-06-06 16:37:20,20230606,20.34
S000000247,U0002188,1,2023-10-15 01:35:00,20231015,2023-10-15 01:42:51,20231015,7.85
S000000248,U0003611,3,2020-09-07 08:25:00,20200907,2020-09-07 08:51:33,20200907,26.56
S000000249,U0002065,4,2022-04-20 23:30:00,20220420,2022-04-20 23:40:48,20220420,10.81
S000000250,U0000710,1,2024-12-24 17:55:00,20241224,2024-12-24 18:06:38,20241224,11.65
S000000251,U0003692,3,2022-11-27 17:12:00,20221127,2022-11-27 17:33:31,20221127,21.52
S000000252,U0003137,3,2022-08-30 00:08:00,20220830,2022-08-30 00:15:47,20220830,7.78
S000000253,U0000682,1,2019-11-23 11:19:00,20191123,2019-11-23 11:42:40,20191123,23.67
S000000254,U0003038,1,2020-08-12 14:01:00,20200812,2020-08-12 14:13:26,20200812,12.44
S000000255,U0002546,3,2025-11-08 10:41:00,20251108,2025-11-08 11:09:06,20251108,28.12
S000000256,U0000855,1,2020-08-29 04:20:00,20200829,2020-08-29 04:26:26,20200829,6.44
S000000257,U0000866,1,2020-05-09 05:30:00,20200509,2020-05-09 06:15:53,20200509,45.88
S000000258,U0000557,1,2025-06-09 09:51:00,20250609,2025-06-09 10:45:45,20250609,54.76
S000000259,U0002458,1,2019-02-14 00:35:00,20190214,2019-02-14 01:14:19,20190214,39.32
S000000260,U0001729,3,2019-07-09 10:28:00,20190709,2019-07-09 10:38:38,20190709,10.64
S000000261,U0000786,1,2025-05-30 06:18:00,20250530,2025-05-30 07:10:56,20250530,52.94
S000000262,U0002317,2,2020-05-15 08:11:00,20200515,2020-05-15 08:25:41,20200515,14.68
S000000263,U0003151,1,2021-06-19 14:08:00,20210619,2021-06-19 14:37:05,20210619,29.1
S000000264,U0001522,1,2022-07-19 22:44:00,20220719,2022-07-19 22:57:57,20220719,13.95
S000000265,U0001869,3,2025-12-30 15:29:00,20251230,2025-12-30 15:36:30,20251230,7.5
S000000266,U0003771,1,2022-11-03 22:05:00,20221103,2022-11-03 22:28:03,20221103,23.06
S000000267,U0001336,1,2020-07-08 08:12:00,20200708,2020-07-08 08:56:27,20200708,44.46
S000000268,U0002593,1,2023-11-21 01:59:00,20231121,2023-11-21 02:04:19,20231121,5.32
S000000269,U0000345,1,2025-08-14 18:51:00,20250814,2025-08-14 18:56:51,20250814,5.86
S000000270,U0000971,1,2021-05-05 21:58:00,20210505,2021-05-05 22:16:46,20210505,18.78
S000000271,U0001067,3,2023-06-26 23:33:00,20230626,2023-06-26 23:45:35,20230626,12.59
S000000272,U0001829,4,2020-08-13 04:15:00,20200813,2020-08-13 04:51:29,20200813,36.5
S000000273,U0002948,4,2020-01-03 14:21:00,20200103,2020-01-03 14:29:08,20200103,8.14
S000000274,U0003485,1,2025-12-09 07:52:00,20251209,2025-12-09 07:59:12,20251209,7.21
S000000275,U0001678,1,2020-01-29 11:40:00,20200129,2020-01-29 12:07:40,20200129,27.67
S000000276,U0002443,1,2022-02-27 22:33:00,20220227,2022-02-27 23:14:43,20220227,41.73
S000000277,U0003370,1,2024-01-25 22:15:00,20240125,2024-01-25 22:20:22,20240125,5.37
S000000278,U0000459,1,2025-01-23 02:58:00,20250123,2025-01-23 03:08:29,20250123,10.49
