purchase_id,user_id,purchase_date_id,purchase_amount,currency,payment_method,purchase_status,bonus_granted_amount,is_first_deposit_flag
P00015703,U0000012,20220806,46.91,EUR,Bank Transfer,Completed,21.16,0
P00003250,U0000012,20221005,9.94,EUR,Bank Transfer,Completed,0.0,0
P00014687,U0000012,20231102,21.34,GBP,Card,Completed,0.0,0
P00001953,U0000012,20240613,32.15,USD,Crypto,Failed,10.81,0
P00006800,U0000013,20200819,31.93,GBP,Bank Transfer,Completed,4.85,1
P00013709,U0000013,20210614,9.45,GBP,E-Wallet,Completed,1.71,0
P00011730,U0000013,20221005,10.18,GBP,E-Wallet,Completed,5.03,0
P00007136,U0000013,20230428,49.72,EUR,E-Wallet,Completed,6.17,0
P00014011,U0000013,20250422,47.58,USD,Card,Completed,0.0,0
P00017067,U0000013,20250620,51.45,USD,Crypto,Completed,0.0,0
P00002571,U0000014,20200521,50.23,GBP,E-Wallet,Completed,0.0,1
P00013224,U0000014,20200606,211.5,GBP,E-Wallet,Completed,23.93,0
P00010482,U0000014,20200827,212.21,EUR,E-Wallet,Completed,82.3,0
P00013789,U0000014,20211119,51.06,EUR,E-Wallet,Completed,6.11,0
P00002686,U0000014,20231201,18.69,GBP,Bank Transfer,Completed,0.0,0
P00007916,U0000016,20200913,97.9,EUR,Crypto,Completed,0.0,1
P00002039,U0000016,20231110,21.57,USD,Crypto,Completed,0.0,0
P00014352,U0000017,20200224,197.9,USD,E-Wallet,Completed,98.48,1
P00003464,U0000017,20201030,49.52,EUR,Crypto,Completed,0.0,0
P00000466,U0000017,20241013,53.35,EUR,Crypto,Completed,0.0,0
P00007784,U0000017,20241129,45.34,GBP,Bank Transfer,Completed,0.0,0
P00015255,U0000018,20210106,30.1,GBP,Card,Completed,0.0,1
P00011492,U0000018,20230717,97.95,EUR,Card,Completed,0.0,0
P00010403,U0000019,20190512,10.0,USD,E-Wallet,Completed,3.5,1
P00006333,U0000019,20190519,52.16,USD,Crypto,Completed,0.0,0
P00009849,U0000019,20190527,9.35,USD,Crypto,Completed,0.0,0
P00006708,U0000019,20190729,9.45,EUR,E-Wallet,Completed,3.63,0
P00004527,U0000019,20190918,10.05,EUR,Card,Completed,0.0,0
P00015943,U0000019,20200228,45.97,USD,Crypto,Completed,5.82,0
P00002878,U0000019,20200313,48.27,EUR,Card,Completed,16.49,0
P00008437,U0000019,20210527,18.44,EUR,Bank Transfer,Completed,0.0,0
P00005899,U0000019,20210807,20.7,EUR,E-Wallet,Completed,0.0,0
P00015085,U0000019,20230811,52.52,GBP,E-Wallet,Failed,0.0,0
P00013486,U0000019,20240411,52.68,EUR,E-Wallet,Completed,9.11,0
P00004937,U0000019,20240826,10.52,USD,Card,Completed,0.0,0
P00007532,U0000019,20240909,107.75,EUR,Bank Transfer,Completed,0.0,0
P00015852,U0000019,20241229,10.33,GBP,Card,Completed,0.0,0
P00010311,U0000019,20250307,18.85,EUR,Crypto,Pending,0.0,0
P00000537,U0000020,20190307,98.83,GBP,Crypto,Completed,0.0,1
P00002951,U0000021,20210512,200.97,EUR,E-Wallet,Completed,0.0,1
P00012030,U0000021,20220102,47.85,USD,Card,Completed,9.03,0
P00002388,U0000021,20231006,54.18,GBP,Bank Transfer,Completed,0.0,0
P00005964,U0000022,20190202,9.56,USD,E-Wallet,Completed,0.0,1
P00004914,U0000022,20190510,46.73,EUR,Card,Failed,17.05,0
P00007465,U0000022,20190516,51.31,EUR,Crypto,Completed,0.0,0
P00002563,U0000022,20191101,18.54,GBP,E-Wallet,Completed,0.0,0
P00000035,U0000022,20201207,97.27,EUR,Crypto,Completed,0.0,0
P00002328,U0000022,20220724,9.09,EUR,Crypto,Completed,0.0,0
P00012405,U0000022,20230524,45.94,USD,Crypto,Pending,6.67,0
P00014467,U0000023,20200123,108.23,USD,Crypto,Completed,17.09,1
P00003667,U0000023,20200605,219.43,USD,Card,Completed,33.78,0
P00012916,U0000023,20201018,29.67,USD,Bank Transfer,Pending,3.45,0
P00005142,U0000023,20220306,9.94,GBP,Bank Transfer,Completed,0.0,0
P00013039,U0000024,20210228,21.14,GBP,Card,Completed,0.0,1
P00015122,U0000024,20240816,9.34,USD,Crypto,Completed,0.0,0
P00016580,U0000024,20241009,10.82,GBP,Card,Completed,4.14,0
P00009948,U0000025,20190503,18.7,GBP,Crypto,Completed,7.28,1
P00001929,U0000025,20191225,9.99,USD,Crypto,Completed,0.0,0
P00004949,U0000025,20200316,20.05,GBP,E-Wallet,Completed,0.0,0
P00006023,U0000025,20210917,9.81,GBP,E-Wallet,Completed,4.82,0
P00010393,U0000025,20211025,21.67,USD,Crypto,Completed,0.0,0
P00001627,U0000025,20240323,32.54,USD,Card,Completed,0.0,0
P00015297,U0000025,20241230,9.46,USD,Bank Transfer,Completed,0.0,0
P00005359,U0000026,20200207,19.96,USD,Crypto,Completed,2.08,1
P00017657,U0000026,20201216,10.86,GBP,Crypto,Completed,3.55,0
P00016949,U0000026,20210711,19.09,GBP,E-Wallet,Completed,0.0,0
P00015710,U0000026,20240502,10.13,EUR,Card,Completed,0.0,0
P00010091,U0000026,20251111,53.14,EUR,Card,Completed,22.31,0
P00009458,U0000027,20200910,21.7,GBP,Crypto,Completed,0.0,1
P00017268,U0000027,20221206,30.23,GBP,E-Wallet,Completed,0.0,0
P00016728,U0000027,20251007,9.86,EUR,Card,Completed,0.0,0
P00002698,U0000028,20230119,49.23,GBP,Bank Transfer,Completed,6.68,1
P00008790,U0000028,20240812,10.29,GBP,E-Wallet,Completed,0.0,0
P00001220,U0000028,20251020,51.95,EUR,Bank Transfer,Completed,0.0,0
P00012748,U0000029,20200105,52.88,USD,Bank Transfer,Completed,0.0,1
P00002061,U0000029,20200124,10.46,EUR,Bank Transfer,Completed,0.0,0
P00002345,U0000029,20200614,10.65,USD,E-Wallet,Completed,0.0,0
P00010877,U0000029,20210827,46.61,GBP,Crypto,Completed,7.45,0
P00001879,U0000029,20221111,46.09,EUR,Card,Completed,0.0,0
P00008536,U0000029,20221113,53.09,USD,Bank Transfer,Completed,0.0,0
P00011605,U0000029,20250815,51.44,USD,Card,Completed,0.0,0
P00007696,U0000030,20231002,29.25,EUR,Crypto,Completed,0.0,1
P00013938,U0000030,20240526,50.24,EUR,Card,Completed,0.0,0
P00006934,U0000031,20191001,10.49,GBP,Crypto,Completed,1.07,1
P00015268,U0000031,20191209,9.31,GBP,Bank Transfer,Completed,2.62,0
P00011694,U0000031,20200305,18.86,USD,Card,Pending,7.01,0
P00011370,U0000031,20231222,10.72,USD,Crypto,Completed,0.0,0
P00013640,U0000033,20200319,99.25,EUR,Card,Completed,21.66,1
P00005293,U0000033,20210705,10.58,EUR,Bank Transfer,Pending,0.0,0
P00017692,U0000034,20220925,90.02,GBP,Crypto,Completed,0.0,1
P00012715,U0000035,20190209,47.04,EUR,Crypto,Completed,0.0,1
P00008538,U0000035,20210312,9.14,GBP,Card,Completed,0.0,0
P00002610,U0000035,20231007,49.56,EUR,Crypto,Completed,24.07,0
P00000085,U0000035,20241219,207.13,EUR,E-Wallet,Completed,0.0,0
P00008667,U0000035,20250726,101.85,EUR,Crypto,Completed,0.0,0
P00008054,U0000036,20190206,28.14,USD,Bank Transfer,Completed,2.83,1
P00006918,U0000036,20191124,20.88,EUR,Crypto,Completed,6.58,0
P00003114,U0000036,20191224,105.96,USD,Card,Completed,30.03,0
P00003010,U0000036,20220706,31.47,USD,Crypto,Completed,0.0,0
P00000535,U0000036,20220907,92.73,EUR,Bank Transfer,Completed,0.0,0
P00016204,U0000037,20190827,54.51,EUR,Crypto,Failed,0.0,1
P00000767,U0000037,20201001,18.51,GBP,Crypto,Pending,7.15,0
P00002210,U0000037,20210131,48.31,GBP,Crypto,Completed,0.0,0
P00013162,U0000037,20220704,52.2,EUR,Bank Transfer,Completed,10.16,0
P00012322,U0000038,20190413,9.23,EUR,E-Wallet,Completed,3.9,1
P00011715,U0000038,20220710,99.92,EUR,E-Wallet,Completed,32.16,0
P00002202,U0000038,20230829,9.86,GBP,Card,Completed,0.0,0
P00014229,U0000038,20240311,48.43,GBP,E-Wallet,Completed,9.24,0
P00002028,U0000039,20190228,47.54,USD,Bank Transfer,Completed,0.0,1
P00002366,U0000039,20200122,9.71,USD,E-Wallet,Completed,0.0,0
P00000883,U0000039,20220402,10.45,GBP,E-Wallet,Completed,0.0,0
P00012596,U0000039,20220527,10.52,GBP,Bank Transfer,Completed,0.0,0
P00006912,U0000039,20231118,19.93,USD,Card,Completed,0.0,0
P00003614,U0000039,20240729,10.06,GBP,Bank Transfer,Failed,0.0,0
P00006459,U0000040,20200308,19.93,GBP,Card,Completed,4.04,1
P00004119,U0000040,20201224,9.36,GBP,Card,Completed,0.0,0
P00017472,U0000040,20220720,20.53,GBP,E-Wallet,Completed,7.82,0
P00005645,U0000040,20220819,93.69,EUR,Card,Completed,13.45,0
P00002193,U0000040,20230113,54.84,GBP,Card,Completed,0.0,0
P00006988,U0000040,20240211,9.91,EUR,Card,Pending,1.8,0
P00016273,U0000040,20241023,196.65,USD,Crypto,Completed,0.0,0
P00013699,U0000041,20190405,20.58,GBP,Card,Completed,0.0,1
P00014562,U0000041,20210527,9.94,GBP,Card,Completed,3.69,0
P00004213,U0000041,20210703,91.22,GBP,Card,Completed,0.0,0
P00009563,U0000041,20221014,28.66,GBP,Card,Completed,0.0,0
P00001834,U0000041,20230908,101.49,EUR,E-Wallet,Completed,0.0,0
P00015381,U0000041,20240407,52.74,EUR,Card,Pending,0.0,0
P00000970,U0000041,20241023,184.3,GBP,E-Wallet,Completed,0.0,0
P00004357,U0000041,20250912,32.48,GBP,Crypto,Completed,12.22,0
P00003253,U0000042,20190804,21.59,EUR,E-Wallet,Completed,4.46,1
P00010326,U0000042,20230324,50.25,USD,Bank Transfer,Completed,0.0,0
P00001141,U0000043,20190319,10.07,EUR,Crypto,Completed,0.0,1
P00002941,U0000043,20190627,18.08,GBP,Card,Completed,6.03,0
P00006072,U0000043,20200530,18.65,EUR,E-Wallet,Completed,0.0,0
P00008115,U0000043,20210902,20.6,EUR,E-Wallet,Completed,0.0,0
P00013583,U0000043,20231110,193.8,USD,Crypto,Completed,0.0,0
P00003331,U0000043,20250314,21.66,GBP,E-Wallet,Completed,0.0,0
P00013333,U0000043,20250624,30.72,GBP,E-Wallet,Completed,0.0,0
P00005812,U0000043,20251112,98.76,EUR,Bank Transfer,Completed,33.04,0
P00006507,U0000044,20240423,10.3,GBP,Card,Completed,0.0,1
P00015256,U0000044,20240808,27.39,GBP,Crypto,Completed,8.03,0
P00017040,U0000044,20251124,9.66,USD,Bank Transfer,Completed,0.0,0
P00008857,U0000045,20210604,18.37,EUR,Card,Completed,0.0,1
P00010303,U0000045,20220805,101.28,GBP,Card,Completed,0.0,0
P00007843,U0000045,20250413,10.17,USD,Bank Transfer,Completed,2.65,0
P00010623,U0000045,20251213,96.56,EUR,Card,Completed,0.0,0
P00008272,U0000046,20200822,31.28,GBP,Crypto,Completed,0.0,1
P00011100,U0000046,20230810,27.73,EUR,Crypto,Completed,8.3,0
P00014288,U0000046,20231022,9.68,GBP,Bank Transfer,Completed,0.0,0
P00000587,U0000047,20200521,31.83,GBP,Bank Transfer,Completed,0.0,1
P00011371,U0000047,20220106,18.49,EUR,Bank Transfer,Completed,7.08,0
P00001977,U0000047,20231005,32.0,USD,Card,Completed,0.0,0
P00014449,U0000047,20240716,9.67,EUR,E-Wallet,Completed,3.7,0
P00007006,U0000048,20200618,27.97,USD,Crypto,Completed,0.0,1
P00001202,U0000048,20210330,18.96,EUR,Bank Transfer,Completed,2.25,0
P00013672,U0000049,20190122,19.13,EUR,Card,Completed,4.48,1
P00004620,U0000049,20200216,10.58,GBP,Card,Completed,1.89,0
P00010932,U0000049,20200524,20.71,GBP,Crypto,Completed,0.0,0
P00012693,U0000049,20240123,9.96,USD,Crypto,Completed,0.0,0
P00010347,U0000049,20240126,200.39,EUR,Crypto,Completed,0.0,0
P00010793,U0000049,20250416,32.89,USD,E-Wallet,Completed,0.0,0
P00006883,U0000050,20190312,29.32,USD,Crypto,Failed,0.0,1
P00005896,U0000050,20210208,29.85,GBP,Crypto,Completed,0.0,0
P00003048,U0000050,20210428,27.25,GBP,Card,Completed,0.0,0
P00000554,U0000051,20210819,18.75,EUR,Card,Completed,0.0,1
P00002963,U0000051,20220519,21.77,EUR,Card,Failed,8.18,0
P00001052,U0000051,20220528,19.81,USD,E-Wallet,Completed,4.17,0
P00001570,U0000051,20250124,18.08,USD,Crypto,Completed,0.0,0
P00016733,U0000052,20230317,49.2,GBP,Card,Completed,22.04,1
P00017168,U0000052,20230717,10.52,GBP,Bank Transfer,Pending,2.69,0
P00014491,U0000052,20240924,19.96,GBP,E-Wallet,Completed,2.64,0
P00009312,U0000052,20250601,20.22,EUR,Card,Completed,2.58,0
P00007044,U0000053,20200528,21.63,GBP,Card,Completed,0.0,1
P00005058,U0000053,20250811,20.36,GBP,Crypto,Completed,8.34,0
P00006538,U0000054,20220928,10.55,GBP,Card,Completed,0.0,1
P00015953,U0000054,20221104,200.6,EUR,Bank Transfer,Completed,0.0,0
P00002147,U0000054,20250814,193.87,GBP,E-Wallet,Completed,0.0,0
P00016957,U0000055,20210930,29.49,EUR,Crypto,Completed,11.07,1
P00015565,U0000055,20211109,52.92,GBP,Crypto,Failed,24.16,0
P00014592,U0000055,20211214,21.07,USD,E-Wallet,Completed,0.0,0
P00010323,U0000055,20221217,194.34,USD,Crypto,Completed,56.29,0
P00001697,U0000055,20240919,21.63,USD,Bank Transfer,Pending,0.0,0
P00001707,U0000055,20241223,45.95,GBP,Crypto,Completed,7.41,0
P00001893,U0000055,20250814,9.23,GBP,Card,Completed,3.6,0
P00013087,U0000056,20190411,9.99,EUR,Crypto,Completed,0.0,1
P00001216,U0000056,20230124,10.61,EUR,Bank Transfer,Completed,2.68,0
P00009526,U0000056,20250304,53.79,EUR,E-Wallet,Completed,14.18,0
P00012387,U0000056,20250919,18.92,GBP,Bank Transfer,Completed,0.0,0
P00014246,U0000056,20251013,10.3,GBP,Crypto,Completed,0.0,0
P00004933,U0000057,20210122,10.31,EUR,Bank Transfer,Completed,0.0,1
P00010019,U0000057,20221216,10.92,USD,Card,Completed,3.95,0
P00012898,U0000057,20240517,54.65,EUR,Crypto,Completed,12.66,0
P00017645,U0000057,20251107,19.16,GBP,Bank Transfer,Completed,0.0,0
P00008794,U0000058,20230301,102.79,GBP,Bank Transfer,Completed,0.0,1
P00011378,U0000058,20241107,9.9,USD,E-Wallet,Completed,0.0,0
P00003146,U0000058,20250118,47.9,GBP,Crypto,Completed,5.73,0
P00016074,U0000059,20190326,18.97,USD,Card,Completed,0.0,1
P00004748,U0000059,20191225,21.68,EUR,E-Wallet,Completed,9.54,0
P00011996,U0000059,20200822,31.82,USD,Bank Transfer,Completed,14.64,0
P00011806,U0000060,20250708,10.43,USD,Crypto,Completed,0.0,1
P00016852,U0000060,20250813,10.7,USD,Card,Failed,0.0,0
P00008016,U0000060,20251116,49.46,USD,Bank Transfer,Pending,5.7,0
P00003782,U0000060,20251125,20.78,GBP,Crypto,Completed,0.0,0
P00009398,U0000061,20190105,108.71,GBP,Crypto,Failed,25.99,1
P00001925,U0000061,20191108,20.19,USD,Bank Transfer,Completed,0.0,0
P00006098,U0000061,20200822,20.71,EUR,E-Wallet,Completed,5.89,0
P00013650,U0000061,20240208,19.04,USD,Bank Transfer,Completed,9.04,0
P00001166,U0000061,20240919,18.62,EUR,Card,Completed,2.69,0
P00006224,U0000061,20241025,55.0,USD,Crypto,Completed,0.0,0
P00015681,U0000061,20251121,18.69,USD,Bank Transfer,Completed,0.0,0
P00011351,U0000062,20190622,9.84,GBP,Bank Transfer,Pending,2.75,1
P00011301,U0000062,20210125,51.06,EUR,Bank Transfer,Completed,0.0,0
P00012484,U0000062,20210427,10.1,USD,E-Wallet,Completed,0.0,0
P00010306,U0000062,20221112,29.26,USD,E-Wallet,Completed,0.0,0
P00015715,U0000062,20250504,10.97,EUR,Crypto,Completed,4.02,0
P00006168,U0000063,20200501,47.1,GBP,Crypto,Completed,0.0,1
P00001636,U0000063,20230524,103.37,EUR,Card,Failed,0.0,0
P00001016,U0000063,20240216,18.36,GBP,Crypto,Completed,0.0,0
P00008737,U0000064,20210624,20.62,GBP,Bank Transfer,Completed,8.0,1
P00007823,U0000064,20211226,30.81,USD,Bank Transfer,Completed,13.25,0
P00012357,U0000065,20190923,18.23,GBP,E-Wallet,Completed,3.03,1
P00000136,U0000065,20211028,9.71,EUR,Bank Transfer,Completed,0.0,0
P00005799,U0000065,20220604,9.07,EUR,Crypto,Completed,0.0,0
P00009404,U0000065,20220801,9.82,USD,Crypto,Completed,0.0,0
P00015853,U0000066,20200401,19.69,USD,Bank Transfer,Completed,0.0,1
P00010891,U0000066,20230424,20.96,EUR,Crypto,Completed,0.0,0
P00010704,U0000066,20240927,27.21,USD,Bank Transfer,Completed,8.68,0
P00001264,U0000067,20190910,90.49,EUR,Card,Completed,0.0,1
P00003142,U0000067,20200410,21.14,EUR,Crypto,Completed,0.0,0
P00008913,U0000067,20221204,19.37,GBP,Crypto,Failed,5.89,0
P00011069,U0000067,20240627,9.58,EUR,Crypto,Completed,1.88,0
P00014632,U0000067,20240724,29.56,GBP,Card,Failed,0.0,0
P00010111,U0000068,20190108,21.89,GBP,Bank Transfer,Completed,5.71,1
P00009706,U0000068,20190213,20.68,GBP,Card,Completed,0.0,0
P00004757,U0000068,20190422,10.65,EUR,Crypto,Completed,1.97,0
P00004359,U0000068,20190827,28.22,USD,E-Wallet,Completed,7.74,0
P00010582,U0000068,20220213,19.06,USD,E-Wallet,Completed,0.0,0
P00006704,U0000068,20240531,28.02,GBP,E-Wallet,Completed,0.0,0
P00001133,U0000069,20190123,54.87,GBP,Bank Transfer,Completed,0.0,1
P00006213,U0000069,20211202,46.37,EUR,E-Wallet,Completed,19.98,0
P00016641,U0000069,20230309,21.49,GBP,Bank Transfer,Completed,10.18,0
P00006092,U0000069,20230719,98.41,GBP,Bank Transfer,Completed,14.33,0
P00010350,U0000069,20251121,18.44,USD,Bank Transfer,Completed,6.35,0
P00011753,U0000069,20251221,49.48,USD,Card,Completed,0.0,0
P00009923,U0000070,20190106,46.82,USD,E-Wallet,Completed,0.0,1
P00014191,U0000070,20220207,103.16,USD,Card,Completed,0.0,0
P00015233,U0000070,20250416,90.93,EUR,E-Wallet,Completed,0.0,0
P00010152,U0000071,20190111,19.82,EUR,Crypto,Completed,0.0,1
P00006362,U0000071,20220212,19.94,EUR,Card,Completed,0.0,0
P00013807,U0000072,20220818,106.14,USD,Crypto,Completed,0.0,1
P00007187,U0000072,20220827,10.16,EUR,Crypto,Completed,0.0,0
P00007489,U0000072,20230410,10.85,USD,E-Wallet,Completed,0.0,0
P00007059,U0000072,20240214,203.44,USD,Bank Transfer,Completed,0.0,0
P00014407,U0000072,20240831,9.93,EUR,Card,Completed,0.0,0
P00016260,U0000072,20241124,45.04,USD,E-Wallet,Completed,0.0,0
P00002467,U0000072,20250412,18.89,USD,Crypto,Completed,2.4,0
P00003268,U0000073,20190912,28.92,EUR,E-Wallet,Completed,4.3,1
P00003120,U0000073,20201202,211.58,EUR,Crypto,Completed,0.0,0
P00005992,U0000073,20240209,19.22,EUR,E-Wallet,Completed,0.0,0
P00008934,U0000073,20240331,90.25,EUR,Crypto,Completed,27.64,0
P00006065,U0000073,20240907,30.7,USD,Crypto,Completed,5.03,0
P00015815,U0000074,20190609,20.87,EUR,Crypto,Completed,0.0,1
P00010639,U0000074,20210104,18.78,USD,Bank Transfer,Failed,0.0,0
P00015798,U0000074,20251231,28.81,GBP,Bank Transfer,Completed,5.35,0
P00001324,U0000075,20200815,19.87,EUR,Card,Completed,0.0,1
P00011297,U0000075,20210914,10.72,GBP,Card,Pending,1.97,0
P00001827,U0000075,20211002,20.64,GBP,Card,Completed,0.0,0
P00003834,U0000075,20220907,19.45,USD,Card,Failed,7.53,0
P00012027,U0000075,20250717,9.68,EUR,Bank Transfer,Completed,3.16,0
P00007760,U0000076,20190406,49.36,EUR,Bank Transfer,Completed,8.5,1
P00007800,U0000076,20210628,20.0,EUR,Card,Completed,0.0,0
P00013692,U0000076,20211126,32.4,USD,E-Wallet,Completed,13.94,0
P00011667,U0000076,20221025,28.09,GBP,Bank Transfer,Completed,8.61,0
P00000793,U0000076,20240131,9.55,USD,Card,Completed,2.77,0
P00016577,U0000077,20211120,9.41,EUR,Card,Failed,1.74,1
P00006635,U0000077,20231222,51.26,USD,Card,Completed,11.29,0
P00004747,U0000077,20241224,19.15,USD,Crypto,Completed,0.0,0
P00013536,U0000077,20250629,20.09,USD,Crypto,Completed,0.0,0
P00005816,U0000078,20220505,9.07,GBP,Crypto,Completed,0.0,1
P00009754,U0000078,20230412,10.69,GBP,Card,Pending,2.12,0
P00017412,U0000078,20230923,19.98,USD,Crypto,Completed,0.0,0
P00001429,U0000078,20250619,19.17,EUR,Crypto,Completed,6.65,0
P00011549,U0000079,20230517,9.66,GBP,Bank Transfer,Failed,0.0,1
P00009163,U0000079,20240409,19.66,EUR,Card,Failed,0.0,0
P00003487,U0000079,20240523,10.25,USD,Crypto,Failed,0.0,0
P00000922,U0000080,20220320,47.09,USD,Bank Transfer,Completed,14.03,1
P00014602,U0000080,20240302,9.72,EUR,Bank Transfer,Completed,2.75,0
P00010385,U0000080,20250105,10.09,USD,Crypto,Completed,3.6,0
P00017704,U0000081,20190628,31.4,EUR,E-Wallet,Completed,11.07,1
P00015485,U0000081,20200218,46.57,USD,Bank Transfer,Completed,0.0,0
P00014377,U0000081,20240507,9.38,EUR,Crypto,Completed,0.0,0
P00014026,U0000082,20190224,9.91,GBP,Crypto,Completed,0.0,1
P00001766,U0000082,20190402,19.79,USD,E-Wallet,Completed,0.0,0
P00010816,U0000082,20190430,205.8,EUR,Card,Completed,0.0,0
P00006442,U0000082,20190613,21.99,EUR,Crypto,Completed,4.96,0
P00004878,U0000082,20210807,9.64,GBP,Card,Completed,0.0,0
P00015698,U0000082,20240411,21.73,GBP,Card,Completed,0.0,0
P00016514,U0000082,20250511,21.29,GBP,Bank Transfer,Completed,4.52,0
P00012672,U0000083,20190725,10.43,GBP,Bank Transfer,Completed,0.0,1
P00008122,U0000083,20211124,49.98,GBP,Card,Completed,14.96,0
P00004313,U0000083,20220329,53.15,USD,Card,Failed,16.06,0
P00006034,U0000083,20230327,9.19,EUR,Card,Completed,4.09,0
P00009340,U0000083,20241231,9.19,EUR,Card,Completed,0.0,0
P00001045,U0000083,20250919,21.96,GBP,Crypto,Completed,0.0,0
P00002391,U0000084,20200310,31.51,USD,Card,Completed,0.0,1
P00005619,U0000084,20210207,29.02,GBP,E-Wallet,Completed,0.0,0
P00011988,U0000084,20230926,198.92,GBP,Card,Completed,76.42,0
P00010344,U0000085,20220110,29.86,GBP,Bank Transfer,Completed,0.0,1
P00008727,U0000085,20230303,9.6,USD,E-Wallet,Completed,0.0,0
P00008730,U0000085,20230306,52.29,EUR,Crypto,Completed,14.11,0
P00014723,U0000085,20230901,18.81,GBP,E-Wallet,Completed,0.0,0
P00016077,U0000086,20190815,30.62,USD,Crypto,Failed,0.0,1
P00002821,U0000086,20210602,95.14,USD,E-Wallet,Completed,0.0,0
P00015741,U0000086,20210713,21.54,USD,E-Wallet,Completed,2.59,0
P00005503,U0000086,20220121,21.38,EUR,E-Wallet,Completed,7.77,0
P00009905,U0000086,20250103,30.47,EUR,Crypto,Completed,0.0,0
P00007335,U0000087,20200317,30.05,EUR,Card,Completed,12.24,1
P00006260,U0000087,20201121,20.1,EUR,Bank Transfer,Completed,0.0,0
P00010817,U0000087,20220103,195.74,GBP,Crypto,Completed,0.0,0
P00003504,U0000087,20220323,47.48,GBP,Card,Completed,9.27,0
P00015182,U0000087,20240114,104.81,EUR,E-Wallet,Completed,22.82,0
P00013023,U0000088,20201228,52.45,EUR,Card,Completed,17.25,1
P00016530,U0000088,20210414,32.15,USD,Bank Transfer,Pending,9.98,0
P00003654,U0000088,20210505,21.04,USD,Crypto,Completed,5.98,0
P00010584,U0000088,20240914,32.62,EUR,E-Wallet,Completed,0.0,0
P00014305,U0000088,20250223,29.54,USD,Crypto,Completed,0.0,0
P00014745,U0000089,20190728,184.69,GBP,Card,Pending,0.0,1
P00014975,U0000089,20230820,21.21,EUR,Card,Completed,0.0,0
P00015038,U0000090,20190108,50.31,GBP,E-Wallet,Completed,0.0,1
P00006798,U0000090,20190803,19.94,USD,Card,Completed,0.0,0
P00000962,U0000090,20191204,203.76,USD,Bank Transfer,Completed,0.0,0
