spin_id,session_id,user_id,channel_id,game_id,spin_ts,spin_date_id,stake_amount,payout_amount,profit_amount
SP000000053,S000000018,U0003649,1,G000101,2024-12-06 03:29:36,20241206,232.01,122.63,109.38
SP000000054,S000000018,U0003649,1,G000101,2024-12-06 03:30:41,20241206,330.17,668.11,-337.94
SP000000055,S000000018,U0003649,1,G000101,2024-12-06 03:24:51,20241206,177.94,119.85,58.09
SP000000056,S000000018,U0003649,1,G000101,2024-12-06 03:22:32,20241206,160.05,99.29,60.76
SP000000057,S000000018,U0003649,1,G000101,2024-12-06 03:29:04,20241206,333.55,294.38,39.17
SP000000058,S000000019,U0001324,1,G000029,2019-12-22 18:04:49,20191222,41.46,19.26,22.2
SP000000059,S000000019,U0001324,1,G000029,2019-12-22 18:03:14,20191222,67.02,18.2,48.82
SP000000060,S000000019,U0001324,1,G000022,2019-12-22 17:59:40,20191222,158.75,12.86,145.89
SP000000061,S000000019,U0001324,1,G000029,2019-12-22 18:02:40,20191222,50.72,11.57,39.15
SP000000062,S000000019,U0001324,1,G000029,2019-12-22 17:57:05,20191222,47.5,14.7,32.8
SP000000063,S000000019,U0001324,1,G000029,2019-12-22 18:02:13,20191222,27.65,9.87,17.78
SP000000064,S000000019,U0001324,1,G000030,2019-12-22 17:58:41,20191222,74.61,48.87,25.74
SP000000065,S000000019,U0001324,1,G000080,2019-12-22 18:04:51,20191222,32.72,28.76,3.96
SP000000066,S000000019,U0001324,1,G000029,2019-12-22 17:56:10,20191222,69.13,33.74,35.39
SP000000067,S000000019,U0001324,1,G000029,2019-12-22 17:55:28,20191222,60.68,44.41,16.27
SP000000068,S000000019,U0001324,1,G000039,2019-12-22 17:57:04,20191222,54.47,25.9,28.57
SP000000069,S000000019,U0001324,1,G000029,2019-12-22 17:56:30,20191222,56.18,78.44,-22.26
SP000000070,S000000020,U0002653,1,G000084,2023-05-22 11:37:26,20230522,53.9,121.79,-67.89
SP000000071,S000000021,U0003132,1,G000041,2022-10-28 10:50:21,20221028,332.68,142.11,190.57
SP000000072,S000000021,U0003132,1,G000003,2022-10-28 10:51:55,20221028,145.03,102.89,42.14
SP000000073,S000000021,U0003132,1,G000003,2022-10-28 11:07:39,20221028,142.74,65.67,77.07
SP000000074,S000000022,U0003935,1,G000007,2023-07-30 06:00:42,20230730,54.99,63.7,-8.71
SP000000075,S000000022,U0003935,1,G000007,2023-07-30 05:59:30,20230730,51.44,5.79,45.65
SP000000076,S000000022,U0003935,1,G000007,2023-07-30 05:39:06,20230730,36.58,1.3,35.28
SP000000077,S000000022,U0003935,1,G000007,2023-07-30 05:43:44,20230730,66.27,73.6,-7.33
SP000000078,S000000022,U0003935,1,G000007,2023-07-30 06:00:06,20230730,62.71,44.98,17.73
SP000000079,S000000023,U0002281,4,G000010,2020-06-08 11:02:02,20200608,1126.95,57543.71,-56416.76
SP000000080,S000000023,U0002281,4,G000050,2020-06-08 11:03:49,20200608,1333.63,146.53,1187.1
SP000000081,S000000023,U0002281,4,G000070,2020-06-08 11:02:23,20200608,954.58,568.99,385.59
SP000000082,S000000023,U0002281,4,G000050,2020-06-08 10:59:04,20200608,961.11,3262.66,-2301.55
SP000000083,S000000023,U0002281,4,G000050,2020-06-08 11:05:48,20200608,593.85,866.02,-272.17
SP000000084,S000000024,U0003666,1,G000068,2024-10-25 16:46:05,20241025,92.9,14.01,78.89
SP000000085,S000000024,U0003666,1,G000068,2024-10-25 16:44:58,20241025,113.39,80.49,32.9
SP000000086,S000000024,U0003666,1,G000068,2024-10-25 16:47:03,20241025,81.37,20.31,61.06
SP000000087,S000000024,U0003666,1,G000104,2024-10-25 16:52:23,20241025,58.21,8.3,49.91
SP000000088,S000000025,U0001523,1,G000106,2022-02-02 04:06:58,20220202,208.94,5.14,203.8
SP000000089,S000000025,U0001523,1,G000106,2022-02-02 04:07:24,20220202,196.61,269.17,-72.56
SP000000090,S000000027,U0000716,1,G000097,2019-09-30 07:55:55,20190930,210.76,294.61,-83.85
SP000000091,S000000027,U0000716,1,G000003,2019-09-30 08:03:47,20190930,220.51,410.85,-190.34
SP000000092,S000000027,U0000716,1,G000097,2019-09-30 08:08:07,20190930,152.79,137.49,15.3
SP000000093,S000000027,U0000716,1,G000046,2019-09-30 07:56:33,20190930,257.75,201.41,56.34
SP000000094,S000000027,U0000716,1,G000097,2019-09-30 08:09:52,20190930,260.8,106.02,154.78
SP000000095,S000000027,U0000716,1,G000097,2019-09-30 08:09:37,20190930,185.42,180.12,5.3
SP000000096,S000000027,U0000716,1,G000102,2019-09-30 08:04:23,20190930,205.86,45.45,160.41
SP000000097,S000000027,U0000716,1,G000119,2019-09-30 08:16:24,20190930,165.89,85.92,79.97
SP000000098,S000000027,U0000716,1,G000097,2019-09-30 07:55:12,20190930,153.15,185.99,-32.84
SP000000099,S000000027,U0000716,1,G000097,2019-09-30 08:07:24,20190930,355.69,110.02,245.67
SP000000100,S000000027,U0000716,1,G000097,2019-09-30 08:16:29,20190930,373.5,34.35,339.15
SP000000101,S000000027,U0000716,1,G000059,2019-09-30 08:07:25,20190930,166.46,33.05,133.41
SP000000102,S000000027,U0000716,1,G000097,2019-09-30 07:59:29,20190930,151.82,8.07,143.75
SP000000103,S000000027,U0000716,1,G000097,2019-09-30 07:56:14,20190930,198.31,119.58,78.73
SP000000104,S000000027,U0000716,1,G000097,2019-09-30 08:13:59,20190930,158.89,146.98,11.91
SP000000105,S000000028,U0000942,1,G000103,2021-03-31 10:30:42,20210331,55.51,8.96,46.55
SP000000106,S000000029,U0000062,1,G000118,2024-03-03 12:26:11,20240303,108.18,128.01,-19.83
SP000000107,S000000029,U0000062,1,G000053,2024-03-03 12:45:44,20240303,339.12,244.63,94.49
SP000000108,S000000029,U0000062,1,G000047,2024-03-03 12:30:19,20240303,195.46,143.71,51.75
SP000000109,S000000029,U0000062,1,G000047,2024-03-03 12:20:24,20240303,178.84,9.63,169.21
SP000000110,S000000030,U0002784,3,G000068,2024-09-16 01:33:16,20240916,112.11,97.54,14.57
SP000000111,S000000030,U0002784,3,G000068,2024-09-16 01:32:24,20240916,47.77,116.1,-68.33
SP000000112,S000000031,U0002423,3,G000078,2019-07-07 22:55:55,20190707,23.46,11.44,12.02
SP000000113,S000000031,U0002423,3,G000017,2019-07-07 22:50:43,20190707,20.69,5.96,14.73
SP000000114,S000000031,U0002423,3,G000078,2019-07-07 22:56:46,20190707,33.66,15.7,17.96
SP000000115,S000000031,U0002423,3,G000040,2019-07-07 22:52:45,20190707,22.41,16.55,5.86
SP000000116,S000000032,U0001832,1,G000080,2020-04-11 09:14:28,20200411,16.11,12.58,3.53
SP000000117,S000000032,U0001832,1,G000025,2020-04-11 09:16:47,20200411,42.46,44.13,-1.67
SP000000118,S000000032,U0001832,1,G000025,2020-04-11 09:11:35,20200411,14.11,16.42,-2.31
SP000000119,S000000032,U0001832,1,G000025,2020-04-11 09:21:43,20200411,23.56,0.7,22.86
SP000000120,S000000032,U0001832,1,G000025,2020-04-11 09:09:43,20200411,28.76,15.71,13.05
SP000000121,S000000032,U0001832,1,G000025,2020-04-11 09:19:26,20200411,25.96,39.87,-13.91
SP000000122,S000000033,U0003826,1,G000050,2020-03-13 13:41:47,20200313,184.36,110.42,73.94
SP000000123,S000000033,U0003826,1,G000120,2020-03-13 13:49:10,20200313,146.27,95.47,50.8
SP000000124,S000000033,U0003826,1,G000120,2020-03-13 13:43:19,20200313,258.9,139.7,119.2
SP000000125,S000000033,U0003826,1,G000045,2020-03-13 13:58:52,20200313,246.3,200.37,45.93
SP000000126,S000000033,U0003826,1,G000120,2020-03-13 13:46:45,20200313,169.11,260.67,-91.56
SP000000127,S000000034,U0003699,1,G000064,2025-09-08 03:44:45,20250908,28.05,47.37,-19.32
SP000000128,S000000034,U0003699,1,G000064,2025-09-08 03:26:26,20250908,23.5,41.57,-18.07
SP000000129,S000000034,U0003699,1,G000049,2025-09-08 03:35:20,20250908,18.2,1.22,16.98
SP000000130,S000000034,U0003699,1,G000092,2025-09-08 03:33:09,20250908,33.1,16.05,17.05
SP000000131,S000000034,U0003699,1,G000118,2025-09-08 03:26:02,20250908,16.34,7.45,8.89
SP000000132,S000000034,U0003699,1,G000036,2025-09-08 03:45:43,20250908,20.6,27.22,-6.62
SP000000133,S000000034,U0003699,1,G000013,2025-09-08 03:33:30,20250908,21.01,48.63,-27.62
SP000000134,S000000034,U0003699,1,G000064,2025-09-08 03:33:08,20250908,16.69,3.2,13.49
SP000000135,S000000035,U0002683,1,G000041,2024-01-13 15:42:20,20240113,141.18,36.65,104.53
SP000000136,S000000035,U0002683,1,G000003,2024-01-13 15:42:38,20240113,313.82,69.47,244.35
SP000000137,S000000035,U0002683,1,G000003,2024-01-13 15:42:01,20240113,255.56,207.85,47.71
SP000000138,S000000035,U0002683,1,G000058,2024-01-13 15:43:28,20240113,144.63,92.27,52.36
SP000000139,S000000036,U0000661,3,G000120,2021-11-16 07:02:20,20211116,913.79,96.89,816.9
SP000000140,S000000036,U0000661,3,G000087,2021-11-16 07:14:47,20211116,951.52,377.18,574.34
SP000000141,S000000036,U0000661,3,G000079,2021-11-16 07:18:50,20211116,1308.84,2255.11,-946.27
SP000000142,S000000036,U0000661,3,G000076,2021-11-16 07:07:58,20211116,1108.27,843.67,264.6
SP000000143,S000000036,U0000661,3,G000076,2021-11-16 06:46:57,20211116,1196.6,1188.47,8.13
SP000000144,S000000037,U0002946,1,G000043,2019-03-20 16:39:28,20190320,121.78,38.42,83.36
SP000000145,S000000037,U0002946,1,G000116,2019-03-20 16:32:53,20190320,298.09,291.31,6.78
SP000000146,S000000039,U0003159,1,G000099,2021-09-20 20:39:16,20210920,13.39,11.44,1.95
SP000000147,S000000039,U0003159,1,G000114,2021-09-20 20:34:14,20210920,18.55,40.05,-21.5
SP000000148,S000000039,U0003159,1,G000112,2021-09-20 20:36:32,20210920,20.26,32.25,-11.99
SP000000149,S000000039,U0003159,1,G000114,2021-09-20 20:39:55,20210920,25.32,25.77,-0.45
SP000000150,S000000039,U0003159,1,G000095,2021-09-20 20:41:53,20210920,28.15,9.71,18.44
SP000000151,S000000039,U0003159,1,G000114,2021-09-20 20:31:35,20210920,20.58,5.18,15.4
SP000000152,S000000039,U0003159,1,G000114,2021-09-20 20:41:25,20210920,30.49,23.12,7.37
SP000000153,S000000039,U0003159,1,G000114,2021-09-20 20:34:07,20210920,22.81,70.64,-47.83
SP000000154,S000000039,U0003159,1,G000114,2021-09-20 20:37:18,20210920,9.79,13.58,-3.79
SP000000155,S000000039,U0003159,1,G000017,2021-09-20 20:37:50,20210920,29.96,18.99,10.97
SP000000156,S000000039,U0003159,1,G000116,2021-09-20 20:34:07,20210920,40.43,25.87,14.56
SP000000157,S000000039,U0003159,1,G000114,2021-09-20 20:40:47,20210920,20.51,35.31,-14.8
SP000000158,S000000039,U0003159,1,G000114,2021-09-20 20:32:15,20210920,17.77,19.31,-1.54
SP000000159,S000000040,U0001629,1,G000027,2019-04-09 17:15:55,20190409,39.88,75.11,-35.23
SP000000160,S000000040,U0001629,1,G000027,2019-04-09 17:19:03,20190409,55.02,55.48,-0.46
SP000000161,S000000040,U0001629,1,G000027,2019-04-09 17:16:29,20190409,89.13,18.7,70.43
SP000000162,S000000041,U0000001,1,G000049,2025-05-04 16:07:28,20250504,1635.53,1663.32,-27.79
SP000000163,S000000041,U0000001,1,G000049,2025-05-04 16:03:12,20250504,1434.04,631.87,802.17
SP000000164,S000000042,U0002491,3,G000120,2025-08-22 17:34:10,20250822,75.9,99.59,-23.69
SP000000165,S000000042,U0002491,3,G000120,2025-08-22 17:17:34,20250822,283.78,311.17,-27.39
SP000000166,S000000043,U0003899,3,G000028,2023-03-29 21:26:49,20230329,33.88,1.59,32.29
SP000000167,S000000043,U0003899,3,G000028,2023-03-29 21:40:32,20230329,9.66,23.84,-14.18
SP000000168,S000000043,U0003899,3,G000028,2023-03-29 21:35:23,20230329,20.19,20.89,-0.7
SP000000169,S000000043,U0003899,3,G000028,2023-03-29 21:35:26,20230329,16.82,1.85,14.97
SP000000170,S000000043,U0003899,3,G000028,2023-03-29 21:35:29,20230329,39.91,43.55,-3.64
SP000000171,S000000043,U0003899,3,G000028,2023-03-29 21:25:59,20230329,18.92,1.65,17.27
SP000000172,S000000043,U0003899,3,G000028,2023-03-29 21:38:31,20230329,22.95,2.83,20.12
SP000000173,S000000044,U0000884,1,G000057,2024-05-19 07:22:52,20240519,57.61,47.92,9.69
SP000000174,S000000044,U0000884,1,G000058,2024-05-19 07:19:24,20240519,63.41,40.65,22.76
SP000000175,S000000044,U0000884,1,G000072,2024-05-19 07:24:48,20240519,42.43,24.89,17.54
SP000000176,S000000044,U0000884,1,G000072,2024-05-19 07:19:25,20240519,73.0,0.18,72.82
SP000000177,S000000045,U0001698,1,G000081,2019-02-14 12:45:01,20190214,4004.46,10677.33,-6672.87
SP000000178,S000000045,U0001698,1,G000081,2019-02-14 12:43:33,20190214,2117.65,1784.64,333.01
SP000000179,S000000045,U0001698,1,G000031,2019-02-14 12:54:21,20190214,1081.42,64.45,1016.97
SP000000180,S000000045,U0001698,1,G000081,2019-02-14 13:00:43,20190214,1454.83,3120.32,-1665.49
SP000000181,S000000045,U0001698,1,G000066,2019-02-14 12:49:10,20190214,2080.63,1776.47,304.16
SP000000182,S000000045,U0001698,1,G000081,2019-02-14 12:49:54,20190214,2058.48,605.95,1452.53
SP000000183,S000000045,U0001698,1,G000081,2019-02-14 12:51:53,20190214,2414.04,2712.36,-298.32
SP000000184,S000000045,U0001698,1,G000081,2019-02-14 13:01:46,20190214,2878.48,8.11,2870.37
SP000000185,S000000045,U0001698,1,G000081,2019-02-14 12:43:05,20190214,1487.96,83.11,1404.85
SP000000186,S000000046,U0001196,1,G000073,2020-05-26 10:24:52,20200526,719.43,886.48,-167.05
SP000000187,S000000046,U0001196,1,G000024,2020-05-26 10:21:51,20200526,1071.66,190.15,881.51
SP000000188,S000000046,U0001196,1,G000115,2020-05-26 10:31:05,20200526,706.82,164.51,542.31
SP000000189,S000000046,U0001196,1,G000024,2020-05-26 10:31:12,20200526,889.46,449.08,440.38
SP000000190,S000000046,U0001196,1,G000061,2020-05-26 10:24:53,20200526,451.67,173.42,278.25
SP000000191,S000000046,U0001196,1,G000024,2020-05-26 10:28:07,20200526,558.72,201.32,357.4
SP000000192,S000000046,U0001196,1,G000102,2020-05-26 10:22:39,20200526,628.01,819.94,-191.93
SP000000193,S000000047,U0003319,2,G000099,2020-01-10 17:06:25,20200110,192.53,143.92,48.61
SP000000194,S000000047,U0003319,2,G000105,2020-01-10 17:12:44,20200110,332.88,2.63,330.25
SP000000195,S000000047,U0003319,2,G000099,2020-01-10 17:07:37,20200110,183.86,305.35,-121.49
SP000000196,S000000047,U0003319,2,G000099,2020-01-10 17:21:59,20200110,184.59,296.55,-111.96
SP000000197,S000000047,U0003319,2,G000099,2020-01-10 17:35:24,20200110,226.7,371.99,-145.29
SP000000198,S000000047,U0003319,2,G000099,2020-01-10 16:57:13,20200110,89.69,20.22,69.47
SP000000199,S000000047,U0003319,2,G000117,2020-01-10 16:59:38,20200110,169.41,7.61,161.8
SP000000200,S000000047,U0003319,2,G000099,2020-01-10 17:22:33,20200110,93.92,39.35,54.57
SP000000201,S000000047,U0003319,2,G000099,2020-01-10 17:12:40,20200110,139.39,35.86,103.53
SP000000202,S000000048,U0001374,3,G000007,2021-04-13 11:58:47,20210413,596.45,283.38,313.07
SP000000203,S000000048,U0001374,3,G000007,2021-04-13 12:09:57,20210413,534.97,410.57,124.4
SP000000204,S000000048,U0001374,3,G000007,2021-04-13 12:08:48,20210413,443.84,202.4,241.44
SP000000205,S000000049,U0000722,1,G000047,2022-03-15 02:28:33,20220315,72.0,134.93,-62.93
SP000000206,S000000049,U0000722,1,G000040,2022-03-15 02:14:14,20220315,65.21,118.68,-53.47
SP000000207,S000000051,U0000359,1,G000073,2021-02-28 04:15:48,20210228,889.72,1447.19,-557.47
SP000000208,S000000051,U0000359,1,G000073,2021-02-28 03:58:10,20210228,259.58,172.76,86.82
SP000000209,S000000051,U0000359,1,G000073,2021-02-28 04:12:01,20210228,381.7,478.92,-97.22
SP000000210,S000000051,U0000359,1,G000073,2021-02-28 03:59:03,20210228,1124.42,1607.76,-483.34
SP000000211,S000000051,U0000359,1,G000073,2021-02-28 04:05:26,20210228,293.27,198.25,95.02
SP000000212,S000000051,U0000359,1,G000073,2021-02-28 04:09:44,20210228,764.78,58.95,705.83
SP000000213,S000000051,U0000359,1,G000073,2021-02-28 03:56:37,20210228,326.54,250.04,76.5
SP000000214,S000000051,U0000359,1,G000070,2021-02-28 04:07:37,20210228,824.9,862.47,-37.57
SP000000215,S000000051,U0000359,1,G000044,2021-02-28 03:59:04,20210228,479.68,113.28,366.4
SP000000216,S000000053,U0001000,1,G000101,2025-10-30 17:55:48,20251030,261.39,43.02,218.37
SP000000217,S000000054,U0003434,4,G000098,2020-07-17 03:00:29,20200717,129.07,68.34,60.73
SP000000218,S000000054,U0003434,4,G000098,2020-07-17 03:06:50,20200717,146.58,87.45,59.13
SP000000219,S000000054,U0003434,4,G000118,2020-07-17 03:07:32,20200717,95.38,28.36,67.02
SP000000220,S000000055,U0002899,3,G000005,2021-07-13 20:28:12,20210713,85.01,193.25,-108.24
SP000000221,S000000056,U0002010,1,G000001,2020-04-14 01:06:54,20200414,526.24,229.9,296.34
SP000000222,S000000057,U0001500,1,G000046,2024-06-24 14:02:51,20240624,695.34,1147.81,-452.47
SP000000223,S000000058,U0003629,2,G000062,2023-09-04 11:23:02,20230904,80.31,34.83,45.48
SP000000224,S000000058,U0003629,2,G000062,2023-09-04 11:36:39,20230904,76.13,65.62,10.51
SP000000225,S000000058,U0003629,2,G000062,2023-09-04 11:32:28,20230904,211.01,227.84,-16.83
SP000000226,S000000058,U0003629,2,G000062,2023-09-04 11:35:09,20230904,127.21,97.58,29.63
SP000000227,S000000059,U0003238,1,G000006,2024-04-15 19:30:26,20240415,795.07,289.18,505.89
SP000000228,S000000059,U0003238,1,G000077,2024-04-15 19:35:00,20240415,1034.0,424.32,609.68
SP000000229,S000000059,U0003238,1,G000006,2024-04-15 19:33:55,20240415,849.33,366.59,482.74
SP000000230,S000000059,U0003238,1,G000006,2024-04-15 19:35:32,20240415,577.31,407.74,169.57
SP000000231,S000000059,U0003238,1,G000006,2024-04-15 19:36:35,20240415,1636.55,1515.13,121.42
SP000000232,S000000059,U0003238,1,G000023,2024-04-15 19:33:07,20240415,497.91,1139.95,-642.04
SP000000233,S000000059,U0003238,1,G000012,2024-04-15 19:35:40,20240415,378.43,142.59,235.84
SP000000234,S000000059,U0003238,1,G000087,2024-04-15 19:24:02,20240415,822.95,822.06,0.89
SP000000235,S000000059,U0003238,1,G000006,2024-04-15 19:26:28,20240415,1090.94,1176.09,-85.15
SP000000236,S000000059,U0003238,1,G000006,2024-04-15 19:27:45,20240415,717.04,617.18,99.86
SP000000237,S000000059,U0003238,1,G000006,2024-04-15 19:25:19,20240415,860.54,2447.76,-1587.22
SP000000238,S000000061,U0003128,3,G000028,2022-03-31 18:48:35,20220331,66.52,40.85,25.67
SP000000239,S000000062,U0000949,1,G000016,2022-06-17 21:47:44,20220617,106.68,58.53,48.15
SP000000240,S000000063,U0000306,1,G000114,2021-07-26 11:06:00,20210726,50.98,5.59,45.39
SP000000241,S000000063,U0000306,1,G000114,2021-07-26 11:06:49,20210726,49.29,4.44,44.85
SP000000242,S000000063,U0000306,1,G000114,2021-07-26 11:07:20,20210726,33.49,2.05,31.44
SP000000243,S000000064,U0000279,1,G000092,2025-09-07 14:19:46,20250907,1975.34,628.17,1347.17
SP000000244,S000000064,U0000279,1,G000092,2025-09-07 14:10:20,20250907,2034.8,878.22,1156.58
SP000000245,S000000064,U0000279,1,G000091,2025-09-07 14:06:39,20250907,3113.47,780.69,2332.78
SP000000246,S000000064,U0000279,1,G000092,2025-09-07 14:07:20,20250907,1888.35,680.4,1207.95
SP000000247,S000000065,U0000015,3,G000029,2023-09-06 00:34:12,20230906,1634.38,1265.91,368.47
SP000000248,S000000065,U0000015,3,G000029,2023-09-06 00:38:09,20230906,842.28,676.89,165.39
SP000000249,S000000065,U0000015,3,G000029,2023-09-06 00:26:47,20230906,913.94,504.42,409.52
SP000000250,S000000065,U0000015,3,G000029,2023-09-06 00:27:47,20230906,1214.06,887.88,326.18
SP000000251,S000000065,U0000015,3,G000029,2023-09-06 00:18:22,20230906,1230.87,58.97,1171.9
SP000000252,S000000065,U0000015,3,G000029,2023-09-06 00:35:29,20230906,1003.25,1534.74,-531.49
SP000000253,S000000065,U0000015,3,G000029,2023-09-06 00:16:45,20230906,968.21,985.93,-17.72
SP000000254,S000000065,U0000015,3,G000029,2023-09-06 00:22:30,20230906,833.29,3603.29,-2770.0
SP000000255,S000000065,U0000015,3,G000029,2023-09-06 00:32:05,20230906,801.62,324.32,477.3
SP000000256,S000000065,U0000015,3,G000029,2023-09-06 00:38:30,20230906,1529.03,1077.44,451.59
SP000000257,S000000065,U0000015,3,G000029,2023-09-06 00:31:11,20230906,518.19,334.51,183.68
SP000000258,S000000066,U0002191,3,G000076,2023-02-11 22:41:39,20230211,13.37,10.54,2.83
SP000000259,S000000066,U0002191,3,G000076,2023-02-11 22:31:41,20230211,39.73,13.85,25.88
SP000000260,S000000066,U0002191,3,G000076,2023-02-11 22:29:47,20230211,29.75,2.24,27.51
SP000000261,S000000066,U0002191,3,G000076,2023-02-11 22:28:57,20230211,19.87,10.75,9.12
SP000000262,S000000067,U0001800,3,G000072,2022-10-04 15:53:48,20221004,390.4,1518.56,-1128.16
SP000000263,S000000067,U0001800,3,G000072,2022-10-04 15:54:03,20221004,94.5,8.72,85.78
SP000000264,S000000067,U0001800,3,G000072,2022-10-04 15:53:24,20221004,237.9,80.32,157.58
SP000000265,S000000067,U0001800,3,G000072,2022-10-04 15:57:48,20221004,328.4,13.73,314.67
SP000000266,S000000067,U0001800,3,G000072,2022-10-04 15:52:48,20221004,244.82,11.37,233.45
SP000000267,S000000067,U0001800,3,G000064,2022-10-04 15:51:13,20221004,208.57,168.72,39.85
SP000000268,S000000067,U0001800,3,G000072,2022-10-04 15:52:00,20221004,253.52,336.72,-83.2
SP000000269,S000000067,U0001800,3,G000072,2022-10-04 15:56:08,20221004,123.64,1.65,121.99
