bonus_id,user_id,bonus_type_id,award_ts,award_date_id,bonus_amount,is_redeemed_flag,redeem_ts,redeem_date_id
BON00000029,U0001374,1,2025-03-05 14:00:00,20250305,50.0,1,2025-03-06 20:08:55,20250306.0
BON00000030,U0002874,1,2019-03-03 17:00:00,20190303,20.0,1,2019-03-14 03:53:53,20190314.0
BON00000031,U0000366,4,2019-05-24 09:00:00,20190524,500.0,0,,
BON00000032,U0002132,2,2024-10-25 16:00:00,20241025,2000.0,1,2024-10-28 09:01:15,20241028.0
BON00000033,U0000475,1,2021-06-02 06:00:00,20210602,200.0,1,2021-06-11 17:11:02,20210611.0
BON00000034,U0003619,2,2020-02-27 07:00:00,20200227,500.0,0,,
BON00000035,U0001349,2,2021-11-15 09:00:00,20211115,2000.0,0,,
BON00000036,U0000518,3,2022-11-25 22:00:00,20221125,200.0,1,2022-12-04 15:53:51,20221204.0
BON00000037,U0000209,1,2020-04-11 01:00:00,20200411,100.0,1,2020-04-18 11:07:18,20200418.0
BON00000038,U0001346,4,2025-10-05 01:00:00,20251005,1000.0,1,2025-10-15 09:14:14,20251015.0
BON00000039,U0003330,4,2019-10-19 04:00:00,20191019,3000.0,1,2019-10-21 07:43:23,20191021.0
BON00000040,U0001971,1,2024-06-16 15:00:00,20240616,100.0,1,2024-06-25 23:07:47,20240625.0
BON00000041,U0002222,2,2019-03-23 11:00:00,20190323,5000.0,1,2019-03-30 15:15:04,20190330.0
BON00000042,U0003289,3,2022-11-05 09:00:00,20221105,2000.0,1,2022-11-13 21:52:58,20221113.0
BON00000043,U0001077,5,2020-06-21 08:00:00,20200621,5000.0,0,,
BON00000044,U0002225,2,2020-09-01 17:00:00,20200901,5000.0,0,,
BON00000045,U0002476,1,2020-05-09 06:00:00,20200509,20.0,1,2020-05-12 03:30:30,20200512.0
BON00000046,U0000319,3,2023-07-29 12:00:00,20230729,2000.0,0,,
BON00000047,U0000514,1,2023-08-03 18:00:00,20230803,100.0,0,,
BON00000048,U0002991,1,2019-09-04 05:00:00,20190904,100.0,1,2019-09-07 08:41:23,20190907.0
BON00000049,U0000651,5,2022-11-07 16:00:00,20221107,20000.0,1,2022-11-08 20:44:16,20221108.0
BON00000050,U0000074,2,2021-06-09 00:00:00,20210609,500.0,1,2021-06-25 01:08:15,20210625.0
BON00000051,U0000835,2,2022-09-13 14:00:00,20220913,2000.0,0,,
BON00000052,U0003606,1,2024-07-30 09:00:00,20240730,50.0,1,2024-08-13 17:01:51,20240813.0
BON00000053,U0003893,2,2023-11-18 03:00:00,20231118,10000.0,1,2023-11-22 00:57:26,20231122.0
BON00000054,U0001247,2,2023-10-02 07:00:00,20231002,10000.0,0,,
BON00000055,U0002711,3,2025-08-22 06:00:00,20250822,200.0,1,2025-08-29 05:39:45,20250829.0
BON00000056,U0003190,3,2021-12-08 09:00:00,20211208,200.0,1,2021-12-10 16:43:36,20211210.0
BON00000057,U0003711,3,2021-08-23 07:00:00,20210823,1000.0,1,2021-09-06 21:13:33,20210906.0
BON00000058,U0002751,3,2021-08-14 23:00:00,20210814,200.0,1,2021-08-15 02:12:22,20210815.0
BON00000059,U0001457,2,2022-10-04 22:00:00,20221004,10000.0,1,2022-10-22 19:09:52,20221022.0
BON00000060,U0002206,4,2021-01-13 18:00:00,20210113,2000.0,0,,
BON00000061,U0001927,3,2025-07-25 21:00:00,20250725,200.0,0,,
BON00000062,U0002514,1,2024-03-30 00:00:00,20240330,200.0,1,2024-04-01 23:11:51,20240401.0
BON00000063,U0001926,2,2022-04-24 17:00:00,20220424,5000.0,1,2022-05-12 01:48:17,20220512.0
BON00000064,U0001221,2,2021-11-20 07:00:00,20211120,10000.0,1,2021-11-24 15:43:41,20211124.0
BON00000065,U0002667,3,2024-06-28 10:00:00,20240628,500.0,1,2024-07-27 08:33:08,20240727.0
BON00000066,U0003183,5,2025-11-09 05:00:00,20251109,5000.0,1,2025-11-10 06:59:48,20251110.0
BON00000067,U0002816,2,2025-12-21 01:00:00,20251221,2000.0,1,2025-12-31 22:44:07,20251231.0
BON00000068,U0003819,4,2024-11-19 16:00:00,20241119,3000.0,1,2024-11-21 20:06:33,20241121.0
BON00000069,U0002292,1,2020-05-23 18:00:00,20200523,200.0,1,2020-05-27 18:41:39,20200527.0
BON00000070,U0002893,2,2024-12-11 10:00:00,20241211,1000.0,0,,
BON00000071,U0003468,1,2021-08-31 16:00:00,20210831,50.0,1,2021-09-01 04:59:53,20210901.0
BON00000072,U0002583,4,2022-02-11 08:00:00,20220211,3000.0,1,2022-02-12 02:01:51,20220212.0
BON00000073,U0002891,1,2019-09-29 06:00:00,20190929,20.0,0,,
BON00000074,U0001926,3,2025-05-30 03:00:00,20250530,1000.0,1,2025-06-11 14:18:54,20250611.0
BON00000075,U0003042,1,2023-05-28 19:00:00,20230528,50.0,0,,
BON00000076,U0000766,1,2023-07-07 09:00:00,20230707,100.0,1,2023-07-07 14:45:29,20230707.0
BON00000077,U0000121,4,2025-07-11 07:00:00,20250711,3000.0,1,2025-07-31 10:22:13,20250731.0
BON00000078,U0001405,1,2022-09-08 16:00:00,20220908,200.0,0,,
BON00000079,U0003797,1,2022-01-10 23:00:00,20220110,200.0,0,,
BON00000080,U0001009,1,2024-04-22 21:00:00,20240422,200.0,1,2024-04-24 19:45:51,20240424.0
BON00000081,U0002178,3,2023-11-19 23:00:00,20231119,1000.0,1,2023-11-23 14:00:19,20231123.0
BON00000082,U0000168,2,2025-09-10 21:00:00,20250910,500.0,0,,
BON00000083,U0001896,4,2022-08-24 04:00:00,20220824,3000.0,1,2022-08-26 15:05:14,20220826.0
BON00000084,U0003970,2,2021-04-06 06:00:00,20210406,10000.0,1,2021-04-15 07:24:33,20210415.0
BON00000085,U0000388,2,2025-04-01 12:00:00,20250401,5000.0,1,2025-04-05 19:26:40,20250405.0
BON00000086,U0001764,2,2019-07-19 00:00:00,20190719,1000.0,1,2019-07-23 01:43:30,20190723.0
BON00000087,U0000455,1,2021-11-10 00:00:00,20211110,20.0,1,2021-11-17 01:58:21,20211117.0
BON00000088,U0001400,1,2023-04-17 20:00:00,20230417,50.0,0,,
BON00000089,U0002647,2,2021-03-05 06:00:00,20210305,500.0,1,2021-03-19 13:18:21,20210319.0
BON00000090,U0002300,3,2022-04-20 01:00:00,20220420,200.0,1,2022-04-29 21:18:14,20220429.0
BON00000091,U0001697,2,2023-09-11 03:00:00,20230911,10000.0,1,2023-09-13 18:59:45,20230913.0
BON00000092,U0001606,1,2024-06-19 15:00:00,20240619,20.0,1,2024-06-26 15:15:43,20240626.0
BON00000093,U0001330,4,2020-07-13 06:00:00,20200713,3000.0,0,,
BON00000094,U0000668,2,2024-01-03 12:00:00,20240103,10000.0,0,,
BON00000095,U0001036,2,2023-11-24 16:00:00,20231124,1000.0,1,2023-11-26 15:41:53,20231126.0
BON00000096,U0002693,1,2020-03-14 07:00:00,20200314,20.0,0,,
BON00000097,U0000798,3,2021-03-06 04:00:00,20210306,2000.0,0,,
BON00000098,U0001022,1,2021-02-10 08:00:00,20210210,50.0,1,2021-02-11 04:46:49,20210211.0
BON00000099,U0003564,2,2019-05-19 00:00:00,20190519,5000.0,1,2019-05-24 09:37:05,20190524.0
BON00000100,U0001179,2,2024-12-23 03:00:00,20241223,1000.0,1,2024-12-29 04:28:34,20241229.0
BON00000101,U0002195,1,2024-08-27 07:00:00,20240827,50.0,1,2024-08-29 14:30:01,20240829.0
BON00000102,U0000768,2,2019-09-14 16:00:00,20190914,5000.0,0,,
BON00000103,U0001408,1,2025-01-24 14:00:00,20250124,50.0,1,2025-01-26 23:24:06,20250126.0
BON00000104,U0001503,2,2024-01-07 07:00:00,20240107,5000.0,0,,
BON00000105,U0000956,1,2025-08-30 11:00:00,20250830,200.0,1,2025-09-05 02:38:15,20250905.0
BON00000106,U0001924,1,2022-08-25 22:00:00,20220825,50.0,0,,
BON00000107,U0002222,2,2024-09-21 02:00:00,20240921,1000.0,0,,
BON00000108,U0002458,1,2021-02-07 04:00:00,20210207,20.0,1,2021-02-20 21:51:05,20210220.0
BON00000109,U0002660,3,2022-07-15 11:00:00,20220715,200.0,0,,
BON00000110,U0003244,4,2024-03-06 15:00:00,20240306,3000.0,0,,
BON00000111,U0003407,4,2023-09-06 00:00:00,20230906,3000.0,0,,
BON00000112,U0002100,2,2020-02-01 12:00:00,20200201,10000.0,0,,
BON00000113,U0000168,5,2023-01-29 01:00:00,20230129,2000.0,1,2023-02-09 22:43:26,20230209.0
BON00000114,U0000955,1,2025-10-27 17:00:00,20251027,50.0,1,2025-11-01 23:37:44,20251101.0
BON00000115,U0002324,5,2024-11-23 05:00:00,20241123,10000.0,1,2024-12-10 21:08:41,20241210.0
BON00000116,U0001425,2,2025-05-08 11:00:00,20250508,500.0,1,2025-05-14 18:22:44,20250514.0
BON00000117,U0002713,1,2025-11-07 17:00:00,20251107,200.0,0,,
BON00000118,U0003430,1,2023-09-11 01:00:00,20230911,100.0,1,2023-09-16 23:02:32,20230916.0
BON00000119,U0001513,2,2019-03-25 09:00:00,20190325,5000.0,0,,
BON00000120,U0000793,4,2019-06-02 04:00:00,20190602,500.0,0,,
BON00000121,U0002065,3,2025-01-30 01:00:00,20250130,500.0,0,,
BON00000122,U0001109,3,2019-11-04 02:00:00,20191104,2000.0,1,2019-11-06 14:46:02,20191106.0
BON00000123,U0002815,1,2019-11-11 02:00:00,20191111,100.0,0,,
BON00000124,U0003740,2,2024-05-29 19:00:00,20240529,5000.0,0,,
BON00000125,U0000389,2,2023-08-05 16:00:00,20230805,5000.0,1,2023-08-06 06:35:34,20230806.0
BON00000126,U0000893,2,2023-09-03 16:00:00,20230903,2000.0,0,,
BON00000127,U0000126,2,2019-04-01 17:00:00,20190401,2000.0,1,2019-04-02 01:18:50,20190402.0
BON00000128,U0000881,5,2019-05-14 14:00:00,20190514,10000.0,0,,
BON00000129,U0001515,2,2023-02-23 01:00:00,20230223,2000.0,1,2023-03-10 05:32:25,20230310.0
BON00000130,U0001628,4,2025-09-25 20:00:00,20250925,1000.0,1,2025-10-02 02:51:29,20251002.0
BON00000131,U0001571,2,2020-10-18 01:00:00,20201018,5000.0,1,2020-10-27 09:10:50,20201027.0
BON00000132,U0003684,1,2021-07-26 10:00:00,20210726,50.0,1,2021-07-27 09:28:15,20210727.0
BON00000133,U0003083,2,2021-10-02 14:00:00,20211002,1000.0,1,2021-10-08 22:29:07,20211008.0
BON00000134,U0001525,1,2024-06-22 06:00:00,20240622,200.0,1,2024-06-23 18:20:56,20240623.0
BON00000135,U0000806,3,2023-05-05 09:00:00,20230505,500.0,1,2023-06-04 09:00:00,20230604.0
BON00000136,U0003408,2,2023-03-05 04:00:00,20230305,1000.0,1,2023-03-06 17:33:06,20230306.0
BON00000137,U0000289,2,2019-12-20 17:00:00,20191220,5000.0,1,2019-12-26 00:59:03,20191226.0
BON00000138,U0002213,2,2021-06-07 00:00:00,20210607,1000.0,0,,
BON00000139,U0000149,2,2022-03-03 20:00:00,20220303,1000.0,1,2022-03-05 20:57:01,20220305.0
BON00000140,U0002452,1,2024-01-08 05:00:00,20240108,20.0,0,,
BON00000141,U0000669,1,2020-02-02 15:00:00,20200202,100.0,0,,
BON00000142,U0000481,2,2022-01-31 07:00:00,20220131,500.0,0,,
BON00000143,U0001178,4,2022-06-09 03:00:00,20220609,1000.0,0,,
BON00000144,U0002120,2,2023-08-25 04:00:00,20230825,10000.0,0,,
BON00000145,U0003240,4,2024-11-22 23:00:00,20241122,1000.0,1,2024-11-23 10:11:47,20241123.0
BON00000146,U0002601,3,2024-07-31 19:00:00,20240731,500.0,1,2024-08-02 01:45:49,20240802.0
BON00000147,U0001603,4,2024-10-04 10:00:00,20241004,1000.0,1,2024-10-06 06:37:22,20241006.0
BON00000148,U0003962,5,2020-05-10 01:00:00,20200510,10000.0,0,,
BON00000149,U0003326,3,2020-08-09 20:00:00,20200809,200.0,1,2020-08-10 10:42:48,20200810.0
BON00000150,U0003430,5,2020-10-06 23:00:00,20201006,2000.0,1,2020-10-10 07:17:23,20201010.0
BON00000151,U0002323,1,2019-11-05 16:00:00,20191105,20.0,0,,
BON00000152,U0001343,2,2022-04-14 23:00:00,20220414,1000.0,1,2022-04-16 11:16:30,20220416.0
BON00000153,U0000673,1,2020-07-02 15:00:00,20200702,50.0,1,2020-07-02 15:35:07,20200702.0
BON00000154,U0003269,1,2025-09-29 17:00:00,20250929,200.0,0,,
BON00000155,U0002702,1,2023-09-11 04:00:00,20230911,200.0,1,2023-09-13 02:13:10,20230913.0
BON00000156,U0001215,1,2024-06-21 11:00:00,20240621,200.0,1,2024-06-29 11:03:41,20240629.0
BON00000157,U0002702,1,2025-05-27 08:00:00,20250527,50.0,0,,
BON00000158,U0002600,2,2020-12-05 08:00:00,20201205,2000.0,0,,
BON00000159,U0001571,2,2021-01-09 03:00:00,20210109,5000.0,1,2021-01-29 05:29:37,20210129.0
BON00000160,U0000742,1,2025-12-20 02:00:00,20251220,20.0,0,,
BON00000161,U0003199,3,2022-07-11 21:00:00,20220711,2000.0,0,,
BON00000162,U0001593,3,2025-02-28 04:00:00,20250228,1000.0,0,,
BON00000163,U0002936,1,2020-09-16 18:00:00,20200916,50.0,1,2020-10-04 03:11:49,20201004.0
BON00000164,U0001631,1,2020-10-31 10:00:00,20201031,20.0,1,2020-11-16 12:37:51,20201116.0
BON00000165,U0001571,1,2025-03-09 15:00:00,20250309,100.0,0,,
BON00000166,U0003816,2,2022-07-08 20:00:00,20220708,500.0,0,,
BON00000167,U0002413,4,2022-09-16 03:00:00,20220916,2000.0,0,,
BON00000168,U0003542,2,2023-06-21 03:00:00,20230621,1000.0,1,2023-06-29 18:43:12,20230629.0
BON00000169,U0002380,1,2021-09-01 00:00:00,20210901,200.0,0,,
BON00000170,U0001371,1,2020-10-02 21:00:00,20201002,50.0,0,,
BON00000171,U0000688,1,2022-06-30 11:00:00,20220630,20.0,0,,
BON00000172,U0000676,1,2021-10-07 12:00:00,20211007,200.0,0,,
BON00000173,U0001816,5,2023-06-30 09:00:00,20230630,2000.0,0,,
BON00000174,U0001243,2,2022-05-29 01:00:00,20220529,2000.0,0,,
BON00000175,U0000678,5,2023-07-24 13:00:00,20230724,20000.0,1,2023-07-30 04:39:09,20230730.0
BON00000176,U0003745,4,2024-03-31 09:00:00,20240331,3000.0,0,,
BON00000177,U0000742,2,2024-05-16 17:00:00,20240516,10000.0,1,2024-06-06 02:31:21,20240606.0
BON00000178,U0001155,5,2020-10-23 08:00:00,20201023,2000.0,1,2020-10-25 14:45:02,20201025.0
BON00000179,U0000212,1,2025-11-04 22:00:00,20251104,50.0,1,2025-11-05 22:51:29,20251105.0
BON00000180,U0002737,1,2025-12-30 14:00:00,20251230,50.0,1,2025-12-30 16:05:00,20251230.0
BON00000181,U0001555,5,2021-03-29 23:00:00,20210329,10000.0,1,2021-03-29 23:39:12,20210329.0
BON00000182,U0001990,3,2021-10-05 11:00:00,20211005,2000.0,0,,
BON00000183,U0000389,3,2024-03-14 01:00:00,20240314,2000.0,1,2024-03-21 08:52:45,20240321.0
BON00000184,U0001858,5,2020-01-09 22:00:00,20200109,5000.0,0,,
BON00000185,U0001329,1,2019-12-05 10:00:00,20191205,100.0,1,2019-12-16 11:45:53,20191216.0
BON00000186,U0002170,4,2025-06-10 13:00:00,20250610,2000.0,1,2025-06-16 04:55:23,20250616.0
BON00000187,U0003065,2,2025-08-23 07:00:00,20250823,500.0,1,2025-09-01 11:53:03,20250901.0
BON00000188,U0002848,1,2021-08-27 19:00:00,20210827,50.0,1,2021-09-02 22:28:26,20210902.0
BON00000189,U0000175,1,2023-05-12 01:00:00,20230512,100.0,0,,
BON00000190,U0002554,2,2025-04-01 13:00:00,20250401,500.0,0,,
BON00000191,U0001065,2,2019-08-23 23:00:00,20190823,2000.0,0,,
BON00000192,U0003516,4,2022-08-31 17:00:00,20220831,3000.0,1,2022-09-10 18:51:35,20220910.0
BON00000193,U0000032,1,2025-01-02 17:00:00,20250102,200.0,0,,
BON00000194,U0002184,5,2021-08-22 22:00:00,20210822,20000.0,1,2021-08-26 04:25:23,20210826.0
BON00000195,U0001125,1,2025-10-06 03:00:00,20251006,100.0,1,2025-10-06 10:39:05,20251006.0
BON00000196,U0002556,4,2023-06-09 00:00:00,20230609,2000.0,0,,
BON00000197,U0000650,2,2025-01-04 20:00:00,20250104,10000.0,1,2025-01-12 12:43:55,20250112.0
BON00000198,U0003628,1,2025-10-31 07:00:00,20251031,20.0,0,,
BON00000199,U0003246,2,2021-04-04 06:00:00,20210404,500.0,1,2021-04-21 02:25:56,20210421.0
BON00000200,U0003268,1,2025-05-13 10:00:00,20250513,20.0,1,2025-05-21 18:34:07,20250521.0
BON00000201,U0001439,4,2020-10-25 00:00:00,20201025,1000.0,1,2020-11-02 17:25:05,20201102.0
BON00000202,U0001038,1,2020-11-25 05:00:00,20201125,20.0,1,2020-11-30 07:30:48,20201130.0
BON00000203,U0003539,3,2020-10-02 06:00:00,20201002,200.0,1,2020-10-05 17:46:57,20201005.0
BON00000204,U0003633,3,2019-08-10 21:00:00,20190810,500.0,1,2019-08-18 03:50:52,20190818.0
BON00000205,U0001918,2,2021-04-08 09:00:00,20210408,2000.0,1,2021-04-12 06:08:58,20210412.0
BON00000206,U0001747,1,2025-09-15 01:00:00,20250915,200.0,1,2025-09-27 18:00:30,20250927.0
BON00000207,U0001186,1,2025-02-28 12:00:00,20250228,200.0,1,2025-03-05 01:13:04,20250305.0
BON00000208,U0003252,1,2021-04-27 17:00:00,20210427,100.0,0,,
BON00000209,U0001897,3,2025-03-15 15:00:00,20250315,200.0,0,,
BON00000210,U0001047,3,2022-09-20 09:00:00,20220920,2000.0,1,2022-09-20 22:53:11,20220920.0
BON00000211,U0001008,2,2024-05-29 15:00:00,20240529,500.0,1,2024-06-02 05:49:34,20240602.0
BON00000212,U0000335,1,2025-06-22 17:00:00,20250622,50.0,0,,
BON00000213,U0000613,5,2019-08-18 18:00:00,20190818,2000.0,1,2019-08-22 05:35:28,20190822.0
BON00000214,U0000749,1,2020-06-19 07:00:00,20200619,100.0,1,2020-07-01 13:19:48,20200701.0
BON00000215,U0002780,4,2022-08-24 16:00:00,20220824,1000.0,1,2022-08-27 10:09:26,20220827.0
BON00000216,U0002505,3,2023-06-10 08:00:00,20230610,1000.0,0,,
BON00000217,U0001259,5,2020-10-22 20:00:00,20201022,10000.0,1,2020-10-25 11:35:03,20201025.0
BON00000218,U0000833,1,2023-08-17 16:00:00,20230817,200.0,1,2023-08-18 14:59:24,20230818.0
BON00000219,U0002701,1,2022-03-16 02:00:00,20220316,100.0,0,,
BON00000220,U0001846,5,2020-09-30 09:00:00,20200930,20000.0,1,2020-10-01 07:59:14,20201001.0
BON00000221,U0002469,3,2020-01-16 18:00:00,20200116,1000.0,1,2020-01-23 03:58:16,20200123.0
BON00000222,U0000442,4,2024-05-23 06:00:00,20240523,3000.0,1,2024-05-25 21:55:37,20240525.0
BON00000223,U0000833,2,2020-07-18 20:00:00,20200718,500.0,1,2020-07-22 01:52:52,20200722.0
BON00000224,U0003331,2,2022-08-03 14:00:00,20220803,2000.0,1,2022-08-12 07:42:14,20220812.0
BON00000225,U0001527,1,2025-08-26 22:00:00,20250826,50.0,1,2025-08-28 15:26:24,20250828.0
BON00000226,U0003118,2,2020-07-03 02:00:00,20200703,1000.0,1,2020-07-04 10:03:09,20200704.0
BON00000227,U0002215,1,2019-04-14 15:00:00,20190414,100.0,0,,
BON00000228,U0000518,1,2019-03-26 01:00:00,20190326,200.0,0,,
BON00000229,U0000215,2,2024-11-01 22:00:00,20241101,5000.0,1,2024-11-02 13:51:10,20241102.0
BON00000230,U0000582,4,2024-03-02 14:00:00,20240302,3000.0,1,2024-03-22 22:27:40,20240322.0
BON00000231,U0003935,5,2025-02-17 02:00:00,20250217,10000.0,0,,
BON00000232,U0000426,3,2023-04-13 08:00:00,20230413,1000.0,1,2023-04-16 08:21:47,20230416.0
BON00000233,U0003949,2,2024-10-07 11:00:00,20241007,500.0,0,,
BON00000234,U0003041,1,2019-11-17 22:00:00,20191117,200.0,1,2019-12-03 18:46:40,20191203.0
BON00000235,U0003408,1,2022-10-10 03:00:00,20221010,100.0,1,2022-10-10 04:17:55,20221010.0
BON00000236,U0000677,2,2022-12-07 21:00:00,20221207,500.0,1,2022-12-15 02:01:45,20221215.0
BON00000237,U0002532,1,2020-09-18 23:00:00,20200918,100.0,1,2020-09-22 06:45:13,20200922.0
BON00000238,U0003873,4,2021-08-28 15:00:00,20210828,2000.0,0,,
BON00000239,U0000499,1,2020-06-28 18:00:00,20200628,200.0,1,2020-06-29 19:34:12,20200629.0
BON00000240,U0000174,1,2022-09-02 10:00:00,20220902,100.0,1,2022-09-04 06:05:09,20220904.0
BON00000241,U0002011,4,2022-08-08 13:00:00,20220808,2000.0,0,,
BON00000242,U0002066,3,2023-06-19 23:00:00,20230619,2000.0,1,2023-06-24 23:06:24,20230624.0
BON00000243,U0000806,1,2022-01-11 22:00:00,20220111,100.0,1,2022-01-14 01:12:06,20220114.0
BON00000244,U0003163,2,2022-07-27 05:00:00,20220727,1000.0,1,2022-08-05 16:20:05,20220805.0
BON00000245,U0003826,1,2024-05-04 03:00:00,20240504,20.0,0,,
BON00000246,U0000023,5,2020-01-16 22:00:00,20200116,10000.0,1,2020-01-18 22:16:13,20200118.0
BON00000247,U0001319,4,2024-05-27 03:00:00,20240527,500.0,1,2024-05-30 03:49:37,20240530.0
BON00000248,U0002411,2,2023-09-18 06:00:00,20230918,1000.0,1,2023-09-23 08:50:00,20230923.0
BON00000249,U0001039,2,2025-02-04 01:00:00,20250204,10000.0,0,,
BON00000250,U0000553,1,2024-08-08 18:00:00,20240808,50.0,1,2024-08-14 10:01:37,20240814.0
BON00000251,U0001179,5,2022-02-17 23:00:00,20220217,5000.0,1,2022-02-21 06:48:49,20220221.0
BON00000252,U0001322,1,2020-12-23 22:00:00,20201223,20.0,1,2020-12-31 19:54:16,20201231.0
BON00000253,U0001910,1,2022-12-04 02:00:00,20221204,50.0,1,2022-12-05 04:39:52,20221205.0
BON00000254,U0002839,2,2025-11-25 00:00:00,20251125,500.0,1,2025-11-25 09:21:47,20251125.0
BON00000255,U0003339,1,2019-01-13 04:00:00,20190113,100.0,1,2019-01-13 13:38:30,20190113.0
BON00000256,U0001587,5,2020-07-25 14:00:00,20200725,5000.0,0,,
BON00000257,U0003430,5,2021-08-11 01:00:00,20210811,5000.0,1,2021-08-13 09:51:48,20210813.0
BON00000258,U0003561,3,2020-01-08 15:00:00,20200108,500.0,0,,
BON00000259,U0003251,2,2019-08-04 07:00:00,20190804,2000.0,1,2019-08-14 01:50:47,20190814.0
BON00000260,U0002749,1,2022-03-21 09:00:00,20220321,50.0,1,2022-04-20 09:00:00,20220420.0
BON00000261,U0003292,4,2025-11-25 04:00:00,20251125,2000.0,0,,
BON00000262,U0003994,2,2020-11-28 11:00:00,20201128,5000.0,1,2020-12-10 03:45:33,20201210.0
BON00000263,U0000471,1,2021-02-02 09:00:00,20210202,100.0,1,2021-02-02 23:30:13,20210202.0
BON00000264,U0000052,3,2021-08-21 03:00:00,20210821,200.0,0,,
BON00000265,U0002115,3,2024-04-12 04:00:00,20240412,1000.0,1,2024-04-12 06:37:15,20240412.0
BON00000266,U0000917,3,2019-09-13 10:00:00,20190913,200.0,1,2019-09-16 19:42:53,20190916.0
BON00000267,U0003873,2,2020-04-13 05:00:00,20200413,1000.0,1,2020-04-15 20:19:26,20200415.0
BON00000268,U0003169,3,2025-01-12 12:00:00,20250112,2000.0,0,,
BON00000269,U0001793,1,2022-02-09 20:00:00,20220209,200.0,1,2022-02-15 17:43:01,20220215.0
BON00000270,U0000215,2,2023-03-28 17:00:00,20230328,10000.0,0,,
BON00000271,U0002602,3,2020-09-14 23:00:00,20200914,2000.0,0,,
BON00000272,U0002934,3,2021-05-13 01:00:00,20210513,200.0,1,2021-05-15 07:48:28,20210515.0
BON00000273,U0000766,1,2020-08-03 17:00:00,20200803,100.0,1,2020-08-22 00:29:05,20200822.0
BON00000274,U0000851,3,2020-06-05 06:00:00,20200605,500.0,1,2020-06-06 09:54:39,20200606.0
BON00000275,U0001926,3,2023-09-02 11:00:00,20230902,200.0,1,2023-09-11 21:08:55,20230911.0
BON00000276,U0000323,2,2023-11-29 17:00:00,20231129,5000.0,1,2023-12-06 06:56:33,20231206.0
BON00000277,U0002471,1,2020-11-30 23:00:00,20201130,200.0,1,2020-12-01 03:58:52,20201201.0
BON00000278,U0000496,2,2019-08-01 11:00:00,20190801,500.0,1,2019-08-11 22:11:48,20190811.0
BON00000279,U0002198,3,2020-06-07 17:00:00,20200607,200.0,1,2020-06-17 23:38:33,20200617.0
BON00000280,U0002543,1,2022-03-31 14:00:00,20220331,20.0,0,,
BON00000281,U0002570,2,2023-03-15 22:00:00,20230315,1000.0,1,2023-03-25 15:51:22,20230325.0
